# name-stuff given names
# format: name|gender|frequency|tags
#
Mimoza|F|9|9
Afërdita|F|8|8
Agim|M|8|8
Albana|F|8|8
Alma|F|8|8
Anila|F|8|8
Arben|M|8|8
Drita|F|8|8
Edmond|M|8|8
Fatmir|M|8|8
Gëzim|M|8|8
Ilir|M|8|8
Lindita|F|8|8
Luljeta|F|8|8
Majlinda|F|8|8
Merita|F|8|8
Petrit|M|8|8
Valentina|F|8|8
Violeta|F|8|8
Vjollca|F|8|8
Agron|M|7|7
Aida|F|7|7
Albert|M|7|7
Alfred|M|7|7
Ali|M|7|7
Altin|M|7|7
Andrea|F|7|7
Ardian|M|7|7
Arjan|M|7|7
Artan|M|7|7
Artur|M|7|7
Astrit|M|7|7
Bashkim|M|7|7
Besnik|M|7|7
Blerina|F|7|7
Brunilda|F|7|7
Bujar|M|7|7
Dhurata|F|7|7
Diana|F|7|7
Donika|F|7|7
Dorina|F|7|7
Dritan|M|7|7
Edlira|F|7|7
Elida|F|7|7
Elona|F|7|7
Elton|M|7|7
Engjellushe|F|7|7
Enver|M|7|7
Ermira|F|7|7
Ervin|M|7|7
Etleva|F|7|7
Fatbardha|F|7|7
Fatmira|F|7|7
Flora|F|7|7
Gjergji|M|7|7
Hajri|F|7|7
Irena|F|7|7
Jonida|F|7|7
Kozeta|F|7|7
Kujtim|M|7|7
Liljana|F|7|7
Luan|M|7|7
Lumturi|F|7|7
Marjeta|F|7|7
Miranda|F|7|7
Mirela|F|7|7
Natasha|F|7|7
Nertila|F|7|7
Pranvera|F|7|7
Robert|M|7|7
Roland|M|7|7
Shkëlqim|M|7|7
Shpresa|F|7|7
Silvana|F|7|7
Skënder|M|7|7
Sokol|M|7|7
Suzana|F|7|7
Teuta|F|7|7
Valbona|F|7|7
Vasil|M|7|7
Vladimir|M|7|7
Ylli|M|7|7
Adelina|F|6|6
Adem|M|6|6
Adrian|M|6|6
Adriana|F|6|6
Alban|M|6|6
Aleksander|M|6|6
Alketa|F|6|6
Ana|F|6|6
Andi|M|6|6
Anisa|F|6|6
Antoneta|F|6|6
Ardiana|F|6|6
Arjana|F|6|6
Armand|M|6|6
Arqile|F|6|6
Arta|F|6|6
Bajram|M|6|6
Bardhyl|M|6|6
Besmir|M|6|6
Bledar|M|6|6
Blerta|F|6|6
Bukurie|F|6|6
Denisa|F|6|6
Dhimiter|M|6|6
Dhimitraq|M|6|6
Eduart|M|6|6
Eglantina|F|6|6
Eleni|F|6|6
Elsa|F|6|6
Elvana|F|6|6
Elvira|F|6|6
Enkeleda|F|6|6
Enkelejda|F|6|6
Entela|F|6|6
Erion|M|6|6
Erjon|M|6|6
Ermal|M|6|6
Esmeralda|F|6|6
Eva|F|6|6
Faik|M|6|6
Fatos|M|6|6
Fiqirete|F|6|6
Flamur|M|6|6
Flutura|F|6|6
Genc|M|6|6
Genci|M|6|6
Gentian|M|6|6
Hasan|M|6|6
Hatixhe|F|6|6
Haxhi|M|6|6
Hysen|M|6|6
Ibrahim|M|6|6
Ilda|F|6|6
Ilirjan|M|6|6
Ismail|M|6|6
Jani|M|6|6
Kastriot|M|6|6
Klodiana|F|6|6
Kristaq|M|6|6
Lejla|F|6|6
Leonard|M|6|6
Leonora|F|6|6
Liri|F|6|6
Luiza|F|6|6
Maksim|M|6|6
Manjola|F|6|6
Margarita|F|6|6
Marjana|F|6|6
Matilda|F|6|6
Mehmet|M|6|6
Muhamet|M|6|6
Naim|M|6|6
Odeta|F|6|6
Ornela|F|6|6
Petraq|M|6|6
Pëllumb|M|6|6
Përparim|M|6|6
Qemal|M|6|6
Rajmonda|F|6|6
Rexhep|M|6|6
Rudina|F|6|6
Saimir|M|6|6
Sali|M|6|6
Shaban|M|6|6
Shpëtim|M|6|6
Sonila|F|6|6
Sotiraq|M|6|6
Spiro|M|6|6
Suela|F|6|6
Sulejman|M|6|6
Tatjana|F|6|6
Thanas|M|6|6
Thoma|M|6|6
Vangjel|M|6|6
Vasilika|F|6|6
Vera|F|6|6
Viktor|M|6|6
Xhemal|M|6|6
Xhuljeta|F|6|6
Zamira|F|6|6
Zana|F|6|6
Zenel|M|6|6
Zhaneta|F|6|6
Admir|M|5|5
Adriatik|M|5|5
Afrim|M|5|5
Ahmet|M|5|5
Ajet|M|5|5
Alba|F|5|5
Alda|F|5|5
Aleko|M|5|5
Anastas|M|5|5
Andon|M|5|5
Anesti|M|5|5
Anita|F|5|5
Arber|M|5|5
Ardit|M|5|5
Arian|M|5|5
Arlind|M|5|5
Arlinda|F|5|5
Armanda|F|5|5
Asllan|M|5|5
Aurela|F|5|5
Aurora|F|5|5
Avni|M|5|5
Bedri|M|5|5
Beqir|M|5|5
Besim|M|5|5
Brikena|F|5|5
Burbuqe|F|5|5
Daniela|F|5|5
Dashamir|M|5|5
Dashnor|M|5|5
Denada|F|5|5
Denis|M|5|5
Dilaver|M|5|5
Dorian|M|5|5
Durim|M|5|5
Eduard|M|5|5
Elda|F|5|5
Elisabeta|F|5|5
Elvis|M|5|5
Emanuela|F|5|5
Endri|M|5|5
Endrit|M|5|5
Engjell|M|5|5
Eqerem|M|5|5
Erald|M|5|5
Eriola|F|5|5
Ermelinda|F|5|5
Ermir|M|5|5
Ervehe|F|5|5
Ervis|M|5|5
Esat|M|5|5
Fadil|M|5|5
Fatjon|M|5|5
Fejzi|M|5|5
Fisnik|M|5|5
Fitim|M|5|5
Florian|M|5|5
Frederik|M|5|5
Frida|F|5|5
Gani|M|5|5
Gazmend|M|5|5
Gentiana|F|5|5
Gjergj|M|5|5
Gjinovefa|F|5|5
Gjon|M|5|5
Gjovalin|M|5|5
Greta|F|5|5
Guri|F|5|5
Hajrie|F|5|5
