# name-stuff given names
# format: name|gender|frequency|tags
#
Abaz|M|4|4
Abdi|M|2|2
Abdul|M|3|3
Abdulla|M|4|4
Abdullah|M|1|1
Abdurahman|M|1|1
Abdurrahman|M|2|2
Abdyl|M|4|4
Abedin|M|4|4
Ada|F|4|4
Adea|F|1|1
Adela|F|4|4
Adelajde|F|1|1
Adelina|F|6|6
Adem|M|6|6
Adham|M|1|1
Adhurim|M|2|2
Adi|M|2|2
Admir|M|5|5
Admira|F|1|1
Admirim|M|3|3
Adnan|M|3|3
Adnand|M|3|3
Adrian|M|6|6
Adriana|F|6|6
Adriatik|M|5|5
Adrijan|M|1|1
Aferdita|F|8|8
Afrim|M|5|5
Agetina|F|2|2
Agim|M|8|8
Ago|M|2|2
Agostina|F|1|1
Agron|M|7|7
Ahmet|M|5|5
Aida|F|7|7
Aidana|F|1|1
Aishe|F|1|1
Ajaz|M|2|2
Ajet|M|5|5
Ajshe|F|1|1
Ajten|M|1|1
Akil|M|2|2
Alba|F|5|5
Alban|M|6|6
Albana|F|8|8
Albert|M|7|7
Alberta|F|1|1
Albi|M|4|4
Albina|F|4|4
Albion|M|2|2
Alda|F|5|5
Aldi|M|1|1
Aldona|F|1|1
Aleko|M|5|5
Aleks|M|4|4
Aleksander|M|6|6
Aleksandra|F|4|4
Alfons|M|3|3
Alfred|M|7|7
Ali|M|7|7
Alije|F|1|1
Alion|M|2|2
Aliona|F|1|1
Aliriza|M|1|1
Alisha|F|1|1
Alket|M|4|4
Alketa|F|6|6
Alma|F|8|8
Almarin|M|1|1
Almarina|F|1|1
Almir|M|1|1
Alqi|M|3|3
Altin|M|7|7
Altina|F|1|1
Alton|M|1|1
Alush|M|4|4
Amanda|F|3|3
Amant|M|1|1
Amarilda|F|3|3
Amarildo|M|4|4
Ana|F|6|6
Anastas|M|5|5
Anastasia|F|1|1
Andi|M|6|6
Andis|M|1|1
Andj|M|1|1
Andon|M|5|5
Andrea|F|7|7
Andri|M|2|2
Andrin|M|1|1
Anduel|M|1|1
Anduela|F|2|2
Anesti|M|5|5
Aneta|F|3|3
Angjelin|M|3|3
Angjelina|F|1|1
Ani|F|2|2
Anife|F|1|1
Anila|F|8|8
Anisa|F|6|6
Anita|F|5|5
Anjeza|F|4|4
Anri|M|1|1
Ansi|M|2|2
Anton|M|4|4
Antoneta|F|6|6
Anxhela|F|1|1
Apollon|M|1|1
Apostol|M|4|4
Aqif|M|4|4
Aranit|M|3|3
Aranita|F|1|1
Arba|F|2|2
Arbana|F|3|3
Arben|M|8|8
Arber|M|5|5
Arber|M|4|4
Arberesha|F|1|1
Arbi|M|2|2
Ardi|M|2|2
Ardian|M|7|7
Ardiana|F|6|6
Ardit|M|5|5
Ardita|F|4|4
Ardjan|M|3|3
Areti|F|2|2
Argita|F|2|2
Argjela|F|1|1
Argjend|M|1|1
Argjentina|F|1|1
Argjirulla|F|1|1
Arian|M|5|5
Ariana|F|2|2
Arianit|M|1|1
Arieta|F|1|1
Arif|M|4|4
Arife|F|1|1
Ariol|M|1|1
Ariola|F|4|4
Arion|M|1|1
Aristidh|M|3|3
Aristotel|M|3|3
Arjan|M|7|7
Arjana|F|6|6
Arjet|M|1|1
Arjeta|F|3|3
Arjola|F|4|4
Arjon|M|1|1
Arli|M|1|1
Arlind|M|5|5
Arlinda|F|5|5
Armand|M|6|6
Armanda|F|5|5
Armando|M|4|4
Armela|F|3|3
Armend|M|1|1
Armida|F|2|2
Armir|M|3|3
Armira|F|1|1
Arnisa|F|1|1
Arqile|F|6|6
Arsen|M|2|2
Arshi|M|2|2
Arsim|M|3|3
Arta|F|6|6
Artan|M|7|7
Artane|F|1|1
Artemis|F|1|1
Artian|M|1|1
Arton|M|1|1
Artor|M|2|2
Artur|M|7|7
Asie|F|1|1
Asim|M|3|3
Asime|F|1|1
Asimelda|F|1|1
Asllan|M|5|5
Asma|F|1|1
Aspasia|F|1|1
Asqeri|M|4|4
Astrit|M|7|7
Athina|F|4|4
Aulona|F|3|3
Aurel|M|4|4
Aurela|F|5|5
Aurora|F|5|5
Avdi|M|2|2
Avdije|F|1|1
Avdul|M|3|3
Avdulla|M|3|3
Avdullah|M|1|1
Avdyl|M|3|3
Avni|M|5|5
Avram|M|1|1
Azem|M|4|4
Azire|F|1|1
Azmi|M|1|1
Baftjar|M|4|4
Bahir|M|1|1
Bahri|M|3|3
Bahrije|F|2|2
Bajraktari|M|2|2
Bajram|M|6|6
Baki|M|3|3
Bamir|M|1|1
Banush|M|3|3
Bardh|M|1|1
Bardha|F|4|4
Bardhi|M|3|3
Bardhok|M|4|4
Bardhosh|M|2|2
Bardhyl|M|6|6
Bardhyle|F|1|1
Bashkim|M|7|7
Baskije|F|1|1
Basri|M|1|1
Bastri|M|3|3
Bato|M|1|1
Bedri|M|5|5
Bedrije|F|1|1
Begie|F|1|1
