# name-stuff given names
# format: name|gender|frequency|tags
#
Aamir|M|2|2
Abbas|M|7|7
Abd|M|2|2
Abdal|M|5|5
Abdal+Salam|M|1|1
Abdalla|M|5|5
Abdallah|M|6|6
Abdel|M|6|6
Abdel+Aziz|M|5|5
Abdel+Fattah|M|2|2
Abdel+Ghani|M|2|2
Abdel+Hafid|M|2|2
Abdel+Hafiz|M|2|2
Abdel+Hak|M|2|2
Abdel+Hakim|M|2|2
Abdel+Halim|M|2|2
Abdel+Hamid|M|2|2
Abdel+Kader|M|4|4
Abdel+Karim|M|4|4
Abdel+Latif|M|4|4
Abdel+Majid|M|2|2
Abdel+Rahman|M|2|2
Abdelilah|M|4|4
Abdellah|M|4|4
Abder+Rahim|M|3|3
Abder+Rahman|M|3|3
Abder+Rahmane|M|3|3
Abder+Razak|M|3|3
Abdeslam|M|3|3
Abdi|M|2|2
Abdo|M|4|4
Abdol+Karim|M|2|2
Abdol+Reza|M|2|2
Abdol+Saleh|M|2|2
Abdorassoul|M|1|1
Abdou|M|4|4
Abdoul|M|5|5
Abdu|M|4|4
Abduh|M|1|1
Abdul|M|8|8
Abdul+Ahad|M|1|1
Abdul+Azim|M|1|1
Abdul+Aziz|M|4|4
Abdul+Bagi|M|2|2
Abdul+Basit|M|2|2
Abdul+Ghani|M|2|2
Abdul+Hadi|M|2|2
Abdul+Hafiz|M|2|2
Abdul+Hakim|M|2|2
Abdul+Halim|M|3|3
Abdul+Hamid|M|3|3
Abdul+Haq|M|2|2
Abdul+Jabbar|M|2|2
Abdul+Kader|M|4|4
Abdul+Kadir|M|4|4
Abdul+Kareem|M|3|3
Abdul+Karim|M|5|5
Abdul+Khaliq|M|1|1
Abdul+Latif|M|4|4
Abdul+Majeed|M|1|1
Abdul+Qadeer|M|4|4
Abdul+Qader|M|3|3
Abdul+Rahman|M|4|4
Abdul+Razzak|M|2|2
Abdul+Reza|M|1|1
Abdul+Salam|M|3|3
Abdul+Sattar|M|1|1
Abdul+Wahab|M|2|2
Abdulilah|M|3|3
Abdulla|M|6|6
Abdullah|M|7|7
Abdur+Rahim|M|1|1
Abdur+Rahman|M|3|3
Abed|M|4|4
Abeda|F|2|2
Abeer|F|6|6
Abid|M|4|4
Abida|F|2|biblical
Abir|F|6|6
Abla|F|5|5
Ablah|F|3|3
Abrar|M|1|1
Abu|M|3|3
Abu+Bakr|M|2|2
Achraf|M|1|1
Adel|M|6|6
Adell|M|3|3
Adem|M|2|2
Adham|M|2|2
Adib|M|3|3
Adiba|F|1|1
Adil|M|5|5
Adnan|M|7|7
Adnana|F|1|1
Aedal|F|2|2
Afaf|F|3|3
Afia|F|1|1
Afif|M|3|3
Afifa|F|2|2
Afifah|F|2|2
Afiya|F|1|1
Afsaneh|F|3|3
Afsar|F|2|2
Afschin|M|1|1
Afshin|M|2|2
Aftab|M|2|2
Afzal|M|3|3
Agha|M|1|1
Ahlam|F|1|1
Ahmad|M|9|9
Ahmed|M|9|9
Aicha|F|6|6
Aida|F|6|6
Aiman|M|5|5
Ainur|F|1|1
Aischa|F|5|5
Aisha|F|6|6
Aishah|F|3|3
Ajaz|M|1|1
Ajet|M|2|2
Ajmal|M|1|1
Ajub|M|2|2
Akash|M|1|1
Akbar|M|4|4
Akhtar|M|3|3
Akil|M|1|1
Akila|F|2|2
Akram|M|5|5
Al|M?|2|2
Ala|M?|3|3
Alaa|M?|4|4
Alaaddin|M|1|1
Alaeddine|M|1|1
Alaettin|M|1|1
Alam|M|1|1
Alamgir|M|1|1
Ali|M|9|9
Ali+Akbar|M|2|2
Ali+Reza|M|5|5
Ali+Riza|M|3|3
Alia|F|6|6
Aliah|F|1|1
Alim|M|2|2
Allal|M|1|1
Almaz|F|2|2
Altaf|M?|4|4
Aly|M|5|5
Alya|F|2|2
Amal|F?|7|7
Aman|M|2|2
Amani|F|3|3
Amanollah|M|2|2
Amanullah|M|2|2
Amar|M|4|4
Ameen|M|4|4
Ameer|M|4|4
Amel|F|3|3
Amena|F|1|1
Amer|M|5|5
Amin|M|6|6
Amina|F|6|6
Aminah|F|4|4
Aminata|F|1|1
Amine|M|3|3
Aminullah|M|2|2
Amir|M|6|6
Amira|F|6|6
Amirah|F|2|2
Amiri|M|1|1
Amjad|M|2|2
Ammar|M|5|5
Ammaria|F|1|1
Amr|M|2|2
Amro|M|2|2
Amrou|M|1|1
Amsah|F|1|1
Anahita|F|2|2
Anas|M|2|2
Anass|M|2|2
Anbar|F|1|1
Angham|F|1|1
Anis|M|4|4
Anisa|F|2|2
Anissa|F|2|2
Anjum|F|4|4
Anouar|M|3|3
Ansa|F|1|1
Ansar|M|1|1
Antoun|M|2|2
Anwaar|M|3|3
Anwar|M|6|6
Aqil|M|3|3
Aqila|F|2|2
Aram|M|2|biblical
Aras|M|2|mythological
Arasch|M|2|2
Arash|M|4|4
Aref|M|3|3
Ari|M|3|3
Arian|M|2|2
Arib|M|1|1
Arif|M|4|4
Arifa|F|1|1
Arkan|M|2|2
Arshad|M|2|2
Arub|F|1|1
Arwa|F|2|2
Asaad|M|3|3
Asad|M|5|5
Asal|F|2|2
Asam|M|2|2
Aschraf|M?|3|3
Asghar|M|4|4
Ashfaq|M|2|2
Ashraf|M?|5|5
Asia|F|2|mythological
Asif|M|3|3
Asifa|F|4|4
Asiya|F|1|1
Aslam|M|2|2
Aslan|M|1|1
Asma|F|6|6
Asmaa|F|6|6
Asmin|M|1|1
Assaad|M|3|3
Assad|M|4|4
Assam|M|2|2
Assia|F|2|2
Assma|F|4|4
Assmaa|F|4|4
Asya|F|1|1
Atallah|M|2|2
Atef|M|3|3
Atif|M|1|1
Atifa|F|1|1
Atiq|M|2|2
Atossa|F|2|2
Atousa|F|2|2
Atuf|M|1|1
Ava|F|3|3
Awa|F|2|2
Awad|M|3|3
Awatif|F|1|1
Awni|M|3|3
Aya|F|3|3
Ayesha|F|2|2
Ayman|M|6|6
Ayoub|M|3|3
Aysha|F|3|3
Azad|M|3|3
Azam|M|3|3
Azar|F|4|4
Azed|M|2|2
Azhar|M?|3|3
Azima|F|1|1
Azin|F|1|1
Aziz|M|5|5
Aziza|F|5|5
Azmat|M|2|2
Azmi|M|3|3
Azra|F|4|4
Azzah|F|1|1
Azzam|M|2|2
Azzedine|M|1|1
Azzouz|M|1|1
Babak|M|3|3
Babar|M|2|2
Babrak|M|2|2
Babu|M|1|1
Bachar|M|1|1
Bachier|M|1|1
Bachir|M|3|3
Badi|M|2|2
Badia|F|4|4
Badiah|F|2|2
Badr|M|3|3
Badradin|M|2|2
Badreddine|M|1|1
Badri|M|2|2
Badrieh|M|1|1
Baha|M|2|2
Bahaddin|M|1|1
Bahar|F|1|1
