# name-stuff given names
# format: name|gender|frequency|tags
#
Janis|M|11|11
Andris|M|10|10
Antanas|M|10|10
Elena|F|10|10
Jonas|M|10|10
Juozas|M|10|10
Ona|F|10|10
Vytautas|M|10|10
Aivars|M|9|9
Aldona|F|9|9
Algirdas|M|9|9
Andrejs|M|9|9
Dace|F|9|9
Ilze|F|9|9
Irena|F|9|9
Jadvyga|F|9|9
Janina|F|9|9
Juris|M|9|9
Marija|F|9|9
Maris|M|9|9
Petras|M|9|9
Stasys|M|9|9
Aija|F|8|8
Aleksandrs|M|8|8
Alfonsas|M|8|8
Algimantas|M|8|8
Andres|M|8|8
Anita|F|8|8
Anna|F|8|8
Anne|F|8|8
Anu|F|8|8
Baiba|F|8|8
Edgars|M|8|8
Ene|F|8|8
Gintaras|M|8|8
Gunars|M|8|8
Gunta|F|8|8
Guntis|M|8|8
Ieva|F|8|8
Inara|F|8|8
Inese|F|8|8
Inga|F|8|8
Inta|F|8|8
Irena|F|8|8
Irina|F|8|8
Ivars|M|8|8
Jaan|M|8|8
Juri|M|8|8
Karlis|M|8|8
Katrin|F|8|8
Kazimieras|M|8|8
Kazys|M|8|8
Kestutis|M|8|8
Liga|F|8|8
Maija|F|8|8
Mara|F|8|8
Margus|M|8|8
Marijona|F|8|8
Martin|M|8|8
Olga|F|8|8
Peeter|M|8|8
Peteris|M|8|8
Pille|F|8|8
Pranas|M|8|8
Priit|M|8|8
Regina|F|8|8
Rein|M|8|8
Riina|F|8|8
Rimantas|M|8|8
Sandra|F|8|8
Saulius|M|8|8
Sirje|F|8|8
Stanislava|F|8|8
Tatjana|F|8|8
Tiina|F|8|8
Tiit|M|8|8
Tonu|M|8|8
Toomas|M|8|8
Uldis|M|8|8
Ulle|F|8|8
Valdis|M|8|8
Vija|F|8|8
Vladas|M|8|8
Aare|M|7|7
Agris|M|7|7
Aigars|M|7|7
Aina|F|7|7
Aivar|M|7|7
Alar|M|7|7
Albinas|M|7|7
Aldis|M|7|7
Aleksandras|M|7|7
Algis|M|7|7
Anda|F|7|7
Andis|M|7|7
Andrei|M|7|7
Andrus|M|7|7
Anneli|F|7|7
Annika|F|7|7
Antanina|F|7|7
Antons|M|7|7
Arnis|M|7|7
Artnas|M|7|7
Arttras|M|7|7
Arttrs|M|7|7
Arvo|M|7|7
Arvydas|M|7|7
Ausma|F|7|7
Biruta|F|7|7
Bronislava|F|7|7
Bronius|M|7|7
Daina|F|7|7
Dainis|M|7|7
Dalia|F|7|7
Darius|M|7|7
Diana|F|7|7
Dzintars|M|7|7
Dzintra|F|7|7
Eha|F|7|7
Emilija|F|7|7
Enn|M|7|7
Eriks|M|7|7
Erki|M|7|7
Gatis|M|7|7
Gediminas|M|7|7
Gintautas|M|7|7
Girts|M|7|7
Grazina|F|7|7
Guntars|M|7|7
Heli|F|7|7
Igors|M|7|7
Ilga|F|7|7
Ilmars|M|7|7
Ilona|F|7|7
Imants|M|7|7
Indrek|M|7|7
Ingrida|F|7|7
Iveta|F|7|7
Ivo|M|7|7
Jaanus|M|7|7
Jelena|F|7|7
Jelena|F|7|7
Jtlija|F|7|7
Julija|F|7|7
Jurgis|M|7|7
Kadri|F|7|7
Kaja|F|7|7
Kalle|M|7|7
Karin|F|7|7
Kaspars|M|7|7
Kersti|F|7|7
Kristi|F|7|7
Kristine|F|7|7
Kulli|F|7|7
Laima|F|7|7
Lea|F|7|7
Leonas|M|7|7
Liina|F|7|7
Liis|F|7|7
Ludmila|F|7|7
Madis|M|7|7
Maie|F|7|7
Malle|F|7|7
Mare|F|7|7
Marek|M|7|7
Mari|F|7|7
Marika|F|7|7
Marina|F|7|7
Marko|M|7|7
Mart|M|7|7
Mati|M|7|7
Meelis|M|7|7
Merike|F|7|7
Merle|F|7|7
Mihkel|M|7|7
Mindaugas|M|7|7
Natalija|F|7|7
Natalja|F|7|7
Normunds|M|7|7
Oskars|M|7|7
Piret|F|7|7
Povilas|M|7|7
Raimonds|M|7|7
Raivo|M|7|7
Rasa|F|7|7
Reet|F|7|7
Rita|F|7|7
Roberts|M|7|7
Romualdas|M|7|7
Rtta|F|7|7
Ruta|F|7|7
Sarmite|F|7|7
Sergei|M|7|7
Sergejs|M|7|7
Sigitas|M|7|7
Silvija|F|7|7
Sofija|F|7|7
Stanislovas|M|7|7
Stefanija|F|7|7
Svetlana|F|7|7
Taavi|M|7|7
Tarmo|M|7|7
Tiia|F|7|7
Tiiu|F|7|7
Tonis|M|7|7
Triin|F|7|7
Ulo|M|7|7
Urmas|M|7|7
Vaclovas|M|7|7
Valdas|M|7|7
Valentina|F|7|7
Valerija|F|7|7
Vello|M|7|7
Velta|F|7|7
Veronika|F|7|7
Vida|F|7|7
Viesturs|M|7|7
Viktoras|M|7|7
Viktorija|F|7|7
Viktors|M|7|7
Vilnis|M|7|7
Vincas|M|7|7
Violeta|F|7|7
Virginija|F|7|7
Virginijus|M|7|7
Vladimirs|M|7|7
Zita|F|7|7
Zofija|F|7|7
Agnese|F|6|6
Aili|F|6|6
Ain|M|6|6
Ainars|M|6|6
Aino|F|6|6
Aivo|F|6|6
Albertas|M|6|6
Alberts|M|6|6
Albina|F|6|6
Aleksander|M|6|6
Aleksandr|M|6|6
Aleksandra|F|6|6
Aleksei|M|6|6
Alfreds|M|6|6
Alo|M|6|6
Alvydas|M|6|6
Andra|F|6|6
Andrius|M|6|6
Anti|M|6|6
Antra|F|6|6
Ants|M|6|6
Argo|M|6|6
Arija|F|6|6
Armands|M|6|6
Arnolds|M|6|6
Artis|M|6|6
Arvids|M|6|6
Astrida|F|6|6
Atis|M|6|6
Audrius|M|6|6
Ave|F|6|6
Avo|M|6|6
Brigita|F|6|6
Bronislovas|M|6|6
Ceslovas|M|6|6
Dagnija|F|6|6
Daiga|F|6|6
Dainius|M|6|6
Daiva|F|6|6
