# name-stuff given names
# format: name|gender|frequency|tags
#
Aadam|M|1|1
Aadu|M|2|2
Aare|M|7|7
Aarne|M|4|4
Aaro|M|1|1
Aave|F|2|2
Aavo|M|4|4
Ada|F|1|1
Adakras|M|1|1
Ade|F|1|1
Adeele|F|1|1
Adel<e°>|F|5|5
Ado|M|2|2
Adolfas|M|4|4
Adolfina|F|3|3
Adomas|M|5|5
Adriana|F|1|1
Adriāns|M|2|2
Aelita|F|2|2
Afanasijs|M|1|1
Agate|F|2|2
Age|M|1|1
Agita|F|5|5
Agle|F|1|1
Agn<e°>|F|2|2
Agne|F|4|4
Agnese|F|6|6
Agneta|F|1|1
Agniet<e°>|F|1|1
Agnieka|F|1|1
Agnija|F|4|4
Agnis|M|4|4
Ago|M|4|4
Agota|F|3|3
Agra|F|3|3
Agris|M|7|7
Agrita|F|4|4
Agu|M|3|3
Ahti|M|4|4
Ahto|M|5|5
Aida|F|2|2
Aidas|M|3|3
Aide|F|2|2
Aiga|F|4|4
Aigar|M|4|4
Aigars|M|7|7
Aigris|M|1|1
Aija|F|8|8
Aiki|F|1|1
Aile|F|3|3
Aili|F|6|6
Aima|F|1|1
Aimantas|M|1|1
Aimar|M|2|2
Aime|F|5|5
Aimi|F|1|1
Aimur|M|3|3
Ain|M|6|6
Aina|F|7|7
Ainar|M|4|4
Ainars|M|4|4
Ainis|M|3|3
Aino|F|6|6
Ainārs|M|6|6
Aira|F|4|4
Aire|F|4|4
Airi|F|5|5
Airidas|M|1|1
Airina|F|2|2
Airo|F|1|1
Aisma|F|2|2
Aita|F|4|4
Aiva|F|5|5
Aivar|M|7|7
Aivaras|M|3|3
Aivars|M|9|9
Aive|F|3|3
Aivi|F|5|5
Aivils|M|1|1
Aivis|M|4|4
Aivo|F|6|6
Al<e°>|F|1|1
Ala|F|3|3
Alan|M|2|2
Alar|M|7|7
Alari|M|4|4
Albertas|M|6|6
Alberts|M|6|6
Albina|F|6|6
Albinas|M|7|7
Albīna|F|2|2
Alda|F|5|5
Aldas|M|1|1
Aldis|M|7|7
Aldona|F|9|9
Aldonija|F|2|2
Aldonis|M|3|3
Aldor|M|1|1
Aleks|M|1|1
Aleks<e°>jus|M|1|1
Aleksander|M|6|6
Aleksandr|M|6|6
Aleksandra|F|6|6
Aleksandras|M|7|7
Aleksandrs|M|8|8
Aleksas|M|5|5
Aleksei|M|6|6
Aleksejs|M|5|5
Aleksejus|M|2|2
Aleksiejus|M|1|1
Alena|F|3|3
Alevtīna|F|2|2
Alexander|M|3|3
Alexandra|F|1|1
Alfons|M|4|4
Alfonsa|F|2|2
Alfonsas|M|8|8
Alfreda|F|2|2
Alfredas|M|5|5
Alfrēds|M|6|6
Alfs|M|2|2
Alg<e°>|F|1|1
Alger|M|1|1
Algimanta|F|1|1
Algimantas|M|8|8
Algimas|M|1|1
Algirdas|M|9|9
Algis|M|7|7
Alik|M|1|1
Alina|F|4|4
Aliodija|F|1|1
Alis|M|1|1
Alisa|F|3|3
Alise|F|1|1
Alius|M|1|1
Aljona|F|2|2
Alla|F|3|3
Allan|M|5|5
Allar|M|2|2
Alli|F|1|1
Alma|F|2|2
Almantas|M|3|3
Alminas|M|1|1
Alnis|M|2|2
Alo|M|6|6
Aloizas|M|1|1
Aloizs|M|2|2
Aloyzas|M|5|5
Alser|M|1|1
Alto|M|1|1
Alvar|M|4|4
Alvida|F|1|1
Alvidas|M|1|1
Alviina|F|1|1
Alvils|M|4|4
Alvina|F|1|1
Alvis|M|5|5
Alvyda|F|1|1
Alvydas|M|6|6
Alīna|F|2|2
Amara|F|1|1
Ambraziejus|M|1|1
Amelija|F|1|1
Amūras|M|1|1
Anarsija|F|1|1
Anary|M|1|1
Anastasija|F|5|5
Anastazas|M|1|1
Anastazija|F|4|4
Anatoli|M|5|5
Anatolija|F|1|1
Anatolijs|M|5|5
Anatolijus|M|3|3
Ance|F|2|2
Anda|F|7|7
Ande|F|1|1
Ander|M|2|2
Andis|M|7|7
Ando|M|3|3
Andr<e°>jus|M|1|1
Andra|F|6|6
Andreas|M|3|3
Andrei|M|7|7
Andrejs|M|9|9
Andrejus|M|3|3
Andres|M|8|8
Andri|M|4|4
Andriejus|M|2|2
Andrievs|M|1|1
Andrijs|M|1|1
Andris|M|10|10
Andrius|M|6|6
Andro|M|1|1
Andrus|M|7|7
Andu|M|2|2
Andzela|F|2|2
Anel<e°>|F|6|6
Anete|F|4|4
Anette|F|2|2
Anfisa|F|1|1
Angel<e°>|F|6|6
Angela|F|4|4
Angeliina|F|1|1
Angelija|F|1|1
Angelika|F|2|2
Angelina|F|1|1
Angonita|F|1|1
Aniceta|F|3|3
Anicetas|M|4|4
Anika|F|2|2
Anita|F|8|8
Anjuta|F|1|1
Ann|F|4|4
Anna|F|8|8
Anne|F|8|8
Anne-Ly|F|4|4
Annela|F|2|2
Anneli|F|7|7
Annely|F|4|4
Annemari|F|2|2
Anni|F|5|5
Annija|F|2|2
Annika|F|7|7
Anri|M|1|1
Ansis|M|4|4
Anta|F|5|5
Antan<e°>|F|1|1
Antanas|M|10|10
Antanina|F|7|7
Anti|M|6|6
Anto|M|1|1
Anton|M|4|4
Antoni|M|1|1
Antonija|F|4|4
Antonina|F|2|2
Antons|M|7|7
Antosia|F|1|1
Antoņina|F|5|5
Antra|F|6|6
Ants|M|6|6
Antti|M|1|1
Antu|M|1|1
Anu|F|8|8
Anupras|M|1|1
Anžela|F|1|1
Anželika|F|2|2
Apolinaras|M|3|3
Apolonija|F|5|5
Ar<e°>jas|M|1|1
Aras|M|1|1
Ardi|M|3|3
Ardis|F|1|1
Ardo|M|2|2
Are|M|4|4
Arenijus|M|1|1
Ares|M|1|1
Areta|F|1|1
Argirdas|M|1|1
Argo|M|6|6
Aricijana|F|1|1
Arijana|F|1|1
Arimantas|M|1|1
Arina|F|1|1
Aringas|M|1|1
Arita|F|3|3
Arkadijus|M|1|1
Arko|M|1|1
Arkādijs|M|3|3
Arleta|F|1|1
Arli|M|1|1
Armandas|M|1|1
Armands|M|6|6
Armantas|M|1|1
Arminas|M|1|1
Armo|M|1|1
Armīns|M|2|2
Arnas|M|1|1
Arne|M|4|4
Arnis|M|7|7
Arno|M|4|4
Arnold|M|4|4
Arnoldas|M|4|4
Arnolds|M|6|6
Aron|M|1|1
Arona|F|1|1
Arta|F|5|5
Arti|M|2|2
Artiomas|M|1|1
Artis|M|6|6
Artjoms|M|1|1
Arto|M|1|1
Artur|M|5|5
Arturas|M|1|1
Arturs|M|4|4
Artūras|M|7|7
Artūrs|M|7|7
Arvet|M|2|2
Arvi|M|5|5
Arvis|M|5|5
Arvo|M|7|7
Arvyda|F|1|1
Arvydas|M|7|7
Arvīds|M|6|6
Arūn<e°>|F|1|1
Arūnas|M|7|7
Asja|F|1|1
Asko|M|3|3
Askolds|M|3|3
Assar|M|1|1
Asta|F|5|5
Astra|F|4|4
Astrid|F|3|3
Astrit|F|1|1
Astrīda|F|6|6
Atis|M|6|6
Ats|M|3|3
Atvars|M|2|2
Audra|F|1|1
Audris|M|2|2
Audrius|M|6|6
Audron<e°>|F|6|6
Audronis|M|1|1
Audronius|M|2|2
Audrys|M|2|2
Augenijus|M|1|1
August|M|2|2
Augustas|M|2|2
Augustinas|M|4|4
Augusts|M|3|3
Augut<e°>|F|1|1
Auks<e°>|F|3|3
Auli|F|2|2
Aulika|F|2|2
Aun|M|1|1
Aune|F|2|2
Aurelija|F|5|5
Aurelijus|M|3|3
Auri|F|1|1
Aurika|F|1|1
Aurimas|M|2|2
Ausma|F|7|7
Austra|F|5|5
Austris|M|4|4
Aura|F|6|6
Aurel<e°>|F|1|1
Aurin<e°>|F|2|2
Auvidas|M|1|1
Auvydas|M|1|1
Ave|F|6|6
Aveli|F|1|1
Avemari|F|1|1
Avo|M|6|6
Aļona|F|3|3
Bagdonas|M|1|1
Baiba|F|8|8
Baltramiejus|M|2|2
Baltras|M|1|1
Balys|M|5|5
Banga|F|1|1
Banguolis|M|1|1
Barba|F|1|1
Barbora|F|2|2
Bazilijus|M|1|1
Beatrise|F|2|2
Belovs|M|1|1
Benedikta|F|2|2
Benediktas|M|5|5
Benigna|F|2|2
Benita|F|5|5
Benius|M|1|1
Benjaminas|M|3|3
Berit|F|2|2
Bernadeta|F|4|4
Bernardas|M|3|3
Birgit|F|5|5
Birut<e°>|F|8|8
Biruta|F|7|7
Blažiejus|M|1|1
Bogdana|F|1|1
Bogdans|M|1|1
Boleslavas|M|1|1
Boleslovas|M|4|4
Bolius|M|2|2
Bonifacas|M|1|1
Boris|M|2|2
Borisas|M|1|1
Boriss|M|4|4
Brigita|F|6|6
Bron<e°>|F|7|7
Bronis|M|1|1
Bronislav|M|1|1
Bronislava|F|7|7
Bronislavas|M|4|4
Bronislova|F|1|1
Bronislovas|M|6|6
Bronius|M|7|7
Bronys|M|1|1
Broņislava|F|2|2
Broņislavs|M|5|5
Bruno|M|5|5
Brunonas|M|1|1
Carmen|F|3|3
Caspar|M|1|1
Cecilija|F|1|1
Cezaris|M|1|1
Chaimas|M|1|1
Christel|F|2|2
Christine|F|2|2
Cimdins|M|1|1
Cirilis|M|1|1
Cris|M|1|1
D<z°>iugas|M|1|1
Dace|F|9|9
Dagi|F|1|1
Dagmar|F|2|2
Dagmāra|F|5|5
Dagnija|F|6|6
Dagnis|M|4|4
Daiga|F|6|6
Dailonis|M|3|3
Daina|F|7|7
Dainis|M|7|7
Dainius|M|6|6
Dainoras|M|1|1
Dainotas|M|1|1
Dainuvīte|F|2|2
Daira|F|4|4
Dairi|F|1|1
Daisy|F|1|1
Daiva|F|6|6
Dal<e°>|F|1|1
Dalia|F|7|7
Dalija|F|1|1
Dalius|M|5|5
Damijonas|M|1|1
Dana|F|4|4
Danas|M|1|1
Dangeras|M|1|1
Dangira|F|1|1
Dangirdas|M|1|1
Dangirutis|M|1|1
Danguol<e°>|F|5|5
Danielius|M|5|5
Daniels|M|2|2
Danil|M|1|1
Danius|M|1|1
Danut<e°>|F|8|8
Darija|F|2|2
Darijus|M|1|1
Darius|M|7|7
Darja|F|4|4
Daugirdas|M|1|1
Daumantas|M|1|1
Daumants|M|2|2
Davis|M|1|1
Deimantas|M|3|3
Deivi|F|2|2
Deividas|M|2|2
Deivydas|M|1|1
Delia|F|1|1
Denis|M|2|2
Deniss|M|5|5
Diaana|F|1|1
Dialita|F|1|1
Diana|F|6|6
Didzis|M|5|5
Digna|F|1|1
Dima|F|2|2
Dimitrii|M|1|1
Dina|F|4|4
Dionizas|M|1|1
Dionyzas|M|1|1
Dita|F|4|4
Diāna|F|7|7
Dmitri|M|6|6
Dmitrijs|M|6|6
Dmitrijus|M|2|2
Dobilas|M|1|1
Domantas|M|1|1
Domas|M|1|1
Domic<e°>l<e°>|F|3|3
Domicel<e°>|F|2|2
Dominikas|M|2|2
Domininkas|M|2|2
Dominykas|M|1|1
