# name-stuff given names
# format: name|gender|frequency|tags
#
Li|U|10|10
Wei|U|10|10
Yan|U|10|10
Hong|U|9|9
Jian|U|9|9
Jing|U|9|9
Jun|U|9|9
Lei|U|9|9
Min|U|9|mythological
Ping|U|9|9
Ying|U|9|9
Bin|U|8|8
Bing|U|8|8
Bo|U|8|8
Fang|U|8|8
Feng|U|8|8
Gang|U|8|8
Hui|U|8|mythological
Jie|U|8|8
Lin|U|8|8
Ling|U|8|8
Ming|U|8|8
Ning|U|8|8
Peng|U|8|8
Qi|U|8|8
Qiang|U|8|8
Qing|U|8|8
Rong|U|8|8
Tao|U|8|8
Xin|U|8|8
Yang|U|8|8
Yi|U|8|8
Yong|U|8|8
Yu|U|8|8
Chao|U|7|7
Chen|U|7|7
Cheng|U|7|7
Dan|U|7|biblical,mythological
Dong|U|7|7
Fei|U|7|7
Hao|U|7|7
Hua|U|7|7
Jin|U|7|7
Kai|U|7|7
Lan|U|7|7
Liang|U|7|7
Mei|U|7|7
Qian|U|7|7
Qin|U|7|7
Rui|U|7|7
Tong|U|7|7
Wen|U|7|7
Xi|U|7|7
Xia|U|7|7
Xiang|U|7|7
Xiao|U|7|7
Yuan|U|7|7
Yun|U|7|7
Zhen|U|7|7
Zheng|U|7|7
Chun|U|6|6
Fan|U|6|6
Ge|U|6|6
Guang|U|6|6
Hai|U|6|6
Hai+Yan|U|6|6
Hong+Wei|U|6|6
Ji|U|6|6
Jia|U|6|6
Jian+Guo|U|6|6
Jian+Hua|U|6|6
Jian+Jun|U|6|6
Jian+Min|U|6|6
Jian+Ping|U|6|6
Jiang|U|6|6
Juan|U|6|6
Ke|U|6|6
Kun|U|6|6
Li+Hua|U|6|6
Li+Li|U|6|6
Li+Ping|U|6|6
Lu|U|6|6
Meng|U|6|6
Na|U|6|6
Nan|U|6|6
Pei|U|6|6
Qun|U|6|6
Sheng|U|6|6
Shu|U|6|6
Ting|U|6|6
Wei+Dong|U|6|6
Xian|U|6|6
Xiao+Dong|U|6|6
Xiao+Hong|U|6|6
Xiao+Ming|U|6|6
Xiao+Ping|U|6|6
Xing|U|6|6
Xu|U|6|6
Xuan|U|6|6
Yao|U|6|6
Ye|U|6|6
Yin|U|6|6
Yue|U|6|6
Zhe|U|6|6
Zhi|U|6|6
Zhong|U|6|6
Ai+Hua|U|5|5
Ai+Min|U|5|5
Bei|U|5|5
Biao|U|5|5
Chang|U|5|5
Chong|U|5|5
Chuan|U|5|5
Da+Wei|U|5|5
Di|U|5|5
Ding|U|5|5
Fen|U|5|5
Hai+Bo|U|5|5
Hai+Feng|U|5|5
Hai+Tao|U|5|5
Hai+Ying|U|5|5
Han|U|5|5
Hang|U|5|5
He|U|5|5
Heng|U|5|5
Hong+Mei|U|5|5
Hong+Yan|U|5|5
Huan|U|5|5
Jian+Feng|U|5|5
Jian+Ming|U|5|5
Jian+Wei|U|5|5
Jin+Hua|U|5|5
Kang|U|5|5
Kui|U|5|mythological
Li+Hong|U|5|5
Li+Juan|U|5|5
Li+Jun|U|5|5
Li+Ming|U|5|5
Li+Na|U|5|5
Li+Xin|U|5|5
Lian|U|5|5
Long|U|5|5
Miao|U|5|5
Qiao|U|5|5
Qiong|U|5|5
Quan|U|5|5
Ran|U|5|5
Ru|U|5|5
Shan|U|5|5
Shao+Hua|U|5|5
Shuang|U|5|5
Song|U|5|5
Su|U|5|5
Tian|U|5|5
Wei+Guo|U|5|5
Wei+Hua|U|5|5
Wei+Min|U|5|5
Wei+Ping|U|5|5
Xiang+Dong|U|5|5
Xiao+Chun|U|5|5
Xiao+Feng|U|5|5
Xiao+Hua|U|5|5
Xiao+Hui|U|5|5
Xiao+Jun|U|5|5
Xiao+Li|U|5|5
Xiao+Ling|U|5|5
Xiao+Wei|U|5|5
Xiao+Yan|U|5|5
Xiao+Ying|U|5|5
Xiao+Yu|U|5|5
Xu+Dong|U|5|5
Xue|U|5|5
Xue+Mei|U|5|5
Xun|U|5|5
Ya|U|5|5
Ya+Jun|U|5|5
Yan+Hong|U|5|5
Yan+Ling|U|5|5
Yan+Ping|U|5|5
Yuan+Yuan|U|5|5
Zhao|U|5|5
Zhao+Hui|U|5|5
Zhen+Yu|U|5|5
Zhi+Gang|U|5|5
Zhi+Hong|U|5|5
Zhi+Hua|U|5|5
Zhi+Qiang|U|5|5
Zhi+Yong|U|5|5
Ai+Guo|U|4|4
Ai+Ping|U|4|4
An|U|4|4
Bao|U|4|4
Bao+Hua|U|4|4
Bao+Lin|U|4|4
Cai|U|4|4
Chang+Qing|U|4|4
Chi|U|4|4
Chun+Lei|U|4|4
Chun+Mei|U|4|4
Chun+Yan|U|4|4
Chun+Yu|U|4|4
Cong|U|4|4
Da+Peng|U|4|4
Da+Qing|U|4|4
Dong+Hui|U|4|4
Dong+Mei|U|4|4
Dong+Sheng|U|4|4
Duo|U|4|4
Fu|U|4|4
Gan|U|4|4
Geng|U|4|4
Gong|U|4|4
Guan|U|4|4
Guang+Hua|U|4|4
Guang+Hui|U|4|4
Guang+Ming|U|4|4
Guang+Yu|U|4|4
Guo|U|4|4
Guo+Feng|U|4|4
Guo+Hua|U|4|4
Guo+Jun|U|4|4
Guo+Liang|U|4|4
Guo+Ping|U|4|4
Guo+Qiang|U|4|4
Guo+Qing|U|4|4
Guo+Rong|U|4|4
Guo+Ying|U|4|4
Hai+Bin|U|4|4
He+Ping|U|4|4
Hong+Bin|U|4|4
Hong+Jun|U|4|4
Hong+Tao|U|4|4
Hong+Xia|U|4|4
Hong+Yu|U|4|4
Hu|U|4|4
Hui+Fang|U|4|4
Hui+Min|U|4|4
Hui+Ping|U|4|4
Ji+Ping|U|4|4
Jian+Bo|U|4|4
Jian+Hong|U|4|4
Jian+Hui|U|4|4
Jian+Xin|U|4|4
Jian+Zhong|U|4|4
Jin+Feng|U|4|4
Jin+Ping|U|4|4
Jin+Sheng|U|4|4
Jin+Song|U|4|4
Jing+Bo|U|4|4
Jing+Hua|U|4|4
Jing+Jing|U|4|4
Ju|U|4|4
Jue|U|4|4
Jun+Feng|U|4|4
Kan|U|4|4
Le|U|4|4
Li+Fang|U|4|4
Li+Feng|U|4|4
Li+Mei|U|4|4
Li+Min|U|4|4
Li+Qing|U|4|4
Li+Yan|U|4|4
Li+Ying|U|4|4
Lie|U|4|4
Ling+Yun|U|4|4
Liu|U|4|4
Man|U|4|4
Mao|U|4|4
Mei+Fang|U|4|4
Mei+Hua|U|4|4
Mei+Ying|U|4|4
Mian|U|4|4
Ming+Hua|U|4|4
Ming+Hui|U|4|4
Ming+Ming|U|4|4
Mu|U|4|4
Peng+Fei|U|4|4
Pin|U|4|4
Pu|U|4|4
Qing+Hua|U|4|4
Ren|U|4|4
Rong+Hua|U|4|4
Sen|U|4|4
Sha|U|4|4
Shen|U|4|4
Shi|U|4|4
Shu+Hua|U|4|4
Shu+Lin|U|4|4
Shu+Min|U|4|4
Ting+Ting|U|4|4
Wang|U|4|4
Wei+Hong|U|4|4
Wei+Jun|U|4|4
Wei+Li|U|4|4
Wei+Lin|U|4|4
Wei+Ming|U|4|4
Wei+Qing|U|4|4
Wei+Wei|U|4|4
Wei+Xin|U|4|4
Wen+Bin|U|4|4
Wen+Bo|U|4|4
Wen+Hua|U|4|4
Wen+Hui|U|4|4
Wen+Jie|U|4|4
Wen+Jing|U|4|4
Wen+Jun|U|4|4
Wen+Li|U|4|4
Wen+Sheng|U|4|4
Wen+Zhong|U|4|4
Wu|U|4|4
Xian+Feng|U|4|4
Xiang+Hong|U|4|4
Xiang+Yang|U|4|4
Xiao+Bin|U|4|4
Xiao+Bing|U|4|4
Xiao+Bo|U|4|4
Xiao+Fang|U|4|4
Xiao+Jie|U|4|4
Xiao+Jing|U|4|4
Xiao+Juan|U|4|4
Xiao+Lan|U|4|4
Xiao+Lei|U|4|4
Xiao+Liang|U|4|4
Xiao+Lin|U|4|4
Xiao+Mei|U|4|4
Xiao+Min|U|4|4
Xiao+Qin|U|4|4
Xiao+Qing|U|4|4
Xiao+Rong|U|4|4
Xiao+Xia|U|4|4
Xiao+Yun|U|4|4
Xin+Hua|U|4|4
Xin+Ping|U|4|4
Xin+Yu|U|4|4
Xiong|U|4|4
Xiu|U|4|4
Xiu+Li|U|4|4
Xiu+Mei|U|4|4
Xiu+Zhen|U|4|4
Xue+Feng|U|4|4
Xue+Jun|U|4|4
Ya+Dong|U|4|4
Ya+Li|U|4|4
Ya+Ping|U|4|4
Yan+An|U|4|4
Yan+Feng|U|4|4
Yan+Hua|U|4|4
Yan+Hui|U|4|4
Yan+Jun|U|4|4
Yan+Li|U|4|4
Yan+Mei|U|4|4
Yan+Ming|U|4|4
Yan+Yan|U|4|4
Yi+Min|U|4|4
Yi+Ming|U|4|4
Yi+Ping|U|4|4
Yi+Wei|U|4|4
Ying+Ying|U|4|4
Yong+Jun|U|4|4
Yong+Mei|U|4|4
Yong+Sheng|U|4|4
Yu+Feng|U|4|4
Yu+Hong|U|4|4
Yu+Hua|U|4|4
Yu+Lin|U|4|4
Yu+Mei|U|4|4
Yu+Ming|U|4|4
Yu+Ping|U|4|4
Yu+Qing|U|4|4
Yu+Xin|U|4|4
Yu+Ying|U|4|4
Ze|U|4|4
Zhan|U|4|4
Zhang|U|4|4
Zhen+Hua|U|4|4
Zhi+Jian|U|4|4
Zhi+Jun|U|4|4
Zhi+Ping|U|4|4
Zhi+Wei|U|4|4
Zhou|U|4|4
Zhu|U|4|4
Zhuo|U|4|4
Ai+Jun|U|3|3
Ai+Ling|U|3|3
Ai+Qin|U|3|3
Ai+Xia|U|3|3
Ao|U|3|mythological
Bai|U|3|3
Bai+Lin|U|3|3
Bao+Hong|U|3|3
Bao+Hui|U|3|3
Bei+Bei|U|3|3
Ben|U|3|3
Bing+Quan|U|3|3
Cai+Xia|U|3|3
Can|U|3|3
Chang+Hong|U|3|3
Chang+Jiang|U|3|3
Chang+Ming|U|3|3
Chang+Sheng|U|3|3
Chang+Yong|U|3|3
Chao+Yang|U|3|3
Cheng+Gang|U|3|3
Chun+Fang|U|3|3
Chun+Guang|U|3|3
Chun+Hong|U|3|3
Chun+Hua|U|3|3
Chun+Hui|U|3|3
Chun+Jie|U|3|3
Chun+Li|U|3|3
Chun+Ling|U|3|3
Chun+Ming|U|3|3
Chun+Sheng|U|3|3
Chun+Xia|U|3|3
Chun+Ying|U|3|3
Cui+Ling|U|3|3
Da|U|3|3
Da+Cheng|U|3|3
Da+Hai|U|3|3
Da+Li|U|3|3
Da+Ming|U|3|3
Da+Yong|U|3|3
Da+Yuan|U|3|3
Da+Zhi|U|3|3
Dai|U|3|3
De+Hua|U|3|3
De+Jian|U|3|3
De+Liang|U|3|3
De+Min|U|3|3
De+Ming|U|3|3
De+Sheng|U|3|3
Dong+Fang|U|3|3
Dong+Hua|U|3|3
Dong+Ming|U|3|3
Duan|U|3|3
En|U|3|3
Feng+Hua|U|3|3
Feng+Yu|U|3|3
Fu+Jun|U|3|3
Fu+Qiang|U|3|3
Fu+Sheng|U|3|3
Gao|U|3|3
Guang+Ping|U|3|3
Guang+Wei|U|3|3
Guang+Wen|U|3|3
Gui+Fang|U|3|3
Gui+Lin|U|3|3
Guo+Dong|U|3|3
Guo+Hong|U|3|3
Guo+Hui|U|3|3
Guo+Quan|U|3|3
Guo+Sheng|U|3|3
Guo+Zhen|U|3|3
Hai+Chao|U|3|3
Hai+Dong|U|3|3
Hai+Hua|U|3|3
Hai+Jun|U|3|3
Hai+Lin|U|3|3
Hai+Ling|U|3|3
Hai+Long|U|3|3
Hai+Ming|U|3|3
Hai+Peng|U|3|3
Hai+Ping|U|3|3
Hai+Qing|U|3|3
Hai+Rong|U|3|3
Hai+Sheng|U|3|3
Hai+Xia|U|3|3
Hai+Yang|U|3|3
Hai+Yun|U|3|3
Hai+Zhen|U|3|3
Hong+Bing|U|3|3
Hong+Bo|U|3|3
Hong+Gang|U|3|3
Hong+Jian|U|3|3
Hong+Jie|U|3|3
Hong+Lei|U|3|3
Hong+Li|U|3|3
Hong+Liang|U|3|3
Hong+Lin|U|3|3
Hong+Ling|U|3|3
Hong+Min|U|3|3
Hong+Ming|U|3|3
Hong+Qi|U|3|3
Hong+Sheng|U|3|3
Hong+Xing|U|3|3
Hong+Ying|U|3|3
Hua+Ping|U|3|3
Hui+Fen|U|3|3
Hui+Juan|U|3|3
Hui+Jun|U|3|3
Hui+Ling|U|3|3
Hui+Qing|U|3|3
Hui+Ying|U|3|3
Hui+Zhen|U|3|3
Ji+Dong|U|3|3
Ji+Hong|U|3|3
Ji+Hua|U|3|3
Ji+Jun|U|3|3
Ji+Min|U|3|3
Ji+Wen|U|3|3
Jia+Hong|U|3|3
Jia+Li|U|3|3
Jia+Liang|U|3|3
Jia+Lin|U|3|3
Jia+Ling|U|3|3
Jia+Ning|U|3|3
Jia+Wei|U|3|3
Jia+Yin|U|3|3
Jian+Bin|U|3|3
Jian+Cheng|U|3|3
Jian+Dong|U|3|3
Jian+Fang|U|3|3
Jian+Guang|U|3|3
Jian+Kang|U|3|3
Jian+Li|U|3|3
Jian+Liang|U|3|3
Jian+Lin|U|3|3
Jian+Ling|U|3|3
Jian+Mei|U|3|3
Jian+Qi|U|3|3
Jian+Qiang|U|3|3
Jian+Qing|U|3|3
Jian+Quan|U|3|3
Jian+Sheng|U|3|3
Jian+Wen|U|3|3
Jian+Xiong|U|3|3
Jian+Yi|U|3|3
Jian+Ying|U|3|3
Jian+Yong|U|3|3
Jian+Yun|U|3|3
Jiang+Hong|U|3|3
Jiao|U|3|3
Jin+Hong|U|3|3
Jin+Hui|U|3|3
Jin+Liang|U|3|3
Jin+Long|U|3|3
Jin+Ming|U|3|3
Jin+Rong|U|3|3
Jin+Yan|U|3|3
Jin+Yu|U|3|3
Jin+Zhong|U|3|3
Jing+Hong|U|3|3
Jing+Hui|U|3|3
Jing+Song|U|3|3
Jing+Wen|U|3|3
Jing+Xia|U|3|3
Jing+Yi|U|3|3
Jing+Yu|U|3|3
Jiong|U|3|3
Jun+Hua|U|3|3
Jun+Jie|U|3|3
Jun+Li|U|3|3
Jun+Liang|U|3|3
Jun+Ling|U|3|3
Jun+Ping|U|3|3
Jun+Wei|U|3|3
Jun+Ying|U|3|3
Ke+Ming|U|3|3
Ke+Qiang|U|3|3
Ke+Wei|U|3|3
Ke+Yi|U|3|3
Ken|U|3|3
Lan+Ying|U|3|3
Lang|U|3|3
Le+Ping|U|3|3
Li+Bin|U|3|3
Li+Bo|U|3|3
Li+Chun|U|3|3
Li+Dong|U|3|3
Li+Fen|U|3|3
Li+Hui|U|3|3
Li+Jie|U|3|3
Li+Ling|U|3|3
Li+Qiang|U|3|3
Li+Qin|U|3|3
Li+Qun|U|3|3
Li+Rong|U|3|3
Li+Sheng|U|3|3
Li+Wei|U|3|3
Li+Wen|U|3|3
Li+Xia|U|3|3
Li+Ya|U|3|3
Li+Zhen|U|3|3
Ling+Ling|U|3|3
Lu+Ping|U|3|3
Luo|U|3|3
Mei+Li|U|3|3
Mei+Ling|U|3|3
Mei+Rong|U|3|3
Mei+Yu|U|3|3
Mi|U|3|3
Ming+Fang|U|3|3
Ming+Jie|U|3|3
Ming+Liang|U|3|3
Ming+Sheng|U|3|3
Ming+Yao|U|3|3
Ming+Yi|U|3|3
Ming+Yu|U|3|3
Ming+Yuan|U|3|3
Mo|U|3|3
Nan+Nan|U|3|3
Ni|U|3|3
Ou|U|3|3
Pan|U|3|mythological
Pei+Hua|U|3|3
Pei+Jun|U|3|3
Pei+Li|U|3|3
Pei+Lin|U|3|3
Peng+Cheng|U|3|3
Ping+Ping|U|3|3
Qi+Feng|U|3|3
Qi+Hong|U|3|3
Qi+Ming|U|3|3
Qing+Bo|U|3|3
Qing+Feng|U|3|3
Qing+Hai|U|3|3
Qing+Hong|U|3|3
Qing+Li|U|3|3
Qing+Lin|U|3|3
Qing+Ming|U|3|3
Qing+Ping|U|3|3
Qing+Sheng|U|3|3
Qing+Yu|U|3|3
Qiu|U|3|3
Qiu+Rong|U|3|3
Ren+Yi|U|3|3
Rong+Hui|U|3|3
Rui+Fang|U|3|3
Rui+Hua|U|3|3
Rui+Ping|U|3|3
Run|U|3|3
Sa|U|3|3
Shan+Shan|U|3|3
Shao|U|3|3
Shao+Bo|U|3|3
Shao+Hong|U|3|3
Shao+Hui|U|3|3
Shao+Jun|U|3|3
Shao+Rong|U|3|3
Shao+Wen|U|3|3
Sheng+Hua|U|3|3
Sheng+Li|U|3|3
Shi+Hua|U|3|3
Shi+Jie|U|3|3
Shi+Jun|U|3|3
