# name-stuff given names
# format: name|gender|frequency|tags
#
A+Lian|U|1|1
A+Mei|U|1|1
A+Min|U|1|1
A+Ying|U|1|1
Ai|U|2|2
Ai+Bin|U|1|1
Ai+Bing|U|1|1
Ai+Chuan|U|1|1
Ai+Chun|U|1|1
Ai+Di|U|1|1
Ai+Dong|U|2|2
Ai+Fang|U|2|2
Ai+Fen|U|2|2
Ai+Feng|U|1|1
Ai+Fu|U|1|1
Ai+Guo|U|4|4
Ai+Hong|U|1|1
Ai+Hua|U|5|5
Ai+Hui|U|1|1
Ai+Jie|U|1|1
Ai+Ju|U|1|1
Ai+Juan|U|1|1
Ai+Jun|U|3|3
Ai+Kun|U|1|1
Ai+Lan|U|2|2
Ai+Li|U|2|2
Ai+Lian|U|2|2
Ai+Liang|U|1|1
Ai+Lin|U|1|1
Ai+Ling|U|3|3
Ai+Mei|U|1|1
Ai+Min|U|5|5
Ai+Ming|U|1|1
Ai+Ning|U|1|1
Ai+Ping|U|4|4
Ai+Qin|U|3|3
Ai+Qing|U|2|2
Ai+Qun|U|2|2
Ai+Rong|U|1|1
Ai+Ru|U|1|1
Ai+Ting|U|1|1
Ai+Wei|U|1|1
Ai+Wen|U|1|1
Ai+Wu|U|1|1
Ai+Xia|U|3|3
Ai+Xiang|U|1|1
Ai+Xiao|U|1|1
Ai+Xin|U|1|1
Ai+Xue|U|1|1
Ai+Yan|U|1|1
Ai+Yin|U|1|1
Ai+Ying|U|2|2
Ai+Yuan|U|1|1
Ai+Yue|U|1|1
Ai+Yun|U|1|1
Ai+Zhao|U|1|1
Ai+Zhen|U|2|2
Ai+Zhi|U|1|1
Ai+Zhong|U|1|1
Ai+Zhu|U|1|1
An|U|4|4
An+An|U|1|1
An+Chi|U|1|1
An+De|U|1|1
An+Ding|U|1|1
An+Feng|U|1|1
An+Guo|U|1|1
An+Hong|U|1|1
An+Hua|U|1|1
An+Jian|U|1|1
An+Jie|U|1|1
An+Kang|U|1|1
An+Li|U|1|1
An+Lin|U|1|1
An+Long|U|1|1
An+Min|U|2|2
An+Ning|U|1|1
An+Ping|U|2|2
An+Qi|U|1|1
An+Ru|U|1|1
An+Sheng|U|1|1
An+Shi|U|1|1
An+Tai|U|1|1
An+Ting|U|1|1
An+Xiang|U|1|1
An+You|U|1|1
An+Yu|U|1|1
An+Zhen|U|1|1
Ang|U|2|2
Ao|U|3|mythological
Ao+Shuang|U|1|1
Bai|U|3|3
Bai+Cheng|U|1|1
Bai+Chun|U|1|1
Bai+Gang|U|1|1
Bai+Hua|U|1|1
Bai+Kun|U|1|1
Bai+Lin|U|3|3
Bai+Ling|U|2|2
Bai+Nan|U|1|1
Bai+Ping|U|1|1
Bai+Qing|U|1|1
Bai+Quan|U|1|1
Bai+Ren|U|1|1
Bai+Xiang|U|1|1
Bai+Xin|U|1|1
Bai+Yang|U|1|1
Bai+Yu|U|1|1
Bai+Yun|U|1|1
Bang|U|1|1
Bang+Hao|U|1|1
Bang+Hua|U|1|1
Bang+Jun|U|1|1
Bang+Lao|U|1|1
Bao|U|4|4
Bao+An|U|2|2
Bao+Bao|U|1|1
Bao+Chang|U|1|1
Bao+Chen|U|1|1
Bao+Cheng|U|2|2
Bao+Chun|U|1|1
Bao+Cun|U|1|1
Bao+Dong|U|1|1
Bao+En|U|1|1
Bao+Fang|U|2|2
Bao+Feng|U|2|2
Bao+Gang|U|2|2
Bao+Guan|U|1|1
Bao+Guang|U|2|2
Bao+Gui|U|1|1
Bao+Guo|U|2|2
Bao+Hai|U|1|1
Bao+Han|U|1|1
Bao+He|U|1|1
Bao+Hong|U|3|3
Bao+Hua|U|4|4
Bao+Hui|U|3|3
Bao+Ji|U|1|1
Bao+Jian|U|1|1
Bao+Jie|U|1|1
Bao+Jin|U|1|1
Bao+Jing|U|1|1
Bao+Ju|U|1|1
Bao+Jun|U|2|2
Bao+Kang|U|1|1
Bao+Lai|U|1|1
Bao+Li|U|2|2
Bao+Lian|U|1|1
Bao+Liang|U|1|1
Bao+Lin|U|4|4
Bao+Ling|U|2|2
Bao+Long|U|2|2
Bao+Lu|U|1|1
Bao+Mei|U|1|1
Bao+Min|U|2|2
Bao+Ming|U|2|2
Bao+Ning|U|1|1
Bao+Ping|U|1|1
Bao+Qi|U|1|1
Bao+Qiang|U|1|1
Bao+Qin|U|1|1
Bao+Qing|U|1|1
Bao+Quan|U|2|2
Bao+Ren|U|1|1
Bao+Rong|U|1|1
Bao+Ru|U|1|1
Bao+Sen|U|1|1
Bao+Shan|U|2|2
Bao+Shen|U|1|1
Bao+Sheng|U|2|2
Bao+Shu|U|1|1
Bao+Shun|U|1|1
Bao+Song|U|1|1
Bao+Tian|U|1|1
Bao+Tong|U|1|1
Bao+Wei|U|2|2
Bao+Wen|U|2|2
Bao+Xia|U|1|1
Bao+Xiang|U|1|1
Bao+Xin|U|1|1
Bao+Xing|U|2|2
Bao+Xue|U|1|1
Bao+Yan|U|1|1
Bao+Yi|U|2|2
Bao+Ying|U|2|2
Bao+Yu|U|2|2
Bao+Yuan|U|2|2
Bao+Yun|U|1|1
Bao+Zhang|U|1|1
Bao+Zhen|U|2|2
Bao+Zheng|U|1|1
Bao+Zhi|U|1|1
Bao+Zhong|U|1|1
Bao+Zhu|U|2|2
Bei|U|5|5
Bei+Bei|U|3|3
Bei+Fang|U|1|1
Bei+Hua|U|1|1
Bei+Jia|U|1|1
Bei+Lei|U|1|1
Bei+Li|U|2|2
Bei+Qing|U|1|1
Bei+Yi|U|1|1
Bei+Yun|U|1|1
Ben|U|3|3
Ben+Fu|U|1|1
Ben+Hong|U|1|1
Ben+Xia|U|1|1
Ben+Ye|U|1|1
Ben+Zhong|U|1|1
Bi|U|2|2
Bi+Bo|U|2|2
Bi+Cheng|U|1|1
Bi+Da|U|1|1
Bi+De|U|1|1
Bi+Feng|U|1|1
Bi+Hong|U|1|1
Bi+Hua|U|2|2
Bi+Hui|U|1|1
Bi+Juan|U|1|1
Bi+Jun|U|1|1
Bi+Lan|U|1|1
Bi+Lian|U|1|1
Bi+Liang|U|1|1
Bi+Qin|U|1|1
Bi+Qing|U|1|1
Bi+Rong|U|1|1
Bi+Sheng|U|1|1
Bi+Song|U|1|1
Bi+Tao|U|1|1
Bi+Wei|U|1|1
Bi+Wu|U|1|1
Bi+Xia|U|1|1
Bi+Xian|U|1|1
Bi+Xing|U|1|1
Bi+Ying|U|1|1
Bi+Yu|U|2|2
Bi+Yun|U|1|1
Bi+Zhen|U|1|1
Bi+Zhu|U|1|1
Bian|U|1|1
Biao|U|5|5
Bin|U|8|8
Bin+Bin|U|2|2
Bin+Hua|U|1|1
Bin+Hui|U|1|1
Bin+Jun|U|1|1
Bin+Lin|U|1|1
Bin+Quan|U|1|1
Bin+Rong|U|1|1
Bin+Rui|U|1|1
Bin+Yao|U|1|1
Bin+Yuan|U|1|1
Bin+Zhi|U|1|1
Bing|U|8|8
Bing+Bing|U|2|2
Bing+Chen|U|1|1
Bing+Cheng|U|2|2
Bing+Chun|U|1|1
Bing+Dong|U|1|1
Bing+Feng|U|1|1
Bing+He|U|1|1
Bing+Hong|U|1|1
Bing+Hua|U|2|2
Bing+Hui|U|2|2
Bing+Ji|U|1|1
Bing+Jian|U|1|1
Bing+Jie|U|1|1
Bing+Jun|U|2|2
Bing+Kun|U|1|1
Bing+Lei|U|1|1
Bing+Li|U|1|1
Bing+Liang|U|1|1
Bing+Lin|U|1|1
Bing+Ling|U|1|1
Bing+Mei|U|1|1
Bing+Qi|U|1|1
Bing+Qian|U|1|1
Bing+Qing|U|1|1
Bing+Quan|U|3|3
Bing+Ren|U|1|1
Bing+Rong|U|1|1
Bing+Ru|U|1|1
Bing+Sen|U|1|1
Bing+Shen|U|1|1
Bing+Sheng|U|1|1
Bing+Tuan|U|1|1
Bing+Wei|U|1|1
Bing+Wen|U|1|1
Bing+Xia|U|1|1
Bing+Xian|U|1|1
Bing+Xin|U|2|2
Bing+Ya|U|1|1
Bing+Yan|U|2|2
Bing+Yang|U|1|1
Bing+Yi|U|1|1
Bing+Ying|U|1|1
Bing+Yu|U|1|1
Bing+Yuan|U|1|1
Bing+Yun|U|1|1
Bing+Zhi|U|1|1
Bo|U|8|8
Bo+An|U|1|1
Bo+Da|U|1|1
Bo+Feng|U|1|1
