# name-stuff given names
# format: name|gender|frequency|tags
#
Aafke|U|1|1
Aafkea|F|1|1
Aalderich|M|1|1
Aalderk|M|1|1
Aaltien|F|1|1
Aaltinus|M|1|1
Aaltje|F|1|1
Aaron|M|2|2
Abbe|U|1|1
Abbo|M|2|2
Abel|M|1|1
Abelius|M|1|1
Abraham|M|1|1
Achaz|M|1|1
Achille|M|1|1
Achim|M|5|5
Ada|F|2|2
Adalbert|M|3|3
Adalberta|F|1|1
Adam|M|3|3
Adamo|M|1|1
Adda|F|2|2
Adela|F|1|1
Adelaide|F|1|1
Adelaïde|F|1|1
Adelbert|M|2|2
Adele|F|4|4
Adelfried|M|1|1
Adelgund|F|1|1
Adelgunde|F|2|2
Adelhard|M|1|1
Adelheid|F|6|6
Adelheide|F|1|1
Adelina|F|2|2
Adelinde|F|2|2
Adeline|F|2|2
Adelino|M|1|1
Adelmar|M|1|1
Adeltraud|F|1|1
Adeltraut|F|1|1
Adi|M|1|1
Adina|F|1|1
Adolf|M|6|6
Adolfa|F|1|1
Adolfine|F|2|2
Adolfo|M|1|1
Adolina|F|1|1
Adolph|M|1|1
Adolphe|M|1|1
Adrian|M|6|6
Adriana|F|3|3
Adriane|F|1|1
Adriano|M|3|3
Adrien|M|2|2
Adrienne|F|2|2
Adèle|F|1|1
Adélaïde|F|1|1
Aeihso|M|1|1
Aeilt|M|2|2
Aenne|F|2|2
Agata|F|1|1
Agatha|F|3|3
Agathe|F|2|2
Agge|M|1|1
Agilbert|M|1|1
Agilmar|M|1|1
Agnes|F|6|6
Agnese|F|2|2
Agnès|F|3|3
Agostino|M|2|2
Agunde|F|1|1
Aherine|F|1|1
Ahlerich|M|2|2
Ahlke|F?|1|1
Ahlrich|M|2|2
Ahlrike|F|1|1
Ahrend|M|1|1
Aicke|M|1|1
Aida|F|2|2
Aike|M?|1|1
Aiko|M|1|1
Ailert|M|1|1
Ailt|M|1|1
Aimé|M|2|2
Aimée|F|1|1
Aino|M|1|mythological
Aja|F|1|1
Akke|M|1|1
Alain|M|7|7
Alan|M|2|2
Alarich|M|1|1
Alba|F|2|2
Alban|M|1|1
Albano|M|1|1
Alberdine|F|1|1
Albert|M|7|7
Alberta|F|2|2
Albertdine|F|1|1
Alberte|F|1|1
Albertha|F|1|1
Albertina|F|1|1
Albertine|F|1|1
Albertje|F|2|2
Alberto|M|4|4
Albertus|M|3|3
Albin|M|4|4
Albina|F|1|1
Albine|F|3|3
Albino|M|1|1
Albinus|M|1|1
Albrecht|M|4|4
Alby|M|1|1
Alcide|M|1|1
Alda|F|1|1
Aldo|M|4|4
Aldrik|M|1|1
Aleida|F|1|1
Alena|F|1|1
Alerich|M|2|2
Alerk|M|1|1
Alessandra|F|3|3
Alessandro|M|4|4
Alessia|F|2|2
Alessio|M|1|1
Aletta|F|1|1
Alex|U|5|5
Alexa|F|1|1
Alexander|M|8|8
Alexandra|F|6|mythological
Alexandre|M|5|5
Alexandrina|F|1|1
Alexandrine|F|1|1
Alexandro|M|1|1
Alexia|F|2|2
Alexis|M|2|mythological
Alf|M|1|1
Alfa|F|1|1
Alfhard|M|1|1
Alfinus|M|1|1
Alfio|M|2|2
Alfons|M|4|4
Alfonsina|F|1|1
Alfonso|M|2|2
Alfred|M|8|8
Alfreda|F|1|1
Alfredo|M|3|3
Alfried|M|2|2
Alger|M|1|1
Algrid|F|1|1
Algunde|F|1|1
Alhard|M|1|1
Alheid|F|1|1
Alheide|F|1|1
Alheidis|F|1|1
Alice|F|7|7
Alicia|F|2|2
Alida|F|3|3
Aliette|F|1|1
Alin|U|1|1
Alina|F|1|1
Alinde|F|1|1
Aline|F|4|4
Alix|U|1|1
Aljet|U|1|1
Alke|F?|3|mythological
Alkea|F|1|1
Allmar|M|1|1
Alma|F|3|3
Almine|F|1|1
Alminus|M|1|1
Almke|F|1|1
Almtrud|F|1|1
Almut|F|4|4
Almute|F|1|1
Almuth|F|4|4
Alois|M|8|8
Aloisa|F|1|1
Aloisia|F|6|6
Aloisius|M|1|1
Aloys|M|2|2
Aloysia|F|1|1
Aloysius|M|1|1
Alphons|M|1|1
Alphonsa|F|1|1
Alphonse|M|2|2
Alphonsus|M|1|1
Alrich|M|2|2
Alrik|M|1|1
Alrun|F|1|1
Alteus|M|1|1
Altfried|M|1|1
Altina|F|1|1
Altine|F|1|1
Altje|F|2|2
Altraud|F|1|1
Altrud|F|1|1
Alvaro|M|1|1
Alvira|F|1|1
Alwin|M|4|4
Alwina|F|1|1
Alwine|F|3|3
Amadea|F|1|1
Amadeus|M|1|1
Amalia|F|4|4
Amalie|F|2|2
Amand|M|1|1
Amanda|F|3|3
Amandine|F|1|1
Amandus|M|1|1
Amaël|M|1|1
Ambros|M|2|2
Ambrosia|F|1|mythological
Ambrosius|M|1|mythological
Amedeo|M|1|1
Amelia|F|2|2
Amelie|F|2|2
Amely|F|1|1
Amke|F?|2|2
Ammo|M|1|1
Amon|M|1|1
Amrei|F|1|1
Amédée|M?|1|1
Amélia|F|1|1
Amélie|F|2|2
Ana|F|5|5
Anabel|F|1|1
Anabella|F|1|1
Anastasia|F|1|1
Anaïs|F|1|1
Andi|U|2|2
Andie|M?|1|1
Andra|F|2|2
Andre|M|5|5
Andrea|U|8|8
Andreas|M|9|9
Andree|M|4|4
Andrees|M|1|1
Andreina|F|1|1
Andres|M|3|3
Andri|M|2|2
Andrin|M|1|1
Andrina|F|1|1
Andrès|M|1|1
André|M|8|8
Andrée|F|4|4
Andrés|M|1|1
Andy|U|3|3
Aneke|F|1|1
Anemone|F|1|1
Anett|F|4|4
Anette|F|5|5
Anfried|M|1|1
Anfriede|F|1|1
Ange|M?|1|1
Angel|M?|2|2
Angela|F|7|7
Angelika|F|8|8
Angelina|F|3|3
Angeline|F|1|1
Angelita|F|1|1
Angelo|M|5|5
Angi|F|1|1
Angie|F|1|1
Angret|F|2|2
Angèle|F|2|2
Angéline|F|1|1
Angélique|F|2|2
Anick|M|1|1
Anika|F|3|3
Anita|F|7|7
Anja|F|8|8
Anje|F|1|1
Anjo|U|1|1
Anka|F|2|2
Anke|F|7|7
Ankeus|M|1|1
Anko|M|1|1
Ann|F|3|3
Anna|F|9|mythological
Annabell|F|1|1
Annabella|F|1|1
Annabelle|F|1|1
Annagret|F|1|1
Annagreth|F|1|1
Annakatrin|F|1|1
Annalena|F|1|1
Annalene|F|1|1
Annalies|F|1|1
Annaliese|F|1|1
Annalis|F|1|1
Annalisa|F|1|1
Annalise|F|1|1
Annamaria|F|3|3
Annamarie|F|3|3
Annarita|F|1|1
Annarose|F|1|1
Annarös|F|1|1
Annatina|F|1|1
Annchen|F|3|3
Anne|F|7|7
Anne-Marie|F|1|1
Annebärbel|F|1|1
Annedore|F|2|2
Annedoris|F|1|1
Annedorle|F|1|1
Annedörte|F|1|1
Annegold|F|1|1
Annegret|F|7|7
Annegrete|F|2|2
Annegreth|F|1|1
Anneheide|F|1|1
Annehild|F|1|1
Annehilde|F|1|1
Annekathrin|F|1|1
Annekatrin|F|1|1
Anneke|F|1|1
Annekristin|F|1|1
Annekäthe|F|1|1
Annelen|F|1|1
Annelene|F|1|1
Anneli|F|2|2
Annelie|F|3|3
Annelies|F|4|4
Anneliese|F|6|6
Annelinde|F|1|1
Annelis|F|2|2
Annelise|F|3|3
Annelore|F|3|3
Annelotte|F|1|1
Anneluise|F|1|1
Annely|F|1|1
Annemargret|F|1|1
Annemaria|F|1|1
Annemarie|F|7|7
Annemie|F|1|1
Annemirl|F|1|1
Annerike|F|1|1
Anneros|F|1|1
Annerose|F|3|3
Anneruth|F|1|1
Annerös|F|2|2
Annetraud|F|1|1
Annetraude|F|1|1
Annetrud|F|1|1
Annetrude|F|1|1
Annett|F|5|5
Annette|F|7|7
Anneus|M|1|1
Anni|F|5|5
Annick|F|3|3
Annie|F|3|3
Annik|M|1|1
Annika|F|4|4
Annina|F|1|1
Annita|F|2|2
Annja|F|1|1
Annkathrin|F|1|1
Annkatrin|F|1|1
Annliese|F|1|1
Anno|M|1|1
Annunziata|F|1|1
Anny|F|4|4
Annäus|M|1|1
Anouchka|F|1|1
Anouk|F|2|2
Anouschka|F|1|1
Anrich|M|1|1
Ansbert|M|1|1
Anselm|M|1|1
Anselmo|M|1|1
Ansgar|M|2|2
Ansgard|F|1|1
Antchen|F|3|3
Antero|M|1|1
Anteus|M|1|1
Anthony|M|3|3
Antine|F|2|2
Antino|M|1|1
Antinus|M|1|1
Antja|F|1|1
Antje|F|6|6
Antjedine|F|1|1
Antjelina|F|1|1
Antjeline|F|1|1
Antke|F|2|2
Antkea|F|1|1
Antkeo|M|1|1
Antoine|M|4|4
Antoinette|F|5|5
Anton|M|8|mythological
Antonella|F|4|4
Antonello|M|1|1
Antonette|F|1|1
Antoni|M|2|2
Antonia|F|5|5
Antonie|F|3|3
Antonietta|F|3|3
Antonin|M|1|1
Antonina|F|1|1
Antonino|M|2|2
Antonio|M|7|7
Antonius|M|2|2
Anuschka|F|2|2
Arabella|F|1|1
Arcangelo|M|1|1
Arde|M|1|1
Arend|M|3|3
Arendine|F|1|1
Arendje|F|1|1
Arian|M|2|2
Ariana|F|1|1
Ariane|F|4|4
Arianna|F|1|1
Arianne|F|1|1
Aribert|M|1|1
Ariel|M|1|1
Arielle|F|1|1
Ariette|F|1|1
Arist|M|1|1
Arite|F|1|1
Arjen|M|2|2
Arkadius|M|1|1
Arlette|F|4|4
Arlinde|F|1|1
Armand|M|3|3
Armanda|F|1|1
Armande|F|1|1
Armando|M|3|3
Armelle|F|1|1
Armgard|F|1|1
Armida|F|1|1
Armin|M|6|6
Armina|F|1|1
Armine|F|1|1
Armon|M|1|1
Arnaldo|M|1|1
Arnaud|M|2|2
Arnbert|M|1|1
Arnd|M|2|2
Arndt|M|2|2
Arne|M|4|mythological
Arnfred|M|1|1
Arnfried|M|1|1
Arnhart|M|1|1
Arnhild|F|2|2
Arnhold|M|1|1
Arnim|M|1|1
Arno|M|5|5
Arnold|M|6|6
Arnolf|M|1|1
Arnt|M|1|1
Arntraud|F|1|1
Arnulf|M|2|2
Aron|M|2|2
Arrigo|M|1|1
Arthur|M|5|5
Artur|M|4|4
Arturo|M|2|2
Arved|M|1|1
Arwed|M|1|1
Arwid|M|1|1
Arwin|M|1|1
Ascan|M|1|1
Aslind|F|1|1
Asmus|M|1|1
Assel|M|1|1
Asseline|F|1|1
Asso|M|1|1
Assunta|F|2|2
Astrid|F|6|6
Attilio|M|2|2
Aude|F|2|2
Audrey|F|2|2
August|M|5|5
Augusta|F|2|2
Auguste|U|6|6
Augustin|M|2|2
Augustina|F|1|1
Augustine|F|3|3
Augustinus|M|1|1
Augusto|M|3|3
Augustus|M|1|1
Aurelia|F|4|4
Aurelie|F|1|1
Aurelio|M|2|2
Aurelius|M|1|1
Aurora|F|2|2
Aurore|F|1|1
Aurélia|F|1|1
Aurélie|F|2|2
Aurélien|M|1|1
Axel|M|6|6
Axelle|F|1|1
Ayelt|M|2|2
Aylin|F|1|1
Babett|F|1|1
Babette|F|2|2
Babsi|F|1|1
Bajo|M|2|2
Baldo|M|1|1
Baldur|M|1|1
Balthasar|M|2|2
Baptist|M|1|1
Baptiste|M?|2|2
Barbara|F|8|8
Barbi|F|1|1
Barbla|F|1|1
Barbli|F|1|1
Bardo|M|1|1
Barnabas|M|1|1
Bartel|M|1|1
Barteldina|F|1|1
Barthel|M|1|1
Bartho|M|1|1
Barthold|M|1|1
Bartholomäus|M|1|1
Bartold|M|1|1
Bartolomeo|M|1|1
Bartolomäus|M|1|1
Bartosch|M|1|1
Basil|M|1|1
Basilia|F|1|1
Basilio|M|1|1
Basilius|M|1|1
Bastian|M|3|3
Bastien|M|1|1
Battista|M|2|2
Bauke|U|1|1
Baukea|F|1|1
Bauko|M|1|1
Bauwine|F|1|1
Bea|F|1|1
Beat|M|7|7
Beata|F|2|2
Beate|F|7|7
Beatrice|F|7|7
Beatrix|F|5|5
Beda|M|1|1
Beeke|F|1|1
Beene|F?|1|1
Behrend|M|2|2
Beka|F|1|1
Beke|F|1|1
Belina|F|1|1
Belinda|F|2|2
Bendina|F|2|2
Bendine|F|1|1
Benedetto|M|1|1
Benedict|U|1|1
Benedicta|F|1|1
Benedikt|M|3|3
Benedikta|F|1|1
Benediktus|M|1|1
Benedykt|M|1|1
Benfje|F|1|1
Beniamino|M|1|1
Benita|F|1|1
Benito|M|2|2
Benjamin|M|4|4
Benno|M|4|4
Benny|M|1|1
Benoît|M|3|3
Bente|F|1|1
Berend|M|4|4
Berendina|F|1|1
Berendine|F|2|2
Berendje|F|1|1
Berenike|F|2|mythological
Berit|F|2|2
Berlind|F|1|1
Berlinda|F|1|1
Berlinde|F|1|1
Berna|F|2|2
Bernadett|F|1|1
Bernadetta|F|1|1
Bernadette|F|6|6
Bernadine|F|1|1
Bernard|M|6|6
Bernardina|F|1|1
Bernardino|M|1|1
Bernardo|M|1|1
Bernardus|M|1|1
Bernd|M|8|8
Berndina|F|1|1
Berndt|M|2|2
Bernfried|M|1|1
Berngard|F|1|1
Bernhard|M|7|7
Bernharda|F|1|1
Bernhardiene|F|1|1
Bernhardin|M|1|1
Bernhardina|F|1|1
Bernhardine|F|2|2
Bernhardt|M|1|1
Bernhardus|M|1|1
Bernhart|M|1|1
Bernhild|F|1|1
Bernhilde|F|1|1
Bernhold|M|1|1
Berni|M|1|1
Berno|M|1|1
Bernold|M|1|1
Bernt|M|2|2
Berntraud|F|1|1
Bernulf|M|1|1
Bernward|M|2|2
Bert|M|2|2
Berta|F|6|6
Bertfriede|F|1|1
Bertha|F|4|4
Berthe|F|3|3
Berthi|F?|1|1
Berthild|F|1|1
Berthilde|F|1|1
Berthold|M|5|5
Berthy|F|1|1
Berti|U|3|3
Bertie|F?|1|1
Bertin|M|1|1
