# name-stuff given names
# format: name|gender|frequency|tags
#
Aaliyah|F|1|1
Aaron|M|6|6
Aarron|M|1|1
Abagail|F|1|1
Abbe|F|1|1
Abbey|F|1|1
Abbie|F|1|1
Abbigail|F|1|1
Abby|F|2|2
Abe|M|1|1
Abel|M|2|2
Abigail|F|4|4
Abigale|F|1|1
Abigayle|F|1|1
Abner|M|1|1
Abraham|M|3|3
Abram|M|1|1
Abrytha|F|1|1
Ada|F|5|5
Adair|M?|1|1
Adam|M|6|6
Adan|M|1|1
Adda|U|1|1
Addie|F|1|1
Addison|U|1|1
Adelaide|F|2|2
Adele|F|3|3
Adeline|F|1|1
Adell|F|1|1
Adella|F|1|1
Adelle|F|1|1
Aden|M|1|1
Adolph|M|1|1
Adolphus|M|1|1
Adonis|M|1|1
Adria|F|1|1
Adrian|M?|6|6
Adriane|F|1|1
Adrianna|F|1|1
Adrianne|F|1|1
Adrienne|F|3|3
Aedin|M|1|1
Aengus|M|1|1
Aeron|F|1|1
Aeronwen|F|1|1
Aeronwy|F|1|1
Agatha|F|1|1
Aggie|F|1|1
Agnes|F|6|6
Aidan|M|6|6
Aideen|F|5|5
Aiden|M|1|1
Aila|F|1|1
Ailbhe|F?|3|3
Ailean|M?|1|1
Aileen|F|6|6
Aili|F?|1|1
Ailidh|F|1|1
Ailie|F|1|1
Ailis|F|1|1
Ailish|F|2|2
Ailsa|F|2|2
Ailín|M|1|1
Ailís|F|1|1
Aimee|F|3|3
Aindrias|M|1|1
Aindriú|M|1|1
Aine|F?|1|1
Ainsley|U|1|1
Ainsworth|M|1|1
Aisha|F|1|1
Aishling|F|1|1
Aislin|F|1|1
Aisling|F|6|6
Aislinn|F|2|2
Aiyana|F|1|1
Aja|F|1|1
Akeem|M|1|1
Al|M|2|2
Alaina|F|1|1
Alan|M|8|8
Alana|F|2|2
Alanah|F|1|1
Alane|U|1|1
Alanna|F|1|1
Alannah|F|1|1
Alasdair|M|2|2
Alastair|M|4|4
Alaster|M|1|1
Alayna|F|1|1
Alayne|F?|1|1
Albert|M|7|7
Alberta|F|3|3
Albertha|F|1|1
Albin|M|1|1
Alden|M|1|1
Aldous|M|1|1
Aldrich|M|1|1
Aldwyn|M|1|1
Aleah|F|1|1
Alec|M|4|4
Alecia|F|1|1
Aleck|M|1|1
Aled|M|1|1
Alejandro|M|3|3
Alene|F|1|1
Alesha|F|1|1
Alesia|F|1|1
Aleta|F|1|1
Aletha|F|1|1
Alex|U|5|5
Alexa|F|2|2
Alexander|M|7|7
Alexandra|F|4|4
Alexandrea|F|1|1
Alexandria|F|3|3
Alexandro|M|1|1
Alexia|F|1|1
Alexina|F|1|1
Alexis|F?|5|5
Alexus|F|1|1
Alford|M|1|1
Alfred|M|6|6
Alfreda|F|1|1
Ali|U|1|1
Alia|F|1|1
Alice|F|7|7
Alicia|F|5|5
Alick|M|1|1
Alijah|M|1|1
Alisa|F|2|2
Alisdair|M|1|1
Alisha|F|3|3
Alison|U|7|7
Alissa|F|2|2
Alistair|M|4|4
Alistaire|M|1|1
Alister|M|1|1
Alivia|F|1|1
Alix|F?|1|1
Aliyah|F|1|1
Aliza|F|1|1
Alize|F|1|1
Allan|M|6|6
Allana|F|1|1
Allen|M|5|5
Allene|F|1|1
Allie|F?|1|1
Allison|F|5|5
Allister|M|1|1
Ally|U|1|1
Allyn|F?|1|1
Allyson|F|2|2
Allyssa|F|1|1
Alma|F|4|4
Almath|F|1|1
Almeda|F|1|1
Alondra|F|1|1
Alonzo|M|2|2
Aloysius|M|1|1
Alpha|F|1|1
Alroy|M|1|1
Alston|M|1|1
Alta|F|1|1
Altha|F|1|1
Althea|F|1|1
Alton|M|3|3
Alun|M|3|3
Alva|U|1|1
Alvan|M|1|1
Alvera|F|1|1
Alvie|M|1|1
Alvin|M|4|4
Alvina|F|1|1
Alvis|M|1|1
Alwyn|M|2|2
Alyce|F|1|1
Alycia|F|1|1
Alyn|F?|1|1
Alys|F|1|1
Alysa|F|1|1
Alyse|F|1|1
Alysha|F|1|1
Alysia|F|1|1
Alyson|F|2|2
Alyssa|F|4|4
Amabel|F|1|1
Amanda|F|7|7
Amani|F|1|1
Amara|F|1|1
Amari|U|1|1
Amarion|M|1|1
Amber|F|5|5
Ambrose|M|1|1
Amelia|F|3|3
Amely|F|1|1
America|F|1|1
Amery|M|1|1
Amhlaoibh|M|1|1
Ami|F|1|1
Amie|F|2|2
Amiya|F|1|1
Amiyah|F|1|1
Ammon|M|1|1
Amory|M|1|1
Amos|M|2|2
Amy|F|7|7
Amya|F|1|1
Amzie|F|1|1
Anahi|F|1|1
Anaya|F|1|1
Anderson|M|1|1
Andi|U|1|1
Andie|F|1|1
Andre|M|4|4
Andrea|U|6|6
Andrew|M|9|9
Andria|F|1|1
Andrina|F|1|1
Andy|M?|3|3
Aneirin|M|1|1
Aneurin|M|1|1
Angel|U|5|5
Angela|F|7|7
Angelia|F|2|2
Angelica|F|3|3
Angelina|F|3|3
Angeline|F|1|1
Angelita|F|1|1
Angelyn|F|1|1
Angharad|F|1|1
Anghard|F|1|1
Angie|F|3|3
Angus|M|4|4
Anice|F|1|1
Anissa|F|1|1
Anita|F|5|5
Anitra|F|1|1
Aniya|F|1|1
Aniyah|F|1|1
Anjanette|F|1|1
Ann|F|8|8
Anna|F|6|6
Annabel|F|2|2
Annabell|F|1|1
Annabella|F|1|1
Annabelle|F|1|1
Annabeth|F|1|1
Annalee|F|1|1
Annamae|F|1|1
AnnaRose|F|1|1
Anne|F|8|8
Annest|F|1|1
Annetta|F|1|1
Annette|F|5|5
Annie|F|7|7
AnnMarie|F|2|2
Annot|F|1|1
Annwyl|F|1|1
Anona|F|1|1
Ansel|M|1|1
Ansley|F|1|1
Anson|M|1|1
Anthea|F|2|2
Anthony|M|8|8
Antione|M|1|1
Antoinette|F|3|3
Antonette|F|1|1
Antonio|M|5|5
Antony|M|5|5
Antwan|M|1|1
Antwon|M|1|1
Anya|F|1|1
Aodh|M|1|1
Aodhan|M|1|1
Aodhán|M|1|1
Aoibheann|F|2|2
Aoibhínn|F|1|1
Aoife|F|7|7
Aoiffe|F|1|1
Aonghas|M|1|1
Aonghus|M|1|1
Ap|M|1|1
April|F|5|5
Arabella|F|1|1
Aranwen|F|1|1
Archibald|M|4|4
Archie|M|2|2
Ardell|U|1|1
Ardella|F|1|1
Arden|M|1|1
Ardeth|F|1|1
Ardie|F?|1|1
Ardis|F|1|1
Ardith|F|1|1
Ardy|M|1|1
Arely|F|1|1
Aretha|F|1|1
Aria|F|1|1
Arian|U|1|1
Ariana|F|2|2
Arianna|F|1|1
Arianwen|F|1|1
Aric|M|1|1
Ariel|F?|2|2
Arielle|F|1|1
Arla|F|1|1
Arlan|M|1|1
Arland|M|1|1
Arlee|F|1|1
Arleen|F|1|1
Arleigh|F|1|1
Arlen|M|1|1
Arlene|F|4|4
Arlie|M|1|1
Arlin|M|1|1
Arline|F|1|1
Arlo|M|1|1
Armando|M|3|3
Armani|U|1|1
Armond|M|1|1
Armstrong|M|1|1
Arnie|M|1|1
Arnold|M|4|4
Aron|M|1|1
Arran|M|1|1
Arron|M|1|1
Art|M|1|1
Arthur|M|7|7
Artie|M?|1|1
Artis|U|1|1
Arvil|M|1|1
Arvin|M|1|1
Arwen|F|1|1
Aryan|M|1|1
Aryana|F|1|1
Aryanna|F|1|1
Asa|M|1|1
Ashanti|F|1|1
Ashely|F|1|1
Ashlee|F|2|2
Ashleigh|F|2|2
Ashley|F?|6|6
Ashli|F|1|1
Ashlie|F|1|1
Ashling|F|2|2
Ashly|F|1|1
Ashlyn|F|1|1
Ashlynn|F|1|1
Ashton|U|2|2
Ashtyn|F|1|1
Asia|F|1|1
Aspen|F|1|1
Assumpta|F|1|1
Athena|F|1|1
Athol|M|1|1
Attila|M|1|1
Aubree|F|1|1
Aubrey|U|3|3
Aubrie|F|1|1
Audie|M?|1|1
Audra|F|2|2
Audrey|F|7|7
Audry|F|1|1
August|M|1|1
Augusta|F|1|1
Augustina|F|1|1
Augustine|U|1|1
Augustus|M|1|1
Aulay|M|1|1
Aundrea|F|1|1
Austen|U|1|1
Austin|M|5|5
Auston|M|1|1
Austyn|M|1|1
Autumn|F|3|3
Ava|F|2|2
Aveline|F|1|1
Averell|M|1|1
Averil|U|2|2
Avery|U|2|2
Avis|F|1|1
Avon|F|1|1
Avril|F|5|5
Ayana|F|1|1
Ayanna|F|1|1
Aydan|M|1|1
Ayden|M|1|1
Ayleen|F|1|1
Aymer|M|1|1
Ayn|F|1|1
Azrielle|F|1|1
Babette|F|1|1
Bailee|F|1|1
Bailey|F?|2|2
Bairbre|U|1|1
Baird|M|1|1
Balfour|M|1|1
Bambi|F|1|1
Barb|F|2|2
Barbara|F|8|8
Barbie|F|1|1
Barbra|F|1|1
Barclay|M|1|1
Barnaby|M|1|1
Barney|M|1|1
Barnie|M|1|1
Baron|M|1|1
Barra|M|1|1
Barrett|M|1|1
Barri|M|1|1
Barrie|U|4|4
Barris|M|1|1
Barron|M|1|1
Barry|M|7|7
Bart|M|2|2
Bartholomew|M|2|2
Bartley|M|1|1
Barton|M|1|1
Basil|M|3|3
Baxter|M|1|1
Baylee|F|1|1
Beatie|M|1|1
Beatrice|F|5|5
Beattie|M?|1|1
Beatty|M?|1|1
Beau|M|1|1
Beaulah|F|1|1
Bebhinn|F|1|1
Becca|F|2|2
Beckie|F|1|1
Becky|F|4|4
Beda|U|1|1
Bedwyr|M|1|1
Bee|F|1|1
Beezie|F|1|1
Belinda|F|4|4
Bell|F|1|1
Bella|F|1|1
Belle|F|1|1
Belva|F|1|1
Ben|M|3|3
Benedict|M|1|1
Benita|F|1|1
Benjamin|M|6|6
Benjiman|M|1|1
Benn|M|1|1
Bennet|M|1|1
Bennett|M|1|1
Bennie|M?|3|3
Benny|M|3|3
Benton|M|1|1
Bernadette|F|6|6
Bernadine|F|2|2
Bernard|M|6|6
Bernardine|F|1|1
Berni|M|1|1
Bernice|F|4|4
Bernie|U|3|3
Berniece|F|1|1
Bernita|F|1|1
Berry|M|1|1
Bert|M|2|2
Berth|U|1|1
Bertha|F|4|4
Bertie|U|1|1
Bertram|M|2|2
Berwyn|M|1|1
Beryl|F|6|6
Bess|F|1|1
Bessie|F|4|4
Bessy|F|1|1
Bet|F|1|1
Beth|F|5|5
Betha|F|1|1
Bethan|F|2|2
Bethanie|F|1|1
Bethany|F|3|3
Bethel|F?|1|1
Bethia|F|1|1
Beti|F|1|1
Betsan|F|1|1
Betsi|F|1|1
Betsy|F|3|3
Bette|F|2|2
Bettie|F|2|2
Betty|F|7|7
BettyAnn|F|1|1
Bettye|F|2|2
Beulah|F|2|2
Bev|F?|2|2
Bevan|M?|1|1
Beven|M|1|1
Beverlee|F|1|1
Beverley|U|5|5
Beverly|U|6|6
Bevin|U|1|1
Bevis|F|1|1
Bibo|M?|1|1
Bill|M|5|5
Billee|U|1|1
Billie|F?|4|4
Billy|U|6|6
Billye|F|1|1
Birdie|F|1|1
Blain|M|1|1
Blaine|M|2|2
Blair|U|2|2
Blaire|M|1|1
Blake|M?|4|4
Blanche|F|3|3
Blane|M|1|1
Blayne|U|1|1
Blaze|M|1|1
Bleddyn|M|1|1
Blodwen|F|1|1
Blodwin|F|1|1
Blodwyn|F|1|1
Blossom|F|1|1
Blythe|F?|1|1
Bláithín|F|1|1
Bláthnaid|F|1|1
Bob|M|4|4
Bobbi|F|2|2
Bobbie|U|4|4
Bobby|U|6|6
Bobbye|F|1|1
Bobette|F|1|1
Bobo|M|1|1
Bonita|F|3|3
Bonnie|F?|6|6
Bonny|F?|1|1
Bookem|U|1|1
Booker|M|1|1
Bowen|M|1|1
Bowie|M|1|1
Boyce|M|1|1
Boyd|M|2|2
Boyden|M?|1|1
Brad|M|4|4
Braden|M|1|1
Bradford|M|2|2
Bradley|M|5|5
Bradly|M|1|1
Bradon|M?|1|1
Brady|M|2|2
Bradyn|M|1|1
Braeden|M|1|1
Braedon|M|1|1
Braiden|M|1|1
Brain|M|1|1
Brandan|M|1|1
Brandee|F|1|1
Branden|M|1|1
Brandi|F|4|4
Brandie|F|1|1
Brandilyn|F|1|1
Brandin|M|1|1
Brandon|M|6|6
Brandy|F?|4|4
Brandyn|M|1|1
Brannon|M|1|1
Brant|M|1|1
Branwen|F|1|1
Braxton|M|1|1
Brayan|M|1|1
Brayden|M|1|1
Braydon|M|1|1
Breana|F|1|1
Breandan|M|1|1
Breandán|M|1|1
Breann|F|1|1
Breanna|F|2|2
Breanne|F|1|1
Breda|F|6|6
Bree|F|1|1
Breeda|F|2|2
Breffney|F|1|1
Brenda|F|7|7
Brendan|U|7|7
Brenden|M|1|1
Brendon|M|1|1
Brenna|F|1|1
Brennan|U|1|1
Brennen|M|1|1
Brennon|M|1|1
Brent|M|5|5
Brenton|M|1|1
Breonna|F|1|1
Bret|U|2|2
Brett|U|4|4
Bretton|M|1|1
Bria|F|1|1
Briallen|F|1|1
Brian|M|8|8
Briana|F|3|3
Brianna|F|4|4
Brianne|F|1|1
Brice|M|1|1
Bridget|F|6|6
Bridgett|F|1|1
Bridgette|F|2|2
Bridie|F|2|2
Brielle|F|1|1
Brien|M|1|1
Brigette|F|1|1
Brighid|F|2|2
Brigid|F|4|4
Brinley|M|1|1
Brionna|F|1|1
Briony|F|1|1
Brisa|F|1|1
Britany|F|1|1
Britney|F|2|2
Britni|F|1|1
Britt|M|1|1
Brittaney|F|1|1
Brittani|F|1|1
Brittanie|F|1|1
Brittany|F|5|5
Brittney|F|3|3
Brittni|F|1|1
Brittny|F|1|1
Britton|M|1|1
Brock|M|2|2
