# name-stuff given names
# format: name|gender|frequency|tags
#
Aaban|M|2|modern
Aadam|M|2|modern
Aadan|M|2|modern
Aadarsh|M|2|modern
Aaden|M|5|modern
Aadhav|M|2|modern
Aadhi|M|2|modern
Aadhira|F|2|modern
Aadhvik|M|2|2
Aadhya|F|4|modern
Aadi|M|4|modern
Aadil|M|2|modern
Aadin|M|2|modern
Aadit|M|2|modern
Aadith|M|2|modern
Aaditya|M|3|modern
Aadon|M|2|modern
Aadvik|M|3|modern
Aadvika|F|2|modern
Aadya|F|4|modern
Aadyn|M|3|modern
Aafiya|F|2|2
Aahan|M|3|modern
Aahana|F|3|modern
Aahil|M|3|modern
Aahna|F|2|modern
Aaiden|M|3|modern
Aaila|F|2|modern
Aailyah|F|2|modern
Aaima|F|2|modern
Aaira|F|3|3
Aairah|F|2|modern
Aaisha|F|2|modern
Aakash|M|4|modern
Aala|F|2|modern
Aalaiyah|F|2|modern
Aalani|F|2|2
Aalaya|F|2|modern
Aalayah|F|4|modern
Aalaysia|F|2|modern
Aaleah|F|2|modern
Aaleeyah|F|2|modern
Aaleigha|F|2|modern
Aaleyah|F|4|modern
Aalia|F|3|modern
Aaliah|F|4|modern
Aaliayah|F|2|modern
Aalijah|U|2|modern
Aalina|F|2|modern
Aaliya|F|4|modern
Aaliyah|F|8|modern
Aaliyan|F?|2|modern
Aaliyana|F|2|modern
Aaliyha|F|2|modern
Aalliyah|F|2|modern
Aalyah|F|3|modern
Aalyiah|F|3|modern
Aalyssa|F|2|modern
Aamani|F|2|modern
Aamari|U|2|modern
Aamilah|F|2|modern
Aamina|F|2|modern
Aaminah|F|3|modern
Aamir|M|4|modern
Aamira|F|2|modern
Aamirah|F|2|modern
Aamiyah|F|3|modern
Aamna|F|2|modern
Aamori|F|2|modern
Aamya|F|2|modern
Aanav|M|2|2
Aanaya|F|2|modern
Aanika|F|2|modern
Aaniya|F|2|modern
Aaniyah|F|4|modern
Aanshi|F|2|modern
Aanvi|F|3|modern
Aanya|F|4|modern
Aara|F|2|modern
Aaradhya|F|3|modern
Aaralyn|F|4|modern
Aaralynn|F|2|modern
Aaran|M|2|modern
Aarav|M|5|modern
Aaren|M?|4|modern
Aaria|F|3|modern
Aariah|F|2|modern
Aarian|U|2|modern
Aariana|F|2|modern
Aarianna|F|2|modern
Aaric|M|3|modern
Aariel|F|2|modern
Aarik|M|2|modern
Aarika|F|3|modern
Aarilyn|F|2|modern
Aarin|U|4|modern
Aarini|F|2|modern
Aarion|M?|3|modern
Aariona|F|2|modern
Aarionna|F|2|modern
Aaris|U|2|modern
Aarish|M|2|modern
Aarit|M|2|modern
