# name-stuff given names
# format: name|gender|frequency|tags
#
Aaron|M|1|1
Abad|M|1|1
Abdon|M|1|1
Abel|M|3|3
Abelardo|M|2|2
Abelia|F|1|1
Abelio|M|1|1
Abilia|F|1|1
Abilio|M|2|2
Abraham|M|2|2
Acacio|M|1|1
Adalberto|M|1|1
Adan|M|1|1
Adela|F|5|5
Adelaida|F|3|3
Adelaido|M|1|1
Adelia|F|1|1
Adelina|F|3|3
Adelino|M|1|1
Adelio|M|1|1
Adelo|M|1|1
Adilia|F|1|1
Adolfo|M|4|4
Adoracion|F|4|4
Adrian|M|4|4
Adriana|F|3|3
Adriano|M|1|1
Africa|F|3|3
Agapita|F|1|1
Agapito|M|3|3
Ager|M|1|1
Agueda|F|3|3
Agurne|F|1|1
Agurtzane|F|1|1
Agusti|M|1|1
Agustin|M|3|3
Agustin|M|7|7
Agustina|F|5|5
Aida|F|2|2
Aiert|M|1|1
Aimar|M|1|1
Ainara|F|1|1
Aingeru|M|1|1
Ainhoa|F|2|2
Aintzane|F|1|1
Aitana|F|1|1
Aitor|M|3|3
Aitzol|M|1|1
Aketza|M|1|1
Alaitz|F|1|1
Alazne|F|1|1
Alba|F|2|2
Albano|M|1|1
Albert|M|3|3
Alberta|F|1|1
Alberto|M|7|7
Albina|F|1|1
Albino|M|2|2
Alegria|F|1|1
Aleja|F|1|1
Alejandra|F|4|4
Alejandrina|F|1|1
Alejandrino|M|1|1
Alejandro|M|7|7
Alejo|M|2|2
Alesander|M|1|1
Alexander|M|2|2
Alexandra|F|3|3
Alfonsa|F|3|3
Alfonso|M|7|7
Alfred|M|1|1
Alfreda|F|1|1
Alfredo|M|6|6
Alicia|F|6|6
Alicio|M|1|1
Alina|F|1|1
Alipio|M|1|1
Alma|F|1|1
Almudena|F|5|5
Alonsa|F|1|1
Alonso|M|3|3
Altagracia|F|2|2
Alvara|F|1|1
Alvaro|M|5|5
Alvina|F|1|1
Alvino|M|1|1
Amada|F|2|2
Amadeo|M|2|2
Amadeu|M|1|1
Amado|M|2|2
Amador|M|4|4
Amadora|F|1|1
Amaia|F|2|2
Amale|F|1|1
Amalia|F|5|5
Amalio|M|2|2
Amancia|F|1|1
Amancio|M|2|2
Amanda|F|1|1
Amando|M|2|2
Amaranta|F|1|1
Amarilis|F|1|1
Amaro|M|1|1
Amaya|F|3|3
Ambrosia|F|1|1
Ambrosio|M|3|3
Amelia|F|5|5
Amelio|M|1|1
America|F|2|2
Americo|M|1|1
Amilcar|M|1|1
Amor|F|2|2
Amparo|F|6|6
Ana|F|9|9
Ana-Belen|F|4|4
Anacleta|F|1|1
Anacleto|M|1|1
Analia|F|1|1
Anartz|M|1|1
Anastasia|F|3|3
Anastasio|M|4|4
Ander|M|1|1
Andere|F|1|1
Andima|M|1|1
Andolin|M|1|1
Andoni|M|2|2
Andra|F|1|1
Andrea|F|4|4
Andres|M|7|7
Andresa|F|1|1
Andreu|M|1|1
Ane|F|1|1
Aner|M|1|1
Angel|M|9|9
Angela|F|6|6
Angela|F|5|5
Angeles|F|8|8
Angelica|F|3|3
Angelico|M|1|1
Angelina|F|2|2
Angelino|M|1|1
Angelita|F|2|2
Angels|F?|2|2
Anibal|M|2|2
Aniceta|F|1|1
Aniceto|M|2|2
Anita|F|1|1
Anna|F|3|3
Anselma|F|1|1
Anselmo|M|3|3
Antera|F|1|1
Antero|M|1|1
Antolin|M|3|3
Antolina|F|1|1
Antolino|M|1|1
Antoni|M|3|3
Antonia|F|8|8
Antonieta|F|1|1
Antonina|F|2|2
Antonino|M|2|2
Antonio|M|10|10
Antxon|M|1|1
Anunciacion|F|3|3
Anxo|M|1|1
Aparicio|F?|1|1
Apolinar|M|1|1
Aquilina|F|2|2
Aquilino|M|3|3
Araceli|F|5|5
Aracelis|F|1|1
Arantxa|F|1|1
Arantza|F|1|1
Arantzazu|F|1|1
Aranzazu|F|4|4
Arcadia|F|1|1
Arcadio|M|2|2
Argentina|F|2|2
Argentino|M|1|1
Argimira|F|1|1
Argimiro|M|2|2
Argine|F|1|1
Ariadna|F|1|1
Ariel|M|1|1
Ariela|F|1|1
Arkaitz|M|1|1
Armanda|F|1|1
Armandina|F|1|1
Armando|M|4|4
Arminda|F|1|1
Armindo|M|1|1
Arnaldo|M|1|1
Arsenia|F|1|1
Arsenio|M|3|3
Artur|M|1|1
Artura|F|1|1
Arturo|M|5|5
Ascencion|F|1|1
Ascension|F|5|5
Asdrubal|M|1|1
Asier|M|1|1
Asteria|F|1|1
Asterio|M|1|1
Asuncion|F|6|6
Atanasia|F|1|1
Atanasio|M|1|1
Atilana|F|1|1
Atilano|M|1|1
Atilio|M|1|1
Augusta|F|1|1
Augusto|M|4|4
Aurea|F|3|3
Aurelia|F|4|4
Aureliana|F|1|1
Aureliano|M|2|2
Aurelina|F|1|1
Aurelio|M|5|5
Aureo|M|1|1
Aurkene|F|1|1
Aurora|F|6|6
Avelina|F|3|3
Avelino|M|4|4
Aznar|M|1|1
Azucena|F|3|3
Bakarne|F|1|1
Balasi|M|1|1
Balbina|F|2|2
Balbino|M|2|2
Baldomera|F|1|1
Baldomero|M|3|3
Balduino|M|1|1
Balendin|M|1|1
Baltasar|M|3|3
Barbara|F|3|3
Barbaro|M|1|1
Bartolome|M|3|3
Basilia|F|2|2
Basilio|M|4|4
Basilisa|F|3|3
Basiliso|M|1|1
Batista|M|1|1
Baudelio|M|1|1
Baudilia|F|1|1
Baudilio|M|1|1
Bautista|M|3|3
Beatriz|F|6|6
Begona|F|6|6
Belarmina|F|1|1
Belarmino|M|1|1
Belen|F|6|6
Belinda|F|1|1
Benat|M|1|1
Benedicta|F|2|2
Benedicto|M|2|2
Benedita|F|1|1
Benedito|M|1|1
Benicia|F|1|1
Benicio|M|1|1
Benigna|F|1|1
Benigno|M|3|3
Benilde|F|1|1
Benita|F|4|4
Benito|M|5|5
Benjamin|M|4|4
Benjamina|F|1|1
Bernarda|F|2|2
Bernardi|M|1|1
Bernardina|F|2|2
Bernardino|M|3|3
Bernardita|F|1|1
Bernardo|M|5|5
Berta|F|3|3
Berto|M|1|1
Bibiana|F|1|1
Bibine|F|1|1
Bieito|M|1|1
Bienvenida|F|2|2
Bienvenido|M|3|3
Bingen|M|1|1
Bittor|M|1|1
