# name-stuff given names
# format: name|gender|frequency|tags
#
Jean|M|11|11
Marie|F|11|11
Maria|F|10|10
Pierre|M|10|10
André|M|9|9
Anne|U|9|9
Claude|M?|9|9
Fernand|M|9|9
François|M|9|9
Guy|M|9|9
Marc|M|9|9
Marcel|M|9|9
Michel|M|9|9
Philippe|M|9|9
René|M|9|9
Roger|M|9|9
Alain|M|8|8
Albert|M|8|8
Aloyse|U|8|8
Anna|F|8|8
Antoine|M|8|8
Armand|M|8|8
Bernard|M|8|8
Camille|F?|8|8
Catherine|F|8|8
Charles|M|8|8
Christian|M|8|8
Christiane|F|8|8
Christine|F|8|8
Christophe|M|8|8
Daniel|M|8|8
David|M|8|8
Dominique|U|8|8
Emile|M|8|8
Eric|M|8|8
Fabrice|M|8|8
Françoise|F|8|8
Frédéric|M|8|8
Georges|M|8|8
Gérard|M|8|8
Henri|M|8|8
Isabelle|F|8|8
Jacqueline|F|8|8
Jacques|M|8|8
Jan|M|8|8
Jeanne|F|8|8
Joseph|M|8|8
Josy|F|8|8
Josée|F|8|8
Jozef|M|8|8
Laurent|M|8|8
Luc|M|8|8
Lucien|M|8|8
Léon|M|8|8
Martine|F|8|8
Michèle|F|8|8
Monique|F|8|8
Nathalie|F|8|8
Nicolas|M|8|8
Nicole|F|8|8
Olivier|M|8|8
Pascal|M|8|8
Patrick|M|8|8
Paul|M|8|8
Raymond|M|8|8
Rita|F|8|8
Robert|M|8|8
Romain|M|8|8
Sandra|F|8|8
Stéphane|M?|8|8
Sylvie|F|8|8
Sébastien|M|8|8
Thierry|M|8|8
Valérie|F|8|8
Willy|M|8|8
Alex|U|7|7
Alexandre|M|7|7
Alice|F|7|7
Alphonse|M|7|7
Andrée|F|7|7
Ann|F|7|7
Annick|F|7|7
Annie|F|7|7
Aurélie|F|7|7
Bart|M|7|7
Bernadette|F|7|7
Brigitte|F|7|7
Bruno|M|7|7
Béatrice|F|7|7
Carine|F|7|7
Carole|F|7|7
Chantal|F|7|7
Christelle|F|7|7
Claire|F|7|7
Claudine|F|7|7
Colette|F|7|7
Corinne|F|7|7
Cécile|F|7|7
Cédric|M|7|7
Céline|F|7|7
