# name-stuff given names
# format: name|gender|frequency|tags
#
Aagje|F|1|1
Aaron|M|2|2
Abel|M|2|2
Abeline|F|1|1
Abelle|F|1|1
Abigail|F|1|1
Abigaël|F|1|1
Abigaëlle|F|1|1
Abraham|M|1|1
Aby|F|1|1
Abygaël|F|1|1
Abygaëlle|F|1|1
Achille|M|3|3
Ada|F|1|1
Adama|M?|1|1
Adelin|M|1|1
Adeline|F|5|5
Adelphine|F|1|1
Adelyne|F|1|1
Adhémar|M|1|1
Adolphe|M|3|3
Adolphine|F|1|1
Adriaan|M|3|3
Adrian|M|1|1
Adriana|F|4|4
Adrianus|M|3|3
Adrien|M|5|5
Adrienne|F|4|4
Adèle|F|3|3
Adélaïde|F|2|2
Adélie|F|1|1
Agathe|F|3|3
Aglaé|F|1|1
Aglaée|F|1|1
Agnes|F|5|5
Agnès|F|6|6
Aimable|M?|1|1
Aimeric|M|1|1
Aimery|M|1|1
Aimie|F|1|1
Aimy|F|1|1
Aimé|M|4|4
Aimée|F|3|3
Alain|M|8|8
Alan|M|2|2
Alanis|F|1|1
Alaric|M|1|1
Alaïs|F|1|1
Albain|M|1|1
Alban|M|3|3
Albane|F|1|1
Albanie|F|1|1
Albanne|F|1|1
Albert|M|8|8
Alberte|F|3|3
Albertina|F|3|3
Albertine|F|5|5
Albin|M|1|1
Albine|F|1|1
Albéric|M|1|1
Aldine|F|1|1
Aldric|M|1|1
Aldéric|M|1|1
Alex|U|7|7
Alexander|M|5|5
Alexandra|F|6|6
Alexandre|M|7|7
Alexandrie|F|1|1
Alexandrine|F|2|2
Alexane|F|1|1
Alexanne|F|1|1
Alexia|F|3|3
Alexiane|F|1|1
Alexie|F|1|1
Alexine|F|1|1
Alexis|M|5|5
Alexy|M|1|1
Aleyna|F|1|1
Alfons|M|6|6
Alfred|M|5|5
Alfreda|F|2|2
Alfredine|F|1|1
Alice|F|7|7
Alicia|F|3|3
Alida|F|3|3
Alienor|F|1|1
Aliette|F|1|1
Aline|F|6|6
Alison|F|2|2
Alisone|F|1|1
Alisson|F|1|1
Alissone|F|1|1
Alisé|F|1|1
Alisée|F|1|1
Alix|F?|3|3
Alixe|F|1|1
Alixia|F|1|1
Alizé|F|1|1
Alizéa|F|1|1
Alizée|F|1|1
Allain|M|1|1
Allan|M|2|2
Alliette|F|1|1
Alma|F|2|2
Alodie|F|1|1
Alois|M|3|3
Aloys|M|1|1
Aloyse|U|8|8
Aloïs|M?|1|1
Aloïse|M?|1|1
Alphonse|M|7|7
Alphonsine|F|2|2
Alric|M|1|1
Alrick|M|1|1
Alvine|F?|1|1
Alwin|M|1|1
Aly|F|6|6
Alyette|F|1|1
Alysée|F|1|1
Alyzée|F|1|1
Amable|M|1|1
Amaelle|F|1|1
Amalric|M|1|1
Amance|F|1|1
Amand|M|1|1
Amanda|F|2|2
Amande|F|1|1
Amandine|F|5|5
Amarande|F|1|1
Amaury|M|2|2
Amaël|M|1|1
Amber|F|3|3
Ambre|F|2|2
Ambrine|F|1|1
Ambroise|M|1|1
Ambroisine|F|1|1
Amel|M|1|1
Ameline|F|1|1
Amour|U|1|1
Amédé|M|1|1
Amédée|M?|1|1
Amélia|F|1|1
Amélie|F|5|5
Amélien|M|1|1
Amélina|F|1|1
Amélyne|F|1|1
An|F|5|5
Anabel|F|1|1
Anabelle|F|1|1
Anaclet|M|1|1
Anaelle|F|2|2
Anastase|M|1|1
Anastasie|F|1|1
Anasthasie|F|1|1
Anatole|M|1|1
Anatolie|F|1|1
Anaël|M?|1|1
Anaële|F|1|1
Anaïs|F|5|5
Ancelin|M|1|1
Andoche|U|1|1
Andrea|F|3|3
Andreas|M|5|5
Andries|M|2|2
André|M|9|9
Andréa|F|5|5
Andréane|F|1|1
Andréanne|F|1|1
Andréas|M|1|1
Andrée|F|7|7
Andy|M|5|5
Ange|M?|4|4
Angel|M?|2|2
Angela|F|5|5
Angelin|M|1|1
Angelina|F|4|4
Angeline|F|2|2
Angelle|F|1|1
Angelo|M|4|4
Angèle|F|5|5
Angéline|F|2|2
Angélique|F|6|6
Anicet|M?|1|1
Anicette|F|1|1
Anita|F|6|6
Anja|F|5|5
Anke|F?|3|3
Ann|F|7|7
Anna|F|8|8
Annabel|F|1|1
