# name-stuff given names
# format: name|gender|frequency|tags
#
Aagje|F|1|1
Aaron|M|2|2
Abel|M|2|2
Abeline|F|1|1
Abelle|F|1|1
Abigael|F|1|1
Abigaelle|F|1|1
Abigail|F|1|1
Abraham|M|1|1
Aby|F|1|1
Abygael|F|1|1
Abygaelle|F|1|1
Achille|M|3|3
Ada|F|1|1
Adama|M?|1|1
Adelaide|F|2|2
Adele|F|3|3
Adelie|F|1|1
Adelin|M|1|1
Adeline|F|5|5
Adelphine|F|1|1
Adelyne|F|1|1
Adhemar|M|1|1
Adolphe|M|3|3
Adolphine|F|1|1
Adriaan|M|3|3
Adrian|M|1|1
Adriana|F|4|4
Adrianus|M|3|3
Adrien|M|5|5
Adrienne|F|4|4
Agathe|F|3|3
Aglae|F|1|1
Aglaee|F|1|1
Agnes|F|5|5
Agnes|F|6|6
Aida|F|1|1
Aimable|M?|1|1
Aime|M|4|4
Aimee|F|3|3
Aimeric|M|1|1
Aimery|M|1|1
Aimie|F|1|1
Aimy|F|1|1
Alain|M|8|8
Alais|F|1|1
Alan|M|2|2
Alanis|F|1|1
Alaric|M|1|1
Albain|M|1|1
Alban|M|3|3
Albane|F|1|1
Albanie|F|1|1
Albanne|F|1|1
Alberic|M|1|1
Albert|M|8|8
Alberte|F|3|3
Albertina|F|3|3
Albertine|F|5|5
Albin|M|1|1
Albine|F|1|1
Alderic|M|1|1
Aldine|F|1|1
Aldric|M|1|1
Alex|U|7|7
Alexander|M|5|5
Alexandra|F|6|6
Alexandre|M|7|7
Alexandrie|F|1|1
Alexandrine|F|2|2
Alexane|F|1|1
Alexanne|F|1|1
Alexia|F|3|3
Alexiane|F|1|1
Alexie|F|1|1
Alexine|F|1|1
Alexis|M|5|5
Alexy|M|1|1
Aleyna|F|1|1
Alfons|M|6|6
Alfred|M|5|5
Alfreda|F|2|2
Alfredine|F|1|1
Alice|F|7|7
Alicia|F|3|3
Alida|F|3|3
Alienor|F|1|1
Aliette|F|1|1
Aline|F|6|6
Alise|F|1|1
Alisee|F|1|1
Alison|F|2|2
Alisone|F|1|1
Alisson|F|1|1
Alissone|F|1|1
Alix|F?|3|3
Alixe|F|1|1
Alixia|F|1|1
Alize|F|1|1
Alizea|F|1|1
Alizee|F|1|1
Allain|M|1|1
Allan|M|2|2
Alliette|F|1|1
Alma|F|2|2
Alodie|F|1|1
Alois|M?|1|1
Alois|M|3|3
Aloise|M?|1|1
Aloys|M|1|1
Aloyse|U|8|8
Alphonse|M|7|7
Alphonsine|F|2|2
Alric|M|1|1
Alrick|M|1|1
Alvine|F?|1|1
Alwin|M|1|1
Aly|F|6|6
Alyette|F|1|1
Alysee|F|1|1
Alyzee|F|1|1
Amable|M|1|1
Amael|M|1|1
Amaelle|F|1|1
Amalric|M|1|1
Amance|F|1|1
Amand|M|1|1
Amanda|F|2|2
Amande|F|1|1
Amandine|F|5|5
Amarande|F|1|1
Amaury|M|2|2
Amber|F|3|3
Ambre|F|2|2
Ambrine|F|1|1
Ambroise|M|1|1
Ambroisine|F|1|1
Amede|M|1|1
Amedee|M?|1|1
Amel|M|1|1
Amelia|F|1|1
Amelie|F|5|5
Amelien|M|1|1
Amelina|F|1|1
Ameline|F|1|1
Amelyne|F|1|1
Amour|U|1|1
An|F|5|5
Anabel|F|1|1
Anabelle|F|1|1
Anaclet|M|1|1
Anael|M?|1|1
Anaele|F|1|1
Anaelle|F|2|2
Anais|F|5|5
Anastase|M|1|1
Anastasie|F|1|1
Anasthasie|F|1|1
Anatole|M|1|1
Anatolie|F|1|1
Ancelin|M|1|1
Andoche|U|1|1
Andre|M|9|9
Andrea|F|5|5
Andrea|F|3|3
Andreane|F|1|1
Andreanne|F|1|1
Andreas|M|1|1
Andreas|M|5|5
Andree|F|7|7
Andries|M|2|2
Andy|M|5|5
Ange|M?|4|4
Angel|M?|2|2
Angela|F|5|5
Angele|F|5|5
Angelin|M|1|1
Angelina|F|4|4
Angeline|F|2|2
Angeline|F|2|2
Angelique|F|6|6
Angelle|F|1|1
Angelo|M|4|4
Anicet|M?|1|1
Anicette|F|1|1
Anita|F|6|6
Anja|F|5|5
Anke|F?|3|3
Ann|F|7|7
Anna|F|8|8
Annabel|F|1|1
Annabelle|F|3|3
