# name-stuff given names
# format: name|gender|frequency|tags
#
Achilleas|M|5|5
Achillefs|M|2|2
Adam|M|2|2
Adamantia|F|4|4
Adamantini|F|1|1
Adamantios|M|2|2
Adonis|M|2|mythological
Aeneas|M|1|1
Afroditi|F|6|6
Agapi|F|1|1
Agapios|M|1|1
Agathi|F|4|4
Agis|M|1|1
Agisilaos|M|1|1
Aglaia|F|5|5
Agni|F|2|2
Agoritsa|F|2|2
Aikaterini|F|9|9
Aimilia|F|5|5
Aimilios|M|1|1
Akindynos|M|1|1
Akmini|F|1|1
Akrivi|F|3|3
Aleka|F|2|2
Alexandra|F|7|mythological
Alexandros|M|8|mythological
Alexia|F|4|4
Alexios|M|4|4
Alexis|M|4|mythological
Aliki|F|5|5
Alitsia|F|1|1
Alkaios|M|1|mythological
Alki|F|1|1
Alkinoi|F|1|1
Alkis|M|1|mythological
Alkistis|M|2|2
Alkiviadis|M|2|2
Amalia|F|5|5
Amfilochios|M|1|1
Anargyros|M|2|2
Anastasia|F|8|8
Anastasios|M|7|7
Anastassia|F|1|1
Anastassios|M|2|2
Andreas|M|8|8
Andriana|F|3|3
Andriani|F|4|4
Andrianna|F|1|1
Andromachi|F|3|3
Androniki|F|4|4
Androula|F|1|1
Anestis|M|2|2
Angela|F|1|1
Angeliki|F|8|8
Angelos|M|6|mythological
Anna|F|9|mythological
Anthi|F|3|3
Anthimos|M|1|1
Anthippi|F|1|1
Anthoula|F|4|4
Antigone|F|1|mythological
Antigoni|F|5|5
Antina|F|1|1
Antonia|F|6|6
Antonios|M|8|8
Antonis|M|4|4
Aphroditi|F|1|1
Apollo|M|1|1
Apollonia|F|1|1
Apostolia|F|2|2
Apostolos|M|7|7
Areti|F|4|4
Argiri|F|1|1
Argirios|M|1|1
Argyri|F|1|1
Argyrios|M|3|3
Argyris|M|2|2
Argyro|F|6|6
Argyroula|F|2|2
Ariadni|F|4|4
Arianna|F|1|1
Aris|M|4|4
Aristarchos|M|1|1
Aristea|F|4|4
Aristeidis|M|6|6
Aristi|F|1|1
Aristidis|M|6|6
Aristomenis|M|2|2
Aristotelis|M|5|5
Aristoula|F|3|3
Arsenia|F|1|1
Artemios|M|3|3
Artemis|F|3|mythological
Artemisia|F|1|1
Asimakis|M|1|1
Asimina|F|5|5
Aspasia|F|5|5
Asterios|M|2|mythological
Athanasia|F|7|7
Athanasios|M|8|8
Athanassia|F|1|1
Athanassios|M|2|2
Athena|F|2|2
Athina|F|7|7
Ava|F|1|1
Avgerinos|M|1|1
Avgoustinos|M|1|1
Beata|F|2|2
Chara|F|5|5
Charalambos|M|2|2
Charalampia|F|1|1
Charalampos|M|7|7
Charikleia|F|6|6
Chariklia|F|6|6
Charilaos|M|4|4
Charis|M|4|4
Charitini|F|1|1
Chloi|F|1|1
Chrisavalantis|M|1|1
Chrissoula|F|2|2
Christianna|F|1|1
Christina|F|8|8
Christodoulos|M|4|4
Christofili|F|1|1
Christoforos|M|4|4
Christophoros|M|1|1
Christos|M|9|9
Christoula|F|1|1
Chrysa|F|4|4
Chrysafo|F|1|1
Chrysanthi|F|5|5
Chrysavalantis|M|1|1
Chrysi|F|4|4
Chrysosthemis|M|1|1
Chrysostomia|F|1|1
Chrysostomos|M|2|2
Chrysoula|F|6|6
Chrysovalanti|F|1|1
Chryssa|F|1|1
Chryssanthi|F|1|1
Chryssi|F|1|1
Chryssoula|F|1|1
Chrystalla|F|1|1
Cleanthis|M|1|1
Costas|M|1|1
Cyriacos|M|1|1
Dafni|F|4|4
Dafnoula|F|1|1
Damianos|M|4|4
Danai|F|2|2
Demetria|F|1|1
Demetrios|M|2|2
Demis|M|1|1
Despina|F|7|7
Despoina|F|7|7
Diamantia|F|1|1
Diamantina|F|1|1
Diamantis|M|3|3
Diamanto|F|4|4
Diamantoula|F|1|1
Dimitra|F|8|8
Dimitrios|M|10|10
Dimitris|M|4|4
Dimitroula|F|1|1
Dimokritos|M|1|1
Dimos|M|2|2
Dimostenis|M|3|3
Dimosthenis|M|5|5
Diogenis|M|2|2
Diomidis|M|1|1
Dionysia|F|5|5
Dionysios|M|7|7
Diotima|F|1|1
Domna|F|1|1
Dora|F|4|4
Edouardos|M|1|1
Effrosini|F|1|1
Effrosyni|F|6|6
Efi|F|3|3
Efmorfia|F|1|1
Efrossini|F|1|1
Efsevia|F|1|1
Efstathia|F|6|6
Efstathios|M|6|6
Efstatios|M|1|1
Efstratia|F|4|4
Efstratios|M|5|5
Eftaxia|F|1|1
Efterpi|F|4|4
Efthalia|F|4|4
Efthemia|F|1|1
Efthimios|M|2|2
Efthychia|F|2|2
Efthymia|F|6|6
Efthymios|M|5|5
Eftichia|F|1|1
Eftychia|F|6|6
Eftychios|M|1|1
Eirini|F|9|9
Ekaterini|F|4|4
Eleana|F|1|1
Eleftheria|F|7|7
Eleftherios|M|6|6
Elektra|F|1|mythological
Elena|F|5|5
Eleni|F|10|10
Elias|M|2|2
Elisavet|F|6|6
Elissavet|F|5|5
Elli|F|5|5
Elpida|F|4|4
Elpiniki|F|2|2
Emerita|F|1|1
Emilianos|M|1|1
Emmanouela|F|3|3
Emmanouil|M|8|8
Erasmia|F|4|4
Erato|F|1|mythological
Erietta|F|1|1
Evangelia|F|8|8
Evangelini|F|1|1
Evangelos|M|8|8
Evanthia|F|6|6
Evanthis|M|1|1
Evdokia|F|4|4
Evdoxia|F|3|3
Evgeneia|F|1|1
Evgenia|F|7|7
Evi|F|4|4
Evlalia|F|1|1
Evlampia|F|1|1
Evmorfia|F|1|1
Evridiki|F|2|2
Evripidis|M|2|2
Evrydiki|F|2|2
Evrykleia|F|1|1
Evterpi|F|1|1
Faidon|M|1|1
Faidra|F|1|1
Fani|F|5|5
Fanourios|M|4|4
Fevronia|F|1|1
Filanthi|F|1|1
Filaretos|M|2|2
Fili|F|1|1
Filio|F|2|2
Filippa|F|1|1
Filippos|M|4|4
Flora|F|2|mythological
Florentia|F|2|2
Floros|M|1|1
Foivos|M|3|3
Folina|F|1|1
Foteini|F|7|7
Fotini|F|7|7
Fotios|M|5|5
Fotis|M|4|4
Fotula|F|1|1
Fragkiskos|M|4|4
Fragkoula|F|1|1
Frantzeska|F|2|2
Freideriki|F|4|4
Frideriki|F|4|4
Fryni|F|1|1
Galini|F|1|1
Garoufalia|F|1|1
Garyfalia|F|4|4
Garyfallia|F|3|3
Gennadios|M|1|1
Georgia|F|9|9
Georgios|M|11|11
Gerasimos|M|6|6
Gerasimoula|F|1|1
Gerassimos|M|3|3
Gianna|F|2|2
Giannis|M|4|4
Giannos|M|1|1
Giannoula|F|4|4
Giannoulis|M|1|1
Giantvigka|F|1|1
Giolanda|F|1|1
Giorgios|M|4|4
Giota|F|1|1
Gioula|F|2|2
Giouli|F|2|2
Gregorios|M|1|1
Gregoris|M|1|1
Grigoria|F|3|3
Grigorios|M|6|6
Harikleia|F|1|1
Hariklia|F|3|3
Herakles|M|1|1
Herkules|M|1|1
Hermes|M|1|mythological
Hermina|F|1|1
Hrissoula|F|1|1
Hristina|F|1|1
Hristoforos|M|1|1
Hristos|M|3|3
Iakovos|M|2|2
Iason|M|1|mythological
Iasonas|M|1|1
Ieremias|M|1|1
Ifigeneia|F|4|4
Ifigenia|F|5|5
Ignatios|M|1|1
Ileana|F|2|2
Ilektra|F|4|4
Ilias|M|7|mythological
Ioanna|F|8|8
Ioannina|F|1|1
Ioannis|M|10|10
Ioli|F|2|2
Ionas|M|1|1
Iordanis|M|4|4
Iosif|M|4|4
Ioulia|F|5|5
Ioulieta|F|1|1
Ioulietta|F|1|1
Iounona|F|1|1
Ippokratis|M|2|2
Iraklis|M|4|4
Irini|F|9|9
Iro|F|4|4
Isavella|F|1|1
Isidora|F|1|1
Isidoros|M|4|4
Ismimi|F|3|3
Izampo|F|1|1
Jannis|M|1|1
Joanna|F|2|2
Jorgos|M|1|1
Kalinikos|M|1|1
Kaliope|F|1|1
Kaliopi|F|2|2
Kalliopi|F|7|7
Kallirroi|F|5|5
Kallitsa|F|1|1
Kalomira|F|1|1
Kaloudis|M|1|1
Kanaris|M|1|1
Kanella|F|4|4
Kariofilis|M|1|1
Karolina|F|2|2
Kasimira|F|1|1
Kassiani|F|2|2
Katerina|F|5|5
Katina|F|1|1
Kerasoula|F|1|1
Kerkyra|F|1|1
Kiratsou|F|1|1
Kiriaki|F|1|1
Kiti|F|1|1
Klavdia|F|1|1
Kleanthi|F|1|1
Kleanthis|M|3|3
Kleanthos|M|1|1
Klearchos|M|1|1
Kleio|F|1|mythological
Kleomenis|M|1|1
Kleoniki|F|1|1
Kleopas|M|1|1
