# name-stuff given names
# format: name|gender|frequency|tags
#
Kumar|M|8|8
Anita|F|7|7
Asha|F|7|7
Kandiah|M|7|7
Madhu|F?|7|7
Nadarajah|M|7|7
Neelam|F|7|7
Nirmal|M?|7|7
Pal|M|7|7
Raj|M?|7|7
Sangeeta|F|7|7
Subramaniam|M|7|7
Sunita|F|7|7
Surinder|M?|7|7
Usha|F|7|7
Vijay|M?|7|7
Alka|F|6|6
Anil|M|6|6
Anju|F|6|6
Archana|F|6|6
Arun|M|6|6
Ashok|M?|6|6
Avtar|M|6|6
Balbir|M|6|6
Balwinder|M?|6|6
Harjinder|M?|6|6
Indu|F|6|6
Jasbir|M?|6|6
Jaswant|M?|6|6
Jaswinder|M?|6|6
Jyoti|F|6|6
Kanagaratnam|M|6|6
Kavita|F|6|6
Kiran|F?|6|6
Krishna|U|6|6
Kumari|F|6|6
Manjit|M?|6|6
Manju|F?|6|6
Meena|F|6|6
Mohan|M|6|6
Poonam|F|6|6
Rajesh|M|6|6
Rajinder|M?|6|6
Ram|M|6|6
Ramesh|M|6|6
Rashmi|F|6|6
Rasiah|M|6|6
Ravi|M?|6|6
Ravinder|M?|6|6
Rekha|F|6|6
Renu|F|6|6
Sarita|F|6|6
Saroj|F?|6|6
Savita|F|6|6
Seema|F|6|6
Sinnathamby|M|6|6
Suman|F?|6|6
Suresh|M?|6|6
Sushma|F|6|6
Vandana|F|6|6
Veena|F|6|6
Ajay|M|5|5
Amar|M|5|5
Amarjit|M?|5|5
Amit|M|5|5
Amita|F|5|5
Amrik|M|5|5
Anjali|F|5|5
Anjana|F|5|5
Antony|M|5|5
Anupama|F|5|5
Anuradha|F|5|5
Aparna|F|5|5
Arumugam|M|5|5
Aruna|F|5|5
Ashwani|U|5|5
Bala|F|5|5
Baljinder|M?|5|5
Bharti|F|5|5
Bhupinder|M?|5|5
Chandra|M?|5|5
Deepa|F|5|5
Deepak|M?|5|5
Deepika|F|5|5
Devi|F|5|5
Devinder|M?|5|5
Gautam|M|5|5
Geeta|F|5|5
Gurdev|M|5|5
Gurmeet|M?|5|5
Gurmit|M?|5|5
Harjit|M?|5|5
Jagjit|M?|5|5
Jatinder|M?|5|5
Jaya|F|5|5
Jeyakumar|M|5|5
Joginder|M?|5|5
Joseph|M|5|5
Kalpana|F|5|5
Kamal|M?|5|5
Kanagasabai|M|5|5
Kanapathipillai|M|5|5
Kandasamy|M|5|5
Karuna|F|5|5
Krishnapillai|M|5|5
Kuldeep|M?|5|5
Kuldip|M?|5|5
Kulwant|M?|5|5
Kusum|F|5|5
Lakshmi|F|5|5
Lalita|F|5|5
Lata|F|5|5
Laxmi|F|5|5
Leena|F|5|5
Mamta|F|5|5
Manisha|F|5|5
Manoj|M|5|5
Markandu|M|5|5
Meenakshi|F|5|5
Meera|F|5|5
Mohinder|M?|5|5
Murugesu|M|5|5
Nagalingam|M|5|5
Narinder|M?|5|5
Navaratnam|M|5|5
Neelima|F|5|5
Neera|F|5|5
Neeta|F|5|5
Nisha|F|5|5
Paramjit|M?|5|5
Parminder|M?|5|5
Ponniah|M|5|5
Ponnuthurai|M|5|5
Pooja|F|5|5
Pratibha|F|5|5
Preeti|F|5|5
Prem|F?|5|5
Priya|F|5|5
Rajan|M|5|5
Rajni|F|5|5
Rakesh|M|5|5
Rani|F|5|5
Ranjan|M|5|5
Ranjana|F|5|5
Ranjit|M?|5|5
Rita|F|5|5
Ritu|F|5|5
Sanjeev|M|5|5
Satish|M?|5|5
Satnam|M|5|5
Sellathurai|M|5|5
Selliah|M|5|5
Selvaratnam|M|5|5
Shashi|F?|5|5
Sheetal|F?|5|5
Shobha|F|5|5
Sinnathurai|M|5|5
Sinniah|M|5|5
Sivakumar|M|5|5
Sivarajah|M|5|5
Somasundaram|M|5|5
Sudesh|F?|5|5
Sudha|F|5|5
Sudhir|M|5|5
Sujata|F|5|5
Sukhdev|M|5|5
Sukhwinder|M?|5|5
Sunil|M?|5|5
Sureshkumar|M|5|5
Surjit|M?|5|5
Sushila|F|5|5
Thambiah|M|5|5
Uma|F|5|5
Urmila|F|5|5
Varsha|F|5|5
Vijaya|F|5|5
Vinod|M|5|5
Aarti|F|4|4
Abha|F|4|4
Abhilasha|F|4|4
Ajit|M?|4|4
Alok|M|4|4
Ambika|F|4|4
Amitava|M|4|4
Amrit|U|4|4
Anand|M|4|4
Anshu|F|4|4
Anupam|M|4|4
Arti|F|4|4
Arunasalam|M|4|4
Arvind|M|4|4
Bahadur|M|4|4
Balachandran|M|4|4
Balasingam|M|4|4
Baldev|M|4|4
Baljit|M?|4|4
Balvir|M|4|4
Baskaran|M|4|4
Beena|F|4|4
Bela|M|4|4
Bhajan|M?|4|4
Charanjit|M?|4|4
Chelliah|M|4|4
Chhaya|F|4|4
Chitra|F|4|4
Dalbir|M|4|4
Daljit|M?|4|4
Davinder|M?|4|4
Deep|F|4|4
Deepti|F|4|4
Dilip|M|4|4
Dinesh|M|4|4
Divya|F|4|4
Elayathamby|M|4|4
Gopal|M|4|4
