# name-stuff given names
# format: name|gender|frequency|tags
#
Aarti|F|4|4
Abha|F|4|4
Abhay|M|3|3
Abhilasha|F|4|4
Adarsh|U|2|2
Aditi|F|3|3
Aditya|M|1|1
Ahilan|M|2|2
Ajay|M|5|5
Ajit|M?|4|4
Ajmer|M|3|3
Akash|M|2|2
Akhila|F|1|1
Akhtar|M|2|2
Alak|M|2|2
Alakananda|M|2|2
Alka|F|6|6
Alok|M|4|4
Aloke|M|3|3
Alston|M|1|1
Alvapillai|M|2|2
Amal|M|2|2
Amala|F|2|2
Amalan|M|2|2
Amanpreet|M?|2|2
Amar|M|5|5
Amaresh|M|2|2
Amarjeet|M?|3|3
Amarjit|M?|5|5
Ambika|F|4|4
Ambira|F|1|1
Ameeta|F|2|2
Ameetha|F|1|1
Amishi|F|1|1
Amit|M|5|5
Amita|F|5|5
Amitabh|M|2|2
Amitava|M|4|4
Amrik|M|5|5
Amrit|U|4|4
Amrita|F|2|2
Ana|F|1|1
Anamika|F|3|3
Anand|M|4|4
Ananda|M|3|3
Anandaraja|M|2|2
Anandarajah|M|1|1
Aneel|M|1|1
Aneesh|M|3|3
Aneeta|F|3|3
Anelise|F|1|1
Anil|M|6|6
Aninda|F|1|1
Anindo|M|1|1
Anita|F|7|7
Anjali|F|5|5
Anjan|U|2|2
Anjana|F|5|5
Anjani|F|2|2
Anju|F|6|6
Ankit|M|2|2
Anshu|F|4|4
Anthea|F|1|1
Anthony|M|3|3
Antima|F|1|1
Antonipillai|M|2|2
Antony|M|5|5
Anu|F|3|3
Anuja|F|1|1
Anupam|M|4|4
Anupama|F|5|5
Anupoorna|F|2|2
Anuradha|F|5|5
Anushree|F|1|1
Anushya|F|1|1
Anusuya|F|2|2
Aparajita|F|3|3
Aparna|F|5|5
Apputhurai|M|3|3
Arabinda|M|3|3
Aradhana|F|3|3
Aravinthan|M|3|3
Archan|M|1|1
Archana|F|6|6
Archna|F|3|3
Arjun|M|2|2
Aron|M|1|1
Arpita|F|3|3
Arshleen|F|1|1
Arti|F|4|4
Arul|M|3|3
Arulampalam|M|2|2
Arulanantham|M|3|3
Arulanatham|M|2|2
Arulappu|M|2|2
Arumugam|M|5|5
Arumugan|M|3|3
Arun|M|6|6
Aruna|F|5|5
Arunasalam|M|4|4
Arup|M|2|2
Arushi|F|1|1
Arvind|M|4|4
Arvinder|M?|2|2
Asha|F|7|7
Ashima|F|2|2
Ashish|M|1|1
Ashok|M?|6|6
Ashutosh|M|2|2
Ashwani|U|5|5
Asim|M|3|3
Asis|M|2|2
Asit|M|3|3
Athmane|M|1|1
Atul|M|3|3
Avantika|F|1|1
Avijit|M|2|2
Avinash|M|2|2
Avtar|M|6|6
Babita|F|2|2
Babli|F|3|3
Babu|M|3|3
Badri|M|2|2
Bahadur|M|4|4
Baheerathan|M|2|2
Bahija|F|1|1
Bajo|M|1|1
Bakhshish|M|2|2
Bal|M|3|3
Bala|F|5|5
Balachandran|M|4|4
Balasingam|M|4|4
Balasubramaniam|M|3|3
Balbir|M|6|6
Baldev|M|4|4
Balendran|M|2|2
Baljeet|M?|3|3
Baljinder|M?|5|5
Baljit|M?|4|4
Balkar|M|3|3
Balvinder|M?|3|3
Balvir|M|4|4
Balwinder|M?|6|6
Balyeet|M|2|2
Barin|U|1|1
Barnali|F|3|3
Basabi|F|2|2
Basanti|F|3|3
Baskaran|M|4|4
Basra|F|2|2
Bavani|F|2|2
Beant|M?|3|3
Beena|F|4|4
Bela|M|4|4
Bhagvati|F|2|2
Bhagwan|M|3|3
Bhagwant|M|2|2
Bhajan|M?|4|4
Bharat|U|2|2
Bharati|F|2|2
Bharti|F|5|5
Bhaskar|M|2|2
Bhavana|F|1|1
Bhavani|F|2|2
Bhavna|F|2|2
Bhopinder|M?|3|3
Bhupinder|M?|5|5
Bijan|F|1|1
Bijoy|M|3|3
Bikash|M|2|2
Bikram|M|2|2
Bimla|F|3|3
Bina|F|2|2
Bindiya|F|1|1
Bindu|F|2|2
Biswajit|M?|2|2
Boasathan|M|1|1
Brijender|M|2|2
Chanchal|F|3|3
Chand|M?|3|3
Chandan|M|3|3
Chandana|F|2|2
Chandar|M|2|2
Chander|M|3|3
Chandini|F|1|1
Chandita|F|1|1
Chandra|M?|5|5
Chandrakumar|M|3|3
Chandran|M?|2|2
Chandrima|F|1|1
Charan|M|2|2
Charanjit|M?|4|4
Charu|F|3|3
Chellapah|M|2|2
Chelliah|M|4|4
Chhanda|F|2|2
Chhaya|F|4|4
