# name-stuff given names
# format: name|gender|frequency|tags
#
Hiroshi|M|9|9
Keiko|F|9|9
Akiko|F|8|8
Akira|M?|8|8
Hiroko|F|8|8
Hiromi|F?|8|8
Hiroyuki|M|8|8
Junko|F|8|8
Kaori|F|8|8
Kenji|M|8|8
Makoto|M?|8|8
Mari|F|8|8
Mariko|F|8|8
Mayumi|F|8|8
Megumi|F|8|8
Miki|F|8|8
Noriko|F|8|8
Satoshi|M|8|8
Takashi|M|8|8
Takeshi|M|8|8
Tomoko|F|8|8
Yoko|F|8|8
Yuka|F|8|8
Yuko|F?|8|8
Ai|F|7|7
Atsuko|F|7|7
Atsushi|M|7|7
Aya|F|7|7
Ayako|F|7|7
Chie|F|7|7
Daisuke|M|7|7
Eri|F|7|7
Hideki|M|7|7
Hiroaki|M|7|7
Hitomi|F|7|7
Jun|M?|7|7
Kanako|F|7|7
Kayoko|F|7|7
Kazuko|F|7|7
Kazuo|M|7|7
Kenichi|M|7|7
Koji|M|7|7
Kumiko|F|7|7
Kyoko|F|7|7
Mai|F|7|7
Makiko|F|7|7
Masahiro|M|7|7
Masaki|M|7|7
Masako|F|7|7
Masami|F?|7|7
Masayuki|M|7|7
Michiko|F|7|7
Miho|F|7|7
Mika|F|7|7
Minoru|M?|7|7
Miyuki|F|7|7
Naoki|M|7|7
Naoko|F|7|7
Naomi|F|7|7
Reiko|F|7|7
Rie|F|7|7
Sachiko|F|7|7
Shigeru|M|7|7
Shinji|M|7|7
Takahiro|M|7|7
Takayuki|M|7|7
Tetsuya|M|7|7
Tomomi|F?|7|7
Toshio|M|7|7
Toshiyuki|M|7|7
Yasuhiro|M|7|7
Yoshiko|F|7|7
Yuji|M|7|7
Yukari|F|7|7
Yuki|F?|7|7
Yukiko|F|7|7
Yumi|F|7|7
Yumiko|F|7|7
Yusuke|M|7|7
Yutaka|M?|7|7
Aiko|F|6|6
Akemi|F|6|6
Akihiro|M|6|6
Akio|M|6|6
Asako|F|6|6
Asami|F|6|6
Ayumi|F|6|6
Chieko|F|6|6
Chihiro|F?|6|6
Chikako|F|6|6
Eiji|M|6|6
Emi|F|6|6
Emiko|F|6|6
Eriko|F|6|6
Etsuko|F|6|6
Fumiko|F|6|6
Haruka|F?|6|6
Hideaki|M|6|6
Hideo|M|6|6
Hideyuki|M|6|6
Hiroki|M|6|6
Hisako|F|6|6
Hitoshi|M|6|6
Ikuko|F|6|6
Isao|M|6|6
Izumi|F|6|6
Junichi|M|6|6
Kana|F|6|6
Kaoru|F?|6|6
Kazue|F|6|6
Kazuhiko|M|6|6
Kazuhiro|M|6|6
Kazumi|F?|6|6
Kazuya|M|6|6
Kei|F?|6|6
Keiichi|M|6|6
Keisuke|M|6|6
Ken|M|6|6
Kentaro|M|6|6
Kimiko|F|6|6
Kiyoshi|M|6|6
Koichi|M|6|6
Maiko|F|6|6
Maki|F|6|6
Mami|F|6|6
Manabu|M|6|6
Masaaki|M|6|6
Masahiko|M|6|6
Masanori|M|6|6
Masao|M|6|6
Masaru|M|6|6
Masashi|M|6|6
Masato|M|6|6
Masaya|M|6|6
Midori|F|6|6
Mieko|F|6|6
Mikiko|F|6|6
Minako|F|6|6
Mitsuko|F|6|6
Miwa|F|6|6
Miyoko|F|6|6
Natsuko|F|6|6
Nobuko|F|6|6
Norio|M|6|6
Osamu|M|6|6
Rika|F|6|6
Risa|F|6|6
Ryo|U|6|6
Ryoko|F|6|6
Saori|F|6|6
Satomi|F|6|6
Satoru|M|6|6
Sayaka|F|6|6
Sayuri|F|6|6
Seiji|M|6|6
Setsuko|F|6|6
Shinichi|M|6|6
Shoko|F|6|6
Tadashi|M|6|6
Takako|F|6|6
Takeo|M|6|6
Takuya|M|6|6
Tatsuya|M|6|6
Tetsuo|M|6|6
Tomohiro|M|6|6
Tomoyuki|M|6|6
Toru|M|6|6
Toshiko|F|6|6
Tsutomu|M|6|6
Tsuyoshi|M|6|6
Wataru|M|6|6
Yasuko|F|6|6
Yasuo|M|6|6
Yasushi|M|6|6
Yoichi|M|6|6
Yoshiaki|M|6|6
Yoshie|F|6|6
Yoshihiko|M|6|6
Yoshihiro|M|6|6
Yoshimi|F?|6|6
Yoshinori|M|6|6
Yoshio|M|6|6
Yoshiyuki|M|6|6
Yosuke|M|6|6
Yu|F|6|6
Yukie|F|6|6
Yukio|M|6|6
Yuri|F|6|6
Yuriko|F|6|6
Yuuki|M|6|6
Akane|F|5|5
Aki|F|5|5
Akihiko|M|5|5
Akinori|M|5|5
Asuka|F|5|5
Atushi|M|5|5
Ayano|F|5|5
Chiaki|F|5|5
Chiharu|F?|5|5
Chika|F|5|5
Eiichi|M|5|5
Eiko|F|5|5
Fumiaki|M|5|5
Fumie|F|5|5
Hajime|M|5|5
Haruko|F|5|5
Haruo|M|5|5
Hideko|F|5|5
Hidetoshi|M|5|5
Hikaru|F?|5|5
Hiroe|F|5|5
Hirofumi|M|5|5
Hirokazu|M|5|5
Hirotaka|M|5|5
Hiroyasu|M|5|5
Hisashi|M|5|5
Ichiro|M|5|5
Ikuo|M|5|5
Jin|M?|5|5
Junji|M|5|5
Katsuhiko|M|5|5
Katsuhiro|M|5|5
Katsumi|M?|5|5
Katsuyuki|M|5|5
Kayo|F|5|5
Kazuaki|M|5|5
Kazuki|M|5|5
Kazumasa|M|5|5
Kazunari|M|5|5
Kazunori|M|5|5
Kazuyoshi|M|5|5
Kazuyuki|M|5|5
Keiji|M|5|5
Keita|M|5|5
Kenta|M|5|5
Kiyoko|F|5|5
Kiyomi|F|5|5
