# name-stuff given names
# format: name|gender|frequency|tags
#
Ae|U|8|8
Ae+Young|F|3|3
Ah|U|7|7
Am|U|3|3
An|U|5|5
Bae|M?|7|7
Baek|U|3|3
Bai|F?|3|3
Bang|U|4|4
Be|U|2|2
Beom|U|4|4
Beom+Seok|M|2|2
Beong|U|2|2
Bin|U|6|6
Bo|U|6|6
Bo+Hyun|M|2|2
Bo+Kyung|F|2|2
Bo+Young|F|3|3
Bog|U|3|3
Bok|U|8|8
Bok+Hee|F?|4|4
Bok+Kae|M|2|2
Bok+Sil|F|3|3
Bok+Soo|M|2|2
Bok+Soon|F|2|2
Bok+Sun|F|2|2
Bon|U|3|3
Bong|U|8|8
Bong+Ja|F|2|2
Bong+Ki|M|2|2
Bong+Soo|M|3|3
Bong+Soon|F|2|2
Boo|U|5|5
Boo+Ja|F|2|2
Bu|U|5|5
Bum|M?|7|7
Bum+Sang|M|2|2
Bum+Suk|M|2|2
Bun|U|6|6
Byeong|U|5|5
Byeong+Gyu|M|2|2
Byong|U|5|5
Byoung|U|6|6
Byung|U|8|8
Byung+Ho|M|2|2
Byung+Hwan|M|2|2
Byung+Jin|M|2|2
Byung+Ki|M|2|2
Byung+Kyu|M|3|3
Byung+Ok|F|2|2
Byung+Soo|M|3|3
Cha|U|6|6
Chae|U|6|6
Chai|U|3|3
Chal|U|2|2
Chan|M?|8|8
Chan+Ki|M|2|2
Chan+Wook|M|2|2
Chang|U|9|9
Chang+Bae|M|3|3
Chang+Chun|U|1|1
Chang+Han|M|2|2
Chang+Ho|M|3|3
Chang+Hoon|M|2|2
Chang+Hwan|M|2|2
Chang+Hyun|M|4|4
Chang+Il|M|2|2
Chang+Jin|U|1|1
Chang+Ok|F|2|2
Chang+Soo|M|4|4
Chang+Sun|M|2|2
Chang+Sung|M|2|2
Chang+Uk|M|2|2
Chang+Wan|M|2|2
Chang+Yul|M|2|2
Chang+Yun|M|1|1
Chee|U|3|3
Chel|U|3|3
Chen|U|2|2
Cheol|U|7|7
Cheon|U|4|4
Cheong|U|4|4
Cher|U|2|2
Cheul|U|3|3
Chi|U|7|7
Chi+Gon|M|2|2
Chi+Hyun|F|3|3
Chi+San|M|1|1
Chi+Yong|U|1|1
Chi+Young|F|2|2
Chi+Yuen|F|1|1
Chil|U|3|3
Chil+Sung|M|2|2
Chin|U|6|6
Chin+In|U|2|2
Cho|U|5|5
Choi|U|3|3
Chol|M?|5|5
Chol+Soon|F|3|3
Chon|U|5|5
Chong|U|9|9
Chong+Han|M|1|1
Chong+Ho|M|3|3
Chong+Hwa|F|2|2
Chong+Hyun|M?|3|3
Chong+In|M|2|2
Chong+Ja|F|2|2
Chong+Nam|M|2|2
Chong+Seo|M|2|2
Chong+Soon|M?|2|2
Chong+Suk|F|2|2
Chong+Sung|M|2|2
Chong+Tae|M|2|2
Chong+Won|M|2|2
Choo|U|4|4
Choon|U|5|5
Choon+Sun|F|3|3
Choong|U|5|5
Chu|U|5|5
Chui|U|2|2
Chul|M?|9|9
Chul+Hong|M|2|2
Chul+Soo|M|2|2
Chule|U|3|3
Chun|U|8|8
Chun+Il|M|2|2
Chun+Ja|F|3|3
Chun+Lan|U|1|1
Chung|U|9|9
Chung+Hee|F|4|4
Chung+Hoon|M|2|2
Chung+Hwan|M|2|2
Chung+Ja|F|4|4
Chung+Nam|M|2|2
Chung+Shin|M|2|2
Chung+Sook|F|2|2
Chung+Woo|M|2|2
Chung+Yeol|M|2|2
Da|U|5|5
Dae|U|8|8
Dae+Hyun|M|4|4
Dae+Joong|M|2|2
Dae+Kyung|M|2|2
Dae+Sik|M|2|2
Dae+Sung|M|2|2
Dae+Whoan|M|2|2
Dae+Won|M|3|3
Dae+Woo|M|2|2
Dae+Yong|M|3|3
Dae+Young|M|3|3
Dai|U|4|4
Dai+Hee|U|2|2
Dal|U|4|4
Dal+Soo|M|2|2
Dea|U|2|2
Deok|U|5|5
Deuk|U|3|3
Do|U|8|8
Do+Hee|F|2|2
Do+Hyung|M|2|2
Dok|U|3|3
Don|U|4|4
Dong|M?|10|10
Dong+Cheol|M|2|2
Dong+Chul|M|2|2
Dong+Eun|U|2|2
Dong+Hee|M?|3|3
Dong+Ho|M|3|3
Dong+Hun|M|2|2
Dong+Hwa|M|2|2
Dong+Hwan|M|4|4
Dong+Hyun|M|3|3
Dong+Jin|M|2|2
Dong+Joon|M|3|3
Dong+Keun|M|2|2
Dong+Kyu|M|2|2
Dong+Min|M|1|1
Dong+Seob|M|2|2
Dong+Sik|M|3|3
Dong+Soo|M|4|4
Dong+Sook|F|3|3
Dong+Soon|F|3|3
Dong+Suk|M?|3|3
Dong+Sun|F|2|2
Dong+Sung|M|3|3
Dong+Wan|M|2|2
Dong+Woo|M|4|4
Dong+Wook|M|3|3
Dong+Young|M|2|2
Dong+Yun|M?|2|2
Doo|U|6|6
Doo+Hee|F|2|2
Dou|U|2|2
Du|U|4|4
Du+Ri|U|2|2
Duk|U|7|7
Duk+Hoon|M|1|1
Duk+Ja|F|1|1
Duk+Jin|M|3|3
Duk+Jun|M|2|2
Ea|U|2|2
Ei|U|2|2
Euh|U|2|2
Euh+Kyeong|F|2|2
Eui|U|5|5
Eui+Jung|F|2|2
Eui+Suk|M?|2|2
Eul|U|3|3
Eun|F?|10|10
Eun+A|F|4|4
Eun+Ah|F|3|3
Eun+Chul|M|2|2
Eun+Hee|F|6|6
Eun+Ho|M|2|2
Eun+Hye|F|2|2
Eun+Ja|F|3|3
Eun+Jeong|F|4|4
Eun+Jin|F|4|4
Eun+Joo|F|2|2
Eun+Ju|F|3|3
Eun+Jung|F|4|4
Eun+Kyung|F|4|4
Eun+Mi|F|4|4
Eun+Sil|F|3|3
Eun+Soo|U|2|2
Eun+Sook|F|5|5
Eun+Soon|F|3|3
Eun+Sun|F|2|2
Eun+Young|F|5|5
Eung|U|5|5
Ga|U|2|2
Gab|U|3|3
Gak|U|2|2
Gee|U|3|3
Gen|U|2|2
Geun|U|4|4
Gi|U|6|6
Gi+Na|F|2|2
Gil|U|7|7
Go|U|2|2
Gon|U|5|5
Gong|U|2|2
Goo|U|4|4
Gu|U|5|5
Gue|U|2|2
Guen|U|2|2
Gui|U|3|3
Guk|U|4|4
Gun|U|5|5
Gwang|U|4|4
Gye|U|3|3
Gye+Rim|F?|2|2
Gyu|U|6|6
Gyun|U|3|3
Gyung|U|3|3
Ha|U|7|7
Ha+Hak|M?|1|1
Ha+Na|F|2|2
Hack|U|3|3
Hae|U|8|8
Hae+Chung|F|2|2
Hae+Eun|F|2|2
Hae+Jung|F|3|3
Hae+Kyung|F|3|3
Hae+Ok|F|2|2
Hae+Ran|F|2|2
Hae+Sook|F|4|4
Hae+Soon|F|2|2
Hae+Sung|M|2|2
Haeng|U|3|3
Hai|U|2|2
Hak|U|8|8
Hak+Jin|M|3|3
Hak+Joo|F|2|2
Hak+Soo|M|3|3
Han|U|8|8
Han+Dong|M|1|1
Han+Kyoung|U|2|2
Han+Kyu|M|3|3
