# name-stuff given names
# format: name|gender|frequency|tags
#
Jan|M|10|10
Hans|M|9|9
Henk|M|9|9
Peter|M|9|9
Anita|F|8|8
Anja|F|8|8
Bert|M|8|8
Erik|M|8|8
Frank|M|8|8
Gerard|M|8|8
Ingrid|F|8|8
Johan|M|8|8
John|M|8|8
Jolanda|F|8|8
Jos|M|8|8
Karin|F|8|8
Marcel|M|8|8
Monique|F|8|8
Paul|M|8|8
Petra|F|8|8
Rene|M|8|8
Rob|M|8|8
Sandra|F|8|8
Theo|M|8|8
Wim|M|8|8
Yvonne|F|8|8
Andre|M|7|7
Anne|U|7|7
Anneke|F|7|7
Annie|F|7|7
Ans|F|7|7
Arjan|M|7|7
Astrid|F|7|7
Bart|M|7|7
Ben|M|7|7
Bianca|F|7|7
Carla|F|7|7
Dick|M|7|7
Edwin|M|7|7
Ellen|F?|7|7
Elly|F|7|7
Eric|M|7|7
Esther|F|7|7
Frans|M|7|7
Geert|M|7|7
Gerda|F|7|7
Gerrit|M|7|7
Gert|M|7|7
Harry|M|7|7
Herman|M|7|7
Ineke|F|7|7
Inge|U|7|7
Jaap|M|7|7
Jac|M|7|7
Jacqueline|F|7|7
Jeroen|M|7|7
Joke|F|7|7
Judith|F|7|7
Kees|M|7|7
Klaas|M|7|7
Leo|M|7|7
Linda|F|7|7
Marc|M|7|7
Marco|M|7|7
Marian|F|7|7
Marianne|F|7|7
Marieke|F|7|7
Marion|F|7|7
Marjan|F|7|7
Mark|M|7|7
Martin|M|7|7
Michel|M|7|7
Mieke|F|7|7
Miranda|F|7|7
Mirjam|F|7|7
Nico|M|7|7
Nicole|F|7|7
Patrick|M|7|7
Piet|M?|7|7
Pieter|M|7|7
Ria|F|7|7
Richard|M|7|7
Robert|M|7|7
Ron|M|7|7
Ronald|M|7|7
Ruud|M|7|7
Saskia|F|7|7
Tineke|F|7|7
Ton|M|7|7
Wendy|F|7|7
Willem|M|7|7
Wilma|F|7|7
Ad|M|6|6
Agnes|F|6|6
Albert|M|6|6
Alex|M?|6|6
Alie|F|6|6
Angela|F|6|6
Angelique|F|6|6
Annelies|F|6|6
Annemarie|F|6|6
Annet|F|6|6
Annette|F|6|6
Anton|M|6|6
Arie|M|6|6
Arno|M|6|6
Bas|M|6|6
Brigitte|F|6|6
Caroline|F|6|6
Cees|M|6|6
Chantal|F|6|6
Chris|M?|6|6
Cindy|F|6|6
Claudia|F|6|6
Cor|M?|6|6
Danielle|F|6|6
Dennis|M|6|6
Diana|F|6|6
Dirk|M|6|6
Ed|M|6|6
Els|F?|6|6
Erna|F|6|6
Erwin|M|6|6
Fred|M|6|6
Gea|F|6|6
Han|M?|6|6
Hanneke|F|6|6
Harm|M|6|6
Harrie|M|6|6
Heidi|F|6|6
Hennie|F?|6|6
Henny|U|6|6
Henri|M|6|6
Henriette|F|6|6
Ilse|F|6|6
Ina|F|6|6
Ine|F|6|6
Irene|F|6|6
Irma|F|6|6
Jack|M|6|6
Jacob|M|6|6
Janneke|F|6|6
Jannie|F|6|6
Janny|F|6|6
Jo|U|6|6
Joop|M?|6|6
Joost|M|6|6
Jose|F?|6|6
Joyce|F|6|6
Kim|F?|6|6
Koos|M|6|6
Leon|M|6|6
Lia|F|6|6
Liesbeth|F|6|6
Maaike|F|6|6
Maarten|M|6|6
Marga|F|6|6
Maria|F|6|6
Marie|F|6|6
Marielle|F|6|6
Marijke|F|6|6
Mariska|F|6|6
Marja|F|6|6
Marjo|F|6|6
Marleen|F|6|6
Martijn|M|6|6
Martine|F|6|6
Miriam|F|6|6
Natasja|F|6|6
Patricia|F|6|6
Raymond|M|6|6
Renate|F|6|6
Rianne|F|6|6
Rita|F|6|6
Roel|M|6|6
Roy|M|6|6
Sabine|F|6|6
Sander|M|6|6
Silvia|F|6|6
Simone|F|6|6
Sjaak|M|6|6
Sonja|F|6|6
Susan|F|6|6
Suzanne|F|6|6
Sylvia|F|6|6
Thea|F|6|6
Tiny|F|6|6
Tom|M|6|6
Truus|F|6|6
Wil|U|6|6
Willy|U|6|6
Adrie|U|5|5
Alice|F|5|5
Anke|F?|5|5
Anna|F|5|5
Annemiek|F|5|5
Annemieke|F|5|5
Ant|M|5|5
Arjen|M|5|5
Arnold|M|5|5
Aukje|F|5|5
Barbara|F|5|5
Bea|F|5|5
Bennie|M|5|5
Berry|M|5|5
Bertus|M|5|5
Betty|F|5|5
Bob|M|5|5
Bram|M|5|5
Brenda|F|5|5
Carin|F|5|5
Carola|F|5|5
Carolien|F|5|5
Christa|F|5|5
Christel|F?|5|5
Coby|F|5|5
Conny|F?|5|5
Corine|F|5|5
Cornelis|M|5|5
Corrie|F|5|5
Danny|M?|5|5
Debby|F|5|5
Diane|F|5|5
Dianne|F|5|5
Diny|F|5|5
Dorien|F|5|5
Douwe|M?|5|5
Eddy|M|5|5
Edith|F|5|5
Erica|F|5|5
Evelien|F|5|5
Evert|M|5|5
Frits|M|5|5
Geertje|F|5|5
Ger|U|5|5
Gerben|M|5|5
Gerrie|F?|5|5
Gijs|M|5|5
Grietje|F|5|5
Guus|M|5|5
Hannie|F|5|5
Hanny|F|5|5
Harold|M|5|5
Hein|M|5|5
Heleen|F?|5|5
Helga|F|5|5
Helma|F|5|5
Hendrik|M|5|5
Henry|M|5|5
Herma|F|5|5
Hetty|F|5|5
Hilda|F|5|5
Huub|M|5|5
Ida|F|5|5
Ilona|F|5|5
Janet|F|5|5
Janine|F|5|5
Jean|M?|5|5
Jeanet|F|5|5
Jeanette|F|5|5
Jeanne|F|5|5
Jeannette|F|5|5
Jelle|M|5|5
Jenny|F|5|5
Jessica|F|5|5
Johannes|M|5|5
Johnny|M|5|5
Jurgen|M|5|5
Karel|M|5|5
Kitty|F|5|5
Laura|F|5|5
Leonie|F|5|5
Lianne|F|5|5
Lilian|F|5|5
Lisette|F|5|5
Loes|F?|5|5
Louis|M|5|5
Louise|F|5|5
Luc|M|5|5
Manon|F|5|5
Margreet|F|5|5
Margriet|F?|5|5
Marjolein|F|5|5
Marjon|F|5|5
Marlies|F|5|5
Marloes|F|5|5
Martien|M?|5|5
Mary|F|5|5
Maurice|M|5|5
Menno|M|5|5
Mia|F|5|5
Michael|M|5|5
Michiel|M|5|5
Mike|F?|5|5
Nancy|F|5|5
Nathalie|F|5|5
Nel|F|5|5
Nelly|F|5|5
Niels|M|5|5
Nienke|F|5|5
Pascal|M|5|5
Paula|F|5|5
Paulien|F|5|5
Pierre|M|5|5
Pim|M|5|5
Remco|M|5|5
Rene|M|5|5
Rian|F?|5|5
Rick|M|5|5
Riet|F?|5|5
Rik|M|5|5
Robin|M?|5|5
Roelof|M|5|5
Roland|M|5|5
Ronnie|M?|5|5
Simon|M|5|5
Sjoerd|M|5|5
Sjoukje|F|5|5
Stefan|M|5|5
Susanne|F|5|5
Tamara|F|5|5
Tanja|F|5|5
Thijs|M|5|5
Thomas|M|5|5
Tjitske|F|5|5
Tonnie|M?|5|5
Tonny|U|5|5
Toon|M|5|5
Toos|F|5|5
Trudy|F|5|5
Twan|M|5|5
Vera|F|5|5
Vincent|M|5|5
Walter|M|5|5
Wilco|M|5|5
William|M|5|5
Wouter|M|5|5
Yvette|F|5|5
Aad|M|4|4
Aafke|F|4|4
Aart|M|4|4
Ab|M|4|4
Ada|F|4|4
Adri|U|4|4
Adriaan|M|4|4
Alexander|M|4|4
Alexandra|F|4|4
Alfons|M|4|4
Aly|F|4|4
Andrea|F|4|4
Andries|M|4|4
Ank|F|4|4
Ankie|F|4|4
Anne-Marie|F|4|4
Annemie|F|4|4
Anny|F|4|4
Anouk|F|4|4
Antje|F|4|4
Antoinette|F|4|4
Antoon|M|4|4
Ard|M|4|4
Arend|M|4|4
Arthur|M|4|4
Auke|M?|4|4
Barry|M?|4|4
Bauke|M?|4|4
Baukje|F|4|4
Belinda|F|4|4
Benno|M|4|4
Benny|M|4|4
Bep|F|4|4
Berend|M|4|4
Bernadette|F|4|4
Bernard|M|4|4
Betsie|F|4|4
Betsy|F|4|4
Carina|F|4|4
Carlo|M|4|4
Carmen|F|4|4
Charles|M|4|4
Charlotte|F|4|4
Christian|M|4|4
Christien|F|4|4
Christine|F|4|4
Clemens|M|4|4
Co|M?|4|4
Coen|M|4|4
Connie|F?|4|4
Cora|F|4|4
Corina|F|4|4
Corry|F|4|4
Daan|M|4|4
Daniel|M|4|4
Daphne|F|4|4
Dave|M|4|4
David|M|4|4
Debbie|F|4|4
Denise|F|4|4
Derk|M|4|4
Desiree|F|4|4
Dineke|F|4|4
Dinie|F|4|4
Durk|M|4|4
Edward|M|4|4
Egbert|M|4|4
Elise|F|4|4
Ella|F|4|4
Elles|F|4|4
Ellie|F|4|4
Emiel|M|4|4
Emmy|F|4|4
Erika|F|4|4
Ernst|M|4|4
Ester|F|4|4
Eva|F|4|4
Eveline|F|4|4
Femke|F?|4|4
Ferry|M|4|4
Fokke|M|4|4
Fons|M|4|4
Francien|F|4|4
Francis|F?|4|4
Freddy|M|4|4
Freek|M|4|4
Froukje|F|4|4
Gaby|F|4|4
Geke|F?|4|4
Gemma|F|4|4
George|M|4|4
Gerdien|F|4|4
Gerry|M?|4|4
Gerwin|M|4|4
Gonnie|F|4|4
