# name-stuff given names
# format: name|gender|frequency|tags
#
Aad|M|4|4
Aadje|F|1|1
Aaf|F?|1|1
Aafke|F|4|4
Aafko|M|1|1
Aagje|F|2|2
Aalbert|M|1|1
Aaldrik|M|1|1
Aalke|F|1|1
Aalt|M|2|2
Aaltien|F|1|1
Aaltje|F|3|3
Aaltsje|F|1|1
Aant|F?|1|1
Aard|M|1|1
Aarent|M|1|1
Aarjan|M|1|1
Aarnoud|M|1|1
Aarnout|M|1|1
Aart|M|4|4
Aat|M|1|1
Ab|M|4|4
Abe|M|2|2
Abel|M|1|1
Abraham|M|1|1
Ad|M|6|6
Ada|F|4|4
Addie|U|1|1
Addy|U|2|2
Adinda|F|1|1
Adine|F|1|1
Adje|F|1|1
Adolphus|M|1|1
Adri|U|4|4
Adriaan|M|4|4
Adrian|M|1|1
Adrianne|F|1|1
Adrianus|M|1|1
Adrie|U|5|5
Adriëlle|F|1|1
Adriënne|F|2|2
Adèle|F|1|1
Aelbert|M|1|1
Aerend|M|1|1
Aernout|M|1|1
Aert|M|1|1
Afelien|F|1|1
Affie|F|1|1
Afie|F|1|1
Afke|F?|3|3
Afra|F|2|2
Agaat|F|1|1
Agaath|F|2|2
Agatha|F|2|2
Agatho|M|1|1
Age|M|2|2
Ageet|F|1|1
Ageeth|F|3|3
Agnes|F|6|6
Agnita|F|1|1
Aiso|M|1|1
Aize|M|1|1
Aizo|M|1|1
Ake|M|1|1
Akkie|F|2|2
Al|M|1|1
Alber|M|1|1
Alberdina|F|1|1
Albert|M|6|6
Albertha|F|1|1
Albertien|F|1|1
Albertine|F|2|2
Albertus|M|1|1
Alco|M|1|1
Aldwin|M|1|1
Aleid|F?|2|2
Aleida|F|2|2
Aletta|F|3|3
Alex|M?|6|6
Alexander|M|4|4
Alexandra|F|4|mythological
Alfons|M|4|4
Ali|F|2|2
Alice|F|5|5
Alida|F|3|3
Alie|F|6|6
Alien|F|3|3
Aliene|F|1|1
Alies|F|2|2
Alina|F|2|2
Alinda|F|3|3
Aline|F|3|3
Alize|F|1|1
Alje|U|1|1
Allard|M|3|3
Allart|M|1|1
Alle|M|2|2
Allegonda|F|1|1
Allegonde|F|1|1
Alma|F|3|3
Aloys|M|2|2
Aloysius|M|1|1
Alwie|M?|1|1
Alwies|M|1|1
Alwin|M|3|3
Alwyn|M|1|1
Aly|F|4|4
Amanda|F|3|3
Amber|F|2|2
Ame|M|1|1
Amel|M|1|1
Amelius|M|1|1
Amely|F|1|1
Amé|M|1|1
An|F|2|2
Anco|M|1|1
Andele|M|1|1
Andra|F|1|1
Andrea|F|4|4
Andreas|M|2|2
Andrees|M|1|1
Andries|M|4|4
Andrijs|M|1|1
Andrik|M|1|1
André|M|7|7
Andy|M|2|2
Ane|M|1|1
Anet|F|1|1
Angela|F|6|6
Angele|F|1|1
Angelie|F|2|2
Angelien|F|3|3
Angeliene|F|1|1
Angelina|F|2|2
Angeline|F|3|3
Angelique|F|6|6
Angely|F|1|1
Angèle|F|1|1
Aniek|F|1|1
Anique|F|1|1
Anita|F|8|8
Anja|F|8|8
Anje|F|2|2
Anjelien|F|1|1
Anjo|F|3|3
Ank|F|4|4
Anka|F|2|2
Anke|F?|5|5
Anki|F|1|1
Ankie|F|4|4
Ankje|F|1|1
Anko|M|1|1
Anky|F?|2|2
Ann|F|3|3
Anna|F|5|mythological
Annabel|F|1|1
Anne|U|7|7
Anne-Marie|F|4|4
Annebeth|F|1|1
Annechien|F|1|1
Anneclaar|F|1|1
Annegie|F|1|1
Annegien|F|1|1
Annegreet|F|1|1
Annegriet|F|1|1
Annejet|F|1|1
Anneke|F|7|7
Annekee|F|1|1
Anneleen|F|1|1
Annelieke|F|1|1
Annelien|F|1|1
Annelies|F|6|6
Annelijn|F|1|1
Anneloes|F|1|1
Annelotte|F|1|1
Annemarie|F|6|6
Annemarieke|F|1|1
Annemarije|F|1|1
Annemarijn|F|1|1
Annemie|F|4|4
Annemiek|F|5|5
Annemieke|F|5|5
Annemien|F|1|1
Annemijn|F|1|1
Annerie|F|1|1
Annerieke|F|1|1
Anneriet|F|1|1
Annet|F|6|6
Annette|F|6|6
Annewil|U|1|1
Annie|F|7|7
Anniek|F|1|1
Annig|F|1|1
Annigje|F|1|1
Annika|F|2|2
Annita|F|2|2
Anno|M|2|2
Annoeska|F|1|1
Annuska|F|1|1
Anny|F|4|4
Anoek|F|1|1
Anoeska|F|1|1
Anouck|F|1|1
Anouk|F|4|4
Ans|F|7|7
Ansje|F|1|1
Ant|M|5|5
Anthon|M|1|1
Anthonie|U|1|1
Antina|F|1|1
Antje|F|4|4
Antoin|M|1|1
Antoine|M|3|3
Antoinette|F|4|4
Anton|M|6|mythological
Antonie|U|2|2
Antonien|F|1|1
Antonius|M|1|1
Antoon|M|4|4
Antsje|F|1|1
Antwan|M|1|1
Anya|F|1|1
Ap|M|2|2
Appie|M?|3|3
Appy|M|1|1
Aranka|F|1|1
Arco|M|2|2
Ard|M|4|4
Arda|F|1|1
Ardi|F|1|1
Ardie|F?|1|1
Ardine|F|1|1
Ardjan|M|1|1
Ardy|F|1|1
Areke|F|1|1
Arend|M|4|4
Arenda|F|1|1
Arendien|F|1|1
Arendine|F|1|1
Arendje|F|1|1
Arent|M|1|1
Arian|M|2|2
Ariane|F|1|1
Arianne|F|2|2
Arie|M|6|6
Arieke|F|1|1
Arien|U|1|1
Ariëlla|F|1|1
Ariën|M|1|1
Ariënne|F|1|1
Ariëtte|F|1|1
Arja|F|2|2
Arjan|M|7|7
Arjanne|F|1|1
Arjen|M|5|5
Arjo|M?|2|2
Arjon|M|1|1
Arlene|F|1|1
Arlenne|F|1|1
Arlette|F|1|1
Armand|M|2|2
Arn|M|3|3
Arna|F|1|1
Arne|M|3|mythological
Arno|M|6|6
Arnold|M|5|5
Arnoud|M|3|3
Arnout|M|2|2
Arold|M|1|1
Aron|M|1|1
Arthur|M|4|4
Artie|M?|1|1
Arty|M|1|1
Arvid|M|1|1
Arwin|M|1|1
Ary|M|1|1
Aschwin|M|1|1
Asse|M|1|1
Astrid|F|7|7
Aswin|M|1|1
Ate|M|2|mythological
Ati|F|1|1
Atie|F|2|2
Atje|F?|1|1
Atte|U|1|1
Attie|F|2|2
Atty|F|1|1
Aty|F?|1|1
Atze|M?|1|1
Audrey|F|3|3
August|M|1|1
Augustijn|M|1|1
Auguust|M|1|1
Auk|F|1|1
Auke|M?|4|4
Aukje|F|5|5
Avelien|F|1|1
Avine|F|1|1
Axel|M|2|2
Babet|F|1|1
Babeth|F|1|1
Babette|F|2|2
Babs|F|2|2
Baldewijn|M|1|1
Bamse|M|1|1
Barbara|F|5|5
Barbel|F|1|1
Barbera|F|1|1
Barend|M|2|2
Barlina|F|1|1
Barry|M?|4|4
Bart|M|7|7
Bartel|M|1|1
Barteld|M|1|1
Bartholomeus|M|1|1
Bartinus|M|1|1
Bas|M|6|6
Bastiaan|M|3|3
Bauke|M?|4|4
Baukje|F|4|4
Bea|F|5|5
Beatrijs|F|1|1
Beatrix|F|1|1
Beau|M|1|1
Beer|M|1|1
Beitske|F?|1|1
Bel|F|1|1
Bela|F|1|1
Belinda|F|4|4
Bella|F|1|1
Ben|M|7|7
Benine|F|1|1
Benjamin|M|1|1
Benji|M|1|1
Bennie|M|5|5
Benno|M|4|4
Benny|M|4|4
Bente|F|1|1
Bep|F|4|4
Beppie|F|2|2
Beppo|M|1|1
Beppy|F?|1|1
Ber|M|2|2
Berber|F|2|2
Berdi|U|1|1
Berend|M|4|4
Berendien|F|1|1
Berendiena|F|1|1
Berendina|F|1|1
Berna|F|2|2
Bernadette|F|4|4
Bernadien|F|1|1
Bernard|M|4|4
Bernardus|M|1|1
Bernd|M|2|2
Berndien|F|1|1
Bernice|F|1|1
Bernita|F|1|1
Berny|M|1|1
Berry|M|5|5
Bert|M|8|8
Bertha|F|3|3
Berti|U|1|1
Bertie|U|3|3
Bertien|F|1|1
Bertil|M|2|2
Bertine|F|3|3
Bertineke|F|1|1
Bertjan|M|1|1
Berto|M|2|2
Bertus|M|5|5
Berty|M|1|1
Bethina|F|1|1
Betsie|F|4|4
Betsy|F|4|4
Bettie|F|3|3
Bettina|F|2|2
Bettine|F|1|1
Betty|F|5|5
Bianca|F|7|7
Bibi|F|1|1
Binne|M|1|1
Birgit|F|3|3
Bjinse|M|1|1
Bjorn|M|3|3
Björn|M|3|3
Bo|M?|1|1
Bob|M|5|5
Bobette|F|1|1
Boi|M|1|1
Bonita|F|1|1
Bonne|M?|2|2
Bonnie|F|2|2
Bonnigje|F|1|1
Bonno|M|1|1
Boud|F|1|1
Boudewijn|M|3|3
Boudy|F|1|1
Bouke|M?|2|2
Boukje|F|3|3
Boy|M|2|2
Bram|M|5|5
Brand|M|1|1
Brecht|M?|1|1
Brechtje|F|1|1
Bregje|F|2|2
Brenda|F|5|5
Brian|M|3|3
Brigit|F|3|3
Brigitta|F|2|2
Brigitte|F|6|6
Brijan|M|1|1
Brisa|F|1|1
Broer|M|2|2
Bronno|M|1|1
Bruni|F|1|1
Bruno|M|2|2
Brutus|M|1|1
Bunny|U|1|1
Burg|M|1|1
Bé|M?|2|2
Caja|F|1|1
Callista|F|1|1
Callistus|M|1|1
Camiel|M|2|2
Cara|F|1|1
Carel|M|3|3
Caren|F|1|1
Carianne|F|1|1
Carien|F|2|2
Carin|F|5|5
Carina|F|4|4
Carine|F|2|2
Carissa|F|1|1
Carl|M|3|3
Carla|F|7|7
Carlien|F|2|2
Carlijn|F|1|1
Carlinde|F|1|1
Carline|F|1|1
Carlo|M|4|4
Carmen|F|4|4
Carola|F|5|5
Carolien|F|5|5
Carolijn|F|1|1
Carolina|F|1|1
Caroline|F|6|6
Carolus|M|1|1
Carry|F|3|3
Cas|M|2|2
Caspar|M|2|2
Casper|M|3|3
Cassandra|F|1|1
Cathalijne|F|1|1
Catharien|F|1|1
Catharina|F|3|3
Catharine|F|1|1
Catharinus|M|1|1
Cathelijn|F|1|1
Cathelijne|F|1|1
Cathrien|F|1|1
Catrien|F|1|1
Cay|M?|1|1
Ceciel|F|2|2
Cecil|F?|1|1
Cecile|F|3|3
Cecilia|F|1|1
Cees|M|6|6
Celesta|F|1|1
Celeste|F|1|1
Chantal|F|6|6
Chantall|F|1|1
Chantalle|F|2|2
Charissa|F|1|1
Charles|M|4|4
Charlie|M?|1|1
Charlien|F|1|1
Charlotte|F|4|4
Charon|F|1|mythological
Chiel|M|2|2
Chiem|M|1|1
Chris|M?|6|6
Chrisje|F|1|1
Chrissie|F|1|1
Christ|M|2|2
Christa|F|5|5
Christabelle|F|1|1
Christel|F?|5|5
Christiaan|M|3|3
Christian|M|4|4
Christianne|F|1|1
Christianus|M|1|1
Christien|F|4|4
Christijan|M|1|1
Christina|F|3|3
Christine|F|4|4
Christineke|F|1|1
Christy|F|1|1
Chrétien|M|1|1
Cilia|F|2|2
Cinda|F|1|1
Cindij|F|1|1
Cindy|F|6|6
Cisca|F|2|2
Ciska|F|3|3
Ciske|F|1|1
Claar|F|1|1
Claas|M|1|1
Claire|F|3|3
Clara|F|3|3
Clarinda|F|1|1
Clasien|F|1|1
Clasina|F|1|1
Clasine|F|1|1
Claudia|F|6|6
Claus|M|1|1
Clazina|F|1|1
Clemens|M|4|4
Cleo|F?|1|1
Co|M?|4|4
Coba|F|2|2
Cobi|F|3|3
Cobie|F|3|3
Cobien|F|1|1
Coby|F|5|5
Cock|M?|2|2
Coco|F|1|1
Coen|M|4|4
Coenraad|M|1|1
Coenrardus|M|1|1
Coert|M|1|1
Colette|F|2|2
Colinda|F|2|2
Colla|M|1|1
Con|M|1|1
Conja|F|1|1
Connie|F?|4|4
Conny|F?|5|5
Constance|F|1|1
Constant|M|1|1
Constantijn|M|1|1
Coord|M|1|1
Cor|M?|6|6
Cora|F|4|4
Coralien|F|1|1
Corianna|F|1|1
Corianne|F|1|1
Corien|F|3|3
Coriena|F|1|1
Corin|F|1|1
Corina|F|4|4
Corinda|F|1|1
Corine|F|5|5
Corinne|F|3|3
Corjan|M|1|1
Corlien|F|1|1
Corline|F|1|1
Corne|M|1|1
Corneel|M|1|1
Cornel|M|1|1
Cornelia|F|1|1
Cornelien|F|1|1
Cornelis|M|5|5
Cornella|F|1|1
Corné|M|3|3
Corrie|F|5|5
Corrine|F|1|1
Corry|F|4|4
Corstiaan|M|1|1
Cos|M|1|1
Cris|M|1|1
Crispijn|M|1|1
Cristel|F|2|2
Cristiaan|M|1|1
Cristian|M|1|1
Cristie|F|1|1
Cristien|F|1|1
Cristine|F|1|1
Cunera|F|1|1
Cyntha|F|1|1
Cynthia|F|3|3
Cyntia|F|1|1
Cécile|F|1|1
Daaf|M|1|1
Daam|M|1|1
Daan|M|4|4
Dagmar|F|3|3
Daisy|F|3|3
Dan|M|1|1
Dana|F|2|2
Daniel|M|2|2
Daniela|F|1|1
Danielle|F|3|3
Daniël|M|4|4
Daniëla|F|1|1
Daniëlla|F|2|2
Daniëlle|F|6|6
Danny|M?|5|5
Daphne|F|4|mythological
Dave|M|4|4
David|M|4|4
Davina|F|1|1
Davy|M|1|1
Dax|M|1|1
Dayenne|F|1|1
Dea|F|1|1
Dean|U|1|1
