# name-stuff given names
# format: name|gender|frequency|tags
#
Anna|F|10|10
Erik|M|10|10
Guðrún|F|10|10
Juhani|M|10|10
Jón|M|10|10
Kristín|F|10|10
Lars|M|10|10
Þór|M|10|10
Anders|M|9|9
Ann|F|9|9
Anne|F|9|9
Anneli|F|9|9
Antero|M|9|9
Arne|M|9|9
Bengt|M|9|9
Birgitta|F|9|9
Björg|F|9|9
Björk|F|9|9
Björn|M|9|9
Bjørn|M|9|9
Britt|F|9|9
Christian|M|9|9
Einar|M|9|9
Eva|F|9|9
Gunnar|M|9|9
Guðmundur|M|9|9
Göran|M|9|9
Hanne|F|9|9
Hans|M|9|9
Helena|F|9|9
Helga|F|9|9
Helgi|M|9|9
Helle|F|9|9
Henrik|M|9|9
Ingi|M|9|9
Ingibjörg|F|9|9
Jan|M|9|9
Jens|M|9|9
Johan|M|9|9
Jørgen|M|9|9
Kaarina|F|9|9
Kalevi|M|9|9
Karin|F|9|9
Kerstin|F|9|9
Kirsten|F|9|9
Kjell|M|9|9
Leena|F|9|9
Lena|F|9|9
Lene|F|9|9
Lennart|M|9|9
Liisa|F|9|9
Margrét|F|9|9
Maria|F|9|9
Marianne|F|9|9
Marie|F|9|9
Marja|F|9|9
Marjatta|F|9|9
María|F|9|9
Matti|M|9|9
Mette|F|9|9
Michael|M|9|9
Már|M|9|9
Niels|M|9|9
Olavi|M|9|9
Ole|M|9|9
Pekka|M|9|9
Per|M|9|9
Peter|M|9|9
Poul|M|9|9
Riitta|F|9|9
Sigríður|F|9|9
Sigrún|F|9|9
Sigurður|M|9|9
Susanne|F|9|9
Søren|M|9|9
Ólafur|M|9|9
Ósk|F|9|9
Örn|M|9|9
Allan|M|8|8
Andri|M|8|8
Anette|F|8|8
Anita|F|8|8
Annette|F|8|8
Annika|F|8|8
Annikki|F|8|8
Antti|M|8|8
Arja|F|8|8
Arnar|M|8|8
Barbro|F|8|8
Bent|M|8|8
Bente|F|8|8
Berglind|F|8|8
Bertil|M|8|8
Birgir|M|8|8
Birgit|F|8|8
Birgitte|F|8|8
Birna|F|8|8
Birthe|F|8|8
Bjarne|M|8|8
Bjarni|M|8|8
Bo|M|8|8
Bryndís|F|8|8
Carsten|M|8|8
Charlotte|F|8|8
Christer|M|8|8
Christina|F|8|8
Claus|M|8|8
Davíð|M|8|8
Dorthe|F|8|8
Dögg|F|8|8
Edda|F|8|8
Eeva|F|8|8
Elisabeth|F|8|8
Else|F|8|8
Elín|F|8|8
Elísabet|F|8|8
Erkki|M|8|8
Erla|F|8|8
Finn|M|8|8
Flemming|M|8|8
Fredrik|M|8|8
Freyr|M|8|8
Gitte|F|8|8
Grethe|F|8|8
Gunilla|F|8|8
Guðbjörg|F|8|8
Guðjón|M|8|8
Guðný|F|8|8
Gísli|M|8|8
Halldór|M|8|8
Hannele|F|8|8
Hannu|M|8|8
Haukur|M|8|8
Heidi|F|8|8
Heikki|M|8|8
Henning|M|8|8
Hildur|F|8|8
Hulda|F|8|8
Håkan|M|8|8
Ilmari|M|8|8
Inga|F|8|8
Inge|U|8|8
Inger|F|8|8
Ingrid|F|8|8
Ivar|M|8|8
Jaakko|M|8|8
Jesper|M|8|8
Jette|F|8|8
Johannes|M|8|8
John|M|8|8
Jonas|M|8|8
Jorma|M|8|8
Juha|M|8|8
Jukka|M|8|8
Jytte|F|8|8
Jóhann|M|8|8
Jóhanna|F|8|8
Jóna|F|8|8
Karen|F|8|8
Kari|U|8|8
Karl|M|8|8
Katrín|F|8|8
Kim|U|8|8
Knud|M|8|8
Knut|M|8|8
Kristin|F|8|8
Kristina|F|8|8
Kristinn|M|8|8
Kristján|M|8|8
Kurt|M|8|8
Leif|M|8|8
Lilja|F|8|8
Lis|F|8|8
Lisbeth|F|8|8
Lise|F|8|8
Lone|F|8|8
Louise|F|8|8
Magnus|M|8|8
Magnús|M|8|8
Maija|F|8|8
Maj|F|8|8
Margareta|F|8|8
Marit|F|8|8
