# name-stuff given names
# format: name|gender|frequency|tags
#
Adam|M|8|8
Adela|F|3|3
Adina|F|1|1
Adrian|M|2|2
Adriana|F|3|3
Adrianna|F|1|1
Aga|F|1|1
Agata|F|7|7
Agnieszka|F|9|9
Albert|M|1|1
Aldona|F|3|3
Aleksander|M|7|7
Aleksandra|F|8|8
Aleksy|M|3|3
Alexandra|F|2|2
Alfred|M|4|4
Alfreda|F|1|1
Alicja|F|7|7
Alina|F|5|5
Amalia|F|1|1
Anastazja|F|3|3
Andrzej|M|10|10
Andrzelika|F|1|1
Aneta|F|5|5
Anetta|F|3|3
Ania|F|1|1
Aniela|F|5|5
Anita|F|4|4
Anna|F|11|11
Annamaria|F|1|1
Antoni|M|4|4
Antonina|F|4|4
Apolonia|F|2|2
Apoloniusz|M|1|1
Arek|M|1|1
Areta|F|1|1
Arkadiusz|M|5|5
Arkady|M|1|1
Arnold|M|2|2
Artur|M|7|7
Augustyn|M|3|3
Aurelia|F|3|3
Barbara|F|10|10
Bartlomiej|M|5|5
Bartosz|M|5|5
Beata|F|8|8
Benedykt|M|1|1
Benjamin|M|2|2
Bernadeta|F|3|3
Bernadetta|F|3|3
Bernard|M|4|4
Biljana|F|1|1
Bogdan|M|6|6
Bogdana|F|3|3
Bogumil|M|2|2
Bogumil|M|3|3
Bogumila|F|5|5
Boguslaw|M|5|5
Boguslawa|F|6|6
Bohdan|M|4|4
Boleslaw|M|6|6
Bronislaw|M|6|6
Bronislawa|F|4|4
Brygida|F|1|1
Catarina|F|1|1
Cecylia|F|5|5
Celina|F|4|4
Cezariusz|M|2|2
Cezary|M|5|5
Cyprian|M|1|1
Czeslaw|M|6|6
Czeslawa|F|5|5
Dagmara|F|4|4
Damian|M|3|3
Daniel|M|5|5
Daniela|F|3|3
Danuta|F|9|9
Dariusz|M|7|7
Dawid|M|5|5
Diana|F|2|2
Dominik|M|3|3
Dominika|F|5|5
Dorata|F|2|2
Dorota|F|9|9
Edmund|M|2|2
Edward|M|7|7
Edyta|F|6|6
Eleonora|F|2|2
Elfryda|F|1|1
