# name-stuff given names
# format: name|gender|frequency|tags
#
Abel|M|5|biblical
Abelardo|M|1|1
Abraão|M|1|1
Abília|F|1|1
Abílio|M|5|5
Acilino|M|2|2
Acácio|M|4|4
Acúrcio|M|1|1
Adalberto|M|2|2
Adalgira|F|1|1
Adalgisa|F|1|1
Adelaide|F|6|6
Adelina|F|4|4
Adelinda|F|1|1
Adelino|M|6|6
Adelisa|F|1|1
Ademar|M|1|1
Adjuto|M|1|1
Adolfo|M|2|2
Adosinda|F|2|2
Adosinha|F|1|1
Adriana|F|4|4
Adriano|M|5|5
Adrião|M|2|2
Adão|M|2|2
Adélia|F|4|4
Adélio|M|1|1
Adérito|M|2|2
Adília|F|1|1
Afonso|M|6|6
Agapito|M|1|1
Agda|F|1|1
Agnela|F|1|1
Agnelo|M|2|2
Agostinho|M|4|4
Agostiña|F|1|1
Aguinaldo|M|1|1
Aida|F|4|4
Aires|M|4|4
Airete|F|1|1
Alba|F|2|2
Albana|F|1|1
Albano|M|3|3
Albertina|F|5|5
Albertino|M|2|2
Alberto|M|8|8
Albina|F|1|1
Albino|M|4|4
Alceu|M|1|1
Alcides|M|3|3
Alcina|F|4|4
Alcinda|F|1|1
Alcindo|M|2|2
Alcino|M|2|2
Alcídia|F|1|1
Alcínio|M|1|1
Alda|F|5|5
Aldina|F|4|4
Aldino|M|1|1
Aldónio|M|1|1
Alexandra|F|6|mythological
Alexandre|M|6|6
Alexandrina|F|2|2
Alexandrino|M|1|1
Alfaia|F|1|1
Alfeu|F|1|1
Alfonso|M|2|2
Alfredina|F|1|1
Alfredo|M|6|6
Alice|F|6|6
Aliete|F|1|1
Alina|F|1|1
Almerinda|F|2|2
Almiro|M|1|1
Altair|F|1|1
Altina|F|1|1
Altino|M|1|1
Alzira|F|4|4
Alícia|F|1|1
Alídio|M|1|1
Alípio|M|3|3
Alívio|M|1|1
Amadeu|M|5|5
Amaral|M|1|1
Amaro|M|4|4
Ambrósio|M|1|1
Amiel|M|1|1
Amorim|M|1|1
Amparo|F|1|1
Amália|F|2|2
Amável|M|1|1
Amândio|M|4|4
Amélia|F|5|5
América|F|2|2
Américo|M|7|7
Amílcar|M|4|4
Ana|F|9|9
Anabela|F|5|5
Anacleto|M|2|2
Anastácia|F|1|1
Anastácio|M|1|1
Anatilde|F|1|1
Andreia|F|4|4
André|M|6|6
Angelina|F|4|4
Angelino|M|1|1
Angélica|F|2|2
Aniceta|F|1|1
Aniceto|M|2|2
Anselmo|M|3|3
Antero|M|2|2
Antonieta|F|3|3
Antónia|F|4|4
António|M|11|11
Anunciação|F?|2|2
Anália|F|2|2
Aníbal|M|6|6
Apolino|M|1|1
Apolinário|M|3|3
Aquiles|M|1|1
Aquilino|M|1|1
Araújo|M|1|1
Aretusa|F|1|1
Argentina|F|1|1
Argentino|M|1|1
Argélia|F|1|1
Ariete|F|1|1
Aristeu|M|1|1
Aristides|M|1|1
Arlete|F|3|3
Arlindo|M|5|5
Armanda|F|3|3
Armandina|F|1|1
Armandino|M|1|1
Armando|M|7|7
Arminda|F|5|5
Armindo|M|5|5
Arménia|F|1|1
Arménio|M|4|4
Arnaldo|M|5|5
Arnoldina|F|1|1
Aroldo|M|2|2
Arsénio|M|1|1
