# name-stuff given names
# format: name|gender|frequency|tags
#
Abel|M|5|5
Abelardo|M|1|1
Abilia|F|1|1
Abilio|M|5|5
Abraao|M|1|1
Acacio|M|4|4
Acilino|M|2|2
Acurcio|M|1|1
Adalberto|M|2|2
Adalgira|F|1|1
Adalgisa|F|1|1
Adao|M|2|2
Adelaide|F|6|6
Adelia|F|4|4
Adelina|F|4|4
Adelinda|F|1|1
Adelino|M|6|6
Adelio|M|1|1
Adelisa|F|1|1
Ademar|M|1|1
Aderito|M|2|2
Adilia|F|1|1
Adjuto|M|1|1
Adolfo|M|2|2
Adosinda|F|2|2
Adosinha|F|1|1
Adriana|F|4|4
Adriano|M|5|5
Adriao|M|2|2
Afonso|M|6|6
Africa|F|1|1
Agapito|M|1|1
Agda|F|1|1
Agnela|F|1|1
Agnelo|M|2|2
Agostina|F|1|1
Agostinho|M|4|4
Aguinaldo|M|1|1
Aida|F|4|4
Aires|M|4|4
Airete|F|1|1
Alba|F|2|2
Albana|F|1|1
Albano|M|3|3
Albertina|F|5|5
Albertino|M|2|2
Alberto|M|8|8
Albina|F|1|1
Albino|M|4|4
Alceu|M|1|1
Alcides|M|3|3
Alcidia|F|1|1
Alcina|F|4|4
Alcinda|F|1|1
Alcindo|M|2|2
Alcinio|M|1|1
Alcino|M|2|2
Alda|F|5|5
Aldina|F|4|4
Aldino|M|1|1
Aldonio|M|1|1
Alexandra|F|6|6
Alexandre|M|6|6
Alexandrina|F|2|2
Alexandrino|M|1|1
Alfaia|F|1|1
Alfeu|F|1|1
Alfonso|M|2|2
Alfredina|F|1|1
Alfredo|M|6|6
Alice|F|6|6
Alicia|F|1|1
Alidio|M|1|1
Aliete|F|1|1
Alina|F|1|1
Alipio|M|3|3
Alivio|M|1|1
Almerinda|F|2|2
Almiro|M|1|1
Altair|F|1|1
Altina|F|1|1
Altino|M|1|1
Alvaro|M|7|7
Alzira|F|4|4
Amadeu|M|5|5
Amalia|F|2|2
Amandio|M|4|4
Amaral|M|1|1
Amaro|M|4|4
Amavel|M|1|1
Ambrosio|M|1|1
Amelia|F|5|5
America|F|2|2
Americo|M|7|7
Amiel|M|1|1
Amilcar|M|4|4
Amorim|M|1|1
Amparo|F|1|1
Ana|F|9|9
Anabela|F|5|5
Anacleto|M|2|2
Analia|F|2|2
Anastacia|F|1|1
Anastacio|M|1|1
Anatilde|F|1|1
Andre|M|6|6
Andreia|F|4|4
Angela|F|4|4
Angelica|F|2|2
Angelina|F|4|4
Angelino|M|1|1
Angelo|M|5|5
Anibal|M|6|6
Aniceta|F|1|1
Aniceto|M|2|2
Anselmo|M|3|3
Antero|M|2|2
Antonia|F|4|4
Antonieta|F|3|3
Antonio|M|11|11
Anunciacao|F?|2|2
Apolinario|M|3|3
Apolino|M|1|1
Aquiles|M|1|1
Aquilino|M|1|1
Araujo|M|1|1
Aretusa|F|1|1
Argelia|F|1|1
Argentina|F|1|1
Argentino|M|1|1
Ariete|F|1|1
Aristeu|M|1|1
Aristides|M|1|1
Arlete|F|3|3
Arlindo|M|5|5
Armanda|F|3|3
Armandina|F|1|1
Armandino|M|1|1
Armando|M|7|7
Armenia|F|1|1
Armenio|M|4|4
Arminda|F|5|5
Armindo|M|5|5
Arnaldo|M|5|5
Arnoldina|F|1|1
Aroldo|M|2|2
Arsenio|M|1|1
Artur|M|7|7
Ascensao|F?|2|2
Asdrubal|M|1|1
Assis|M|1|1
Assuncao|U|5|5
Astrea|F|1|1
Atalibio|M|1|1
Audusinda|F|1|1
Augusta|F|6|6
Augusto|M|8|8
Aurea|F|2|2
Aureliano|M|1|1
Aurelina|F|1|1
Aurelindo|M|1|1
Aurelio|M|4|4
Aurora|F|4|4
Auzinda|F|1|1
