# name-stuff given names
# format: name|gender|frequency|tags
#
Aculina|F|1|1
Ada|F|3|3
Adela|F|2|2
Adelaida|F|3|3
Adilia|F|1|1
Adrian|M|6|6
Adriana|F|4|4
Aelita|F|1|1
Afanasie|M|3|3
Afanasii|M|1|1
Aksana|F|6|6
Ala|F|6|6
Alan|M|4|4
Albert|M|3|3
Albina|F|5|5
Aleg|M|3|3
Aleh|M|7|7
Aleksander|M|10|10
Aleksandr|M|11|11
Aleksandra|F|8|8
Aleksei|M|9|9
Aleksej|M|9|9
Aleksey|M|9|9
Alena|F|9|9
Alenka|F|1|1
Alenushka|F|1|1
Alesia|F|7|7
Alesja|F|5|5
Alessja|F|5|5
Alessya|F|5|5
Alesya|F|5|5
Alevtina|F|5|5
Alexander|M|11|11
Alexandr|M|10|10
Alexandra|F|8|8
Alexandrina|F|2|2
Alexandru|M|10|10
Alexei|M|10|10
Alexej|M|10|10
Alexey|M|10|10
Alfia|F|1|1
Aliaksandr|M|9|9
Aliaksandra|F|4|4
Aliaksei|M|7|7
Aliaksej|M|1|1
Aliaksey|M|6|6
Alicia|F|1|1
Alicija|F|1|1
Aliciya|F|1|1
Alies|M|1|1
Alija|F|1|1
Alin|M|2|2
Alina|F|7|7
Aliona|F|6|6
Aliosha|M|3|3
Alisa|F|5|5
Alissa|F|4|4
Aliya|F|1|1
Aljona|F|4|4
Aljoscha|M|3|3
Alla|F|8|8
Almira|F|1|1
Alona|F|3|3
Alyona|F|4|4
Amalia|F|1|1
Amalija|F|1|1
Amanta|F|1|1
Ana|F|9|9
Anastasia|F|8|8
Anastasiia|F|1|1
Anastasija|F|7|7
Anastasiya|F|7|7
Anastassia|F|4|4
Anastassija|F|6|6
Anastassiya|F|5|5
Anastasya|F|4|4
Anatol|M|7|7
Anatoli|M|9|9
Anatolia|F|1|1
Anatolie|M|7|7
Anatolii|M|6|6
Anatolij|M|8|8
Anatolija|F|1|1
Anatoliy|M|9|9
Anatoliya|F|1|1
Anatoly|M|8|8
Andrei|M|10|10
Andrej|M|10|10
Andrey|M|10|10
Andrian|M|5|5
Andriana|F|1|1
Andrii|M|6|6
Andrij|M|8|8
Andriy|M|9|9
Aneta|F|3|3
Angel|M|1|1
Angela|F|7|7
Angelica|F|4|4
Angelika|F|5|5
Angelina|F|4|4
Anghel|M|2|2
Anghelina|F|2|2
Anja|F|4|4
Anjela|F|1|1
Anna|F|9|9
Annushka|F|1|1
Anton|M|8|8
Antonia|F|3|3
Antonina|F|5|5
Anya|F|4|4
Anzhela|F|5|5
Anzhelika|F|5|5
Arcadie|M|5|5
Arcadii|M|1|1
Arina|F|4|4
Arkadi|M|5|5
Arkadii|M|1|1
Arkadij|M|3|3
Arkadiy|M|4|4
Arkady|M|4|4
Arnela|F|3|3
Arsen|M|3|3
Arseni|M|3|3
Arsenij|M|2|2
Arseniy|M|2|2
Arseny|M|3|3
Artem|M|6|6
Artiom|M|6|6
Artsiom|M|4|4
Artur|M|6|6
Artyom|M|5|5
Asia|F|1|1
Assia|F|1|1
Assja|F|1|1
Aurel|M|6|6
Aurelia|F|7|7
Aurelian|M|4|4
Aureliu|M|2|2
Aurica|F|3|3
Aurora|F|3|3
Avdotja|F|3|3
Avdotya|F|3|3
Avrora|F|1|1
Axenia|F|3|3
Barys|M|4|4
Bogdan|M|6|6
Bohdan|M|3|3
Boris|M|8|8
Borja|M|1|1
Borys|M|6|6
C<â>t<â>lin|M|2|2
Carolina|F|6|6
Caterina|F|2|2
Cecilia|F|2|2
Cezar|M|3|3
Cezara|F|3|3
Cezaria|F|1|1
Chiriac|M|3|3
Chiril|M|3|3
Ciprian|M|2|2
Claudia|F|6|6
Claudiu|M|2|2
Clementie|M|2|2
Constantin|M|8|8
Corina|F|5|5
Cornel|M|4|4
Cornelia|F|4|4
Corneliu|M|6|6
Costin|M|2|2
Crisitina|F|1|1
Cristi|F|1|1
Cristian|M|3|3
Cristin|F|1|1
Cristina|F|7|7
Cyril|M|4|4
Dajana|F|1|1
Damir|M|1|1
Dan|M|6|6
Dana|F|2|2
Daniel|M|5|5
Daniela|F|4|4
Daniil|M|4|4
Danil|M|3|3
Danila|M|4|4
Danylo|M|4|4
Daria|F|6|6
Darija|F|6|6
Darina|F|4|4
Dariya|F|6|6
Darja|F|5|5
Darya|F|6|6
Daryia|F|3|3
Daryna|F|1|1
David|M|3|3
Davyd|M|1|1
Dayana|F|1|1
Deana|F|1|1
Demir|M|1|1
Denis|M|7|7
