# name-stuff given names
# format: name|gender|frequency|tags
#
<Ð>enan|M|3|3
<Ð>enana|F|3|3
<Ð>eni|F|1|1
<Ð>enita|F|4|4
<Ð>oka|F|1|1
<Ð>oko|M|1|1
<Ð>or<ð>e|M|7|7
<Ð>or<ð>ije|M|7|7
<Ð>uka|F|2|2
<Ð>ula|U|4|4
<Ð>ulijana|F|1|1
<Ð>ulka|F|1|1
<Ð>ur<ð>a|F|5|5
<Ð>ur<ð>ica|F|7|7
<Ð>ura|F?|1|1
<Ð>urica|F|1|1
<Ð>uro|M|5|5
Abaz|M|4|4
Abdi|M|2|2
Abdija|M|1|1
Abdul|M|3|3
Abdulah|M|6|6
Abdulkader|M|1|1
Abdulla|M|3|3
Abdullah|M|4|4
Abdulmalik|M|1|1
Abdurahman|M|3|3
Abdurrahman|M|2|2
Abdyl|M|2|2
Abedin|M|3|3
Abel|M|1|1
Abid|M|4|4
Abida|F|1|1
Aca|M|3|3
Achilina|F|1|1
Achim|M|2|2
Acim|M|1|1
Acko|M|1|1
Aco|M|7|7
Ada|F|3|3
Adalbert|M|2|2
Adalciza|F|1|1
Adam|M|4|4
Adamira|F|1|1
Adaniel|M|1|1
Adela|F|5|5
Adelaida|F|2|2
Adelina|F|6|6
Adella|F|1|1
Adeluţa|F|1|1
Adem|M|6|6
Adhurim|M|3|3
Adi|M|5|5
Adil|M|4|4
Adila|F|4|4
Adin|M|1|1
Adina|F|5|5
Adinel|M|2|2
Adis|M|5|5
Adisa|F|6|6
Admir|M|7|7
Admira|F|2|2
Adnan|M|8|8
Adolf|M|1|1
Adorján|M|2|2
Adrian|M|8|8
Adriana|F|7|7
Adriena|F|4|4
Adrienn|F|6|6
Adrienne|F|4|4
Adrijan|M|2|2
Adrijana|F|2|2
Adrián|M|4|4
Advija|M|4|4
Adéla|F|3|3
Aferdita|F|3|3
Afrim|M|7|7
Afrodita|F|2|2
Aftina|F|1|1
Aftinia|F|1|1
Afërdita|F|8|8
Agafia|F|2|2
Agan|M|3|3
Agapia|F|2|2
Agatia|F|1|1
Agim|M|7|7
Aglaea|F|1|1
Aglaia|F|3|3
Agnesa|F|5|5
Agneta|F|1|1
Agneza|F|2|2
Agni|F|3|3
Ago|M|4|4
Agon|M|5|mythological
Agora|F|1|1
Agota|F|1|1
Agripina|F|2|2
Agron|M|7|mythological
Agáta|F|6|6
Ahile|M|2|2
Ahmed|M|6|6
Ahmet|M|6|6
Ahmo|M|1|1
Aida|F|9|9
Aia|F|5|5
Ajdin|M|5|5
Ajdina|F|1|1
Ajet|M|2|2
Ajeta|F|1|1
Ajete|F|3|3
Ajia|F|4|4
Ajka|F|2|2
Ajkun|M|1|1
Ajkune|F|1|1
Ajla|F|6|6
Ajrie|F|4|4
Ajshe|F|6|6
Ajten|M|1|1
Ajtene|F|3|3
Aja|F|3|3
Akif|M|1|1
Aladár|M|5|5
Alaga|M|1|1
Alajos|M|5|5
Alan|M|3|3
Alazdin|M|1|1
Alba|F|2|2
Alban|M|6|6
Albana|F|5|5
Albena|F|5|5
Albert|M|6|6
Albin|M|4|4
Albina|F|5|5
Albinca|F|1|1
Albion|M|1|1
Albulena|F|5|5
Albína|F|3|3
Aldijana|F|4|4
Aldin|M|5|5
Aldina|F|4|4
Alecsandra|F|2|2
Alecsandrina|F|2|2
Alecsandru|M|2|2
Alecse|M|1|1
Aleks|M|1|1
Aleksa|F|3|3
Aleksandar|M|9|9
Aleksander|M|7|7
Aleksandra|F|7|7
Aleksandrina|F|2|2
Aleksej|M|3|3
Aleksey|M|3|3
Aleksi|M|4|4
Alem|M|4|4
Alen|M|6|6
Alena|F|9|9
Alenka|F|9|9
Alex|M|3|3
Alexa|F|3|3
Alexandar|M|7|7
Alexander|M|7|7
Alexandr|M|4|4
Alexandra|F|7|mythological
Alexandrina|F|7|7
Alexandru|M|9|9
Alexe|M|2|2
Alexei|M|3|3
Alexej|M|4|4
Alexey|M|3|3
Alexi|M|4|4
Ale|M|9|9
Alea|F|5|5
Alfonz|M|3|3
Alfred|M|2|2
Alfréd|M|4|4
Ali|M|5|5
Alia|F|1|1
Alica|F|6|6
Alice|F|5|5
Alie|F|1|1
Alija|M|6|6
Alije|F|2|2
Alim|M|1|1
Alime|F|1|1
Alin|M|4|4
Alina|F|6|6
Aliosman|M|1|1
Aliriza|M|2|2
Alisa|F|5|5
Aliz|F|1|1
Alja|F|1|1
Aljaž|M|4|4
Aljo|M|1|1
Aljoscha|M|1|1
Aljosha|M|1|1
Aljoa|M|6|6
Alketa|F|1|1
Alma|F|8|8
Almin|M|4|4
Almir|M|7|7
Almira|F|6|6
Almirka|F|1|1
Alois|M|7|7
Aloisie|F|3|3
Alojz|M|7|7
Alojzia|F|4|4
Alojzij|M|5|5
Alojzija|F|5|5
Alojzije|M|3|3
Altin|M|2|2
Alyosha|M|1|1
Alžb<ê>ta|F|5|5
Alžbeta|F|8|8
Amadea|F|1|1
Amalia|F|3|3
Amalija|F|4|4
Amar|M|3|3
Ambroz|M|2|2
Ambrozie|M|3|3
Ambroziu|M|1|1
Ambrus|M|1|1
Amedeo|M|1|1
Amedeu|M|1|1
Amel|M|4|4
Amela|F|7|7
Amelija|F|1|1
Amer|M|5|5
Amet|M|3|3
Amil|M|4|4
Amila|F|5|5
Amina|F|7|7
Amir|M|7|7
Amira|F|7|7
Amire|F|3|3
Amon|M|1|1
Amor|F|1|1
Amra|F|7|7
Amália|F|4|4
An<ð>a|F|6|6
An<ð>ela|F|6|6
An<ð>elija|F|5|5
An<ð>elina|F|1|1
An<ð>elka|F|6|6
An<ð>elko|M|6|6
An<ð>elo|M|2|2
Ana|F|9|9
Anabella|F|1|1
Anagnost|M|1|1
Anamari|F|1|1
Anamaria|F|3|3
Anamarija|F|3|3
Anasia|F|1|1
Anastas|M|4|4
Anastase|M|2|2
Anastasia|F|6|6
Anastasie|M|1|1
Anastasiea|F|1|1
Anastasija|F|6|6
Anastasika|F|3|3
Anastasiya|F|6|6
Anastassia|F|5|5
Anastassija|F|5|5
Anastassiya|F|5|5
Anastazia|F|1|1
Anastazie|F|2|2
Anastazija|F|2|2
Anastázia|F|4|4
Anasztázia|F|1|1
Anatol|M|1|1
Anatole|M|1|mythological
Anatoli|M|4|4
Anatolia|F|1|1
Anatolie|M|2|2
Anatolij|M|3|3
Anatolija|F|1|1
Anatoliy|M|3|3
Anatoliya|F|1|1
Anatoly|M|3|3
Anca|F|7|7
Ancuţa|F|3|3
And<ê>la|F|2|2
Andin|M|1|1
Andolina|F|1|1
Andon|M|5|5
Andor|M|4|4
Andra|F|3|3
Andrada|F|1|1
Andraş|M|2|2
Andraž|M|4|4
Andre|M|2|2
Andrea|F|9|9
Andreea|F|6|6
Andrei|M|7|7
Andreia|F|2|2
Andreiana|F|2|2
Andreias|M|1|1
Andreiu|M|1|1
Andrej|M|9|9
Andreja|F|8|8
Andrejka|F|1|1
Andrey|M|6|6
Andrija|M|7|7
Andrijana|F|2|2
Andris|M|1|1
Andro|M|3|mythological
András|M|8|8
Andřej|M|1|1
Anel|F|1|1
Anela|F|5|5
Anelia|F|5|5
Anelija|F|5|5
Aneliya|F|5|5
Anemarie|F|1|1
Anemona|F|1|1
Anes|M|4|4
Aneta|F|7|7
Anett|F|2|2
Anetta|F|1|1
Anežka|F|5|5
Angel|M|8|8
Angela|F|7|7
Angele|M|5|5
Angelica|F|4|4
Angelichi|M|1|1
Angelina|F|6|6
Angelka|F|3|3
Anghel|M|5|5
Anghelache|M|1|1
Anghelina|F|3|3
Angheluţa|F|1|1
Angjelina|F|2|2
Angyalka|F|1|1
Angéla|F|3|3
Ani|F|4|4
Anica|F|7|7
Anicuta|F|2|2
Anif|M|1|1
Anife|F|3|3
Anika|F|1|1
Anikó|F|7|7
Anila|F|1|1
Anina|F|1|1
Anis|M|1|1
Anisa|F|3|3
Anisca|F|1|1
Anisia|F|1|1
Anisor|M|1|1
Anita|F|7|7
Anişoara|F|5|5
Anja|F|6|6
Anjuta|F|2|2
Anka|F|7|7
Ankica|F|8|8
Anko|M|1|1
Anna|F|10|mythological
Annamária|F|6|6
Anostol|M|1|1
Antal|M|7|7
Antcho|M|1|1
Ante|M|9|9
Antea|F|1|1
Antica|F|6|6
Antigona|F|5|5
Antim|M|1|1
Antima|F|1|1
Anto|M|6|6
Antoan|M|1|1
Antoanela|F|1|1
Antoanella|F|1|1
Antoaneta|F|6|6
Anton|M|9|mythological
Antonache|M|1|1
Antone|M|2|2
Antonel|M|1|1
Antonela|F|5|5
Antonella|F|1|1
Antoneta|F|3|3
Antoni|M|3|3
Antonia|F|4|4
Antonica|F|2|2
Antonie|U|5|5
Antoniea|F|1|1
Antonieta|F|1|1
Antonija|F|6|6
Antonije|F|1|1
Antonim|M|1|1
Antonina|F|4|4
Antonio|M|4|4
Antoniu|M|3|3
Antoniya|F|4|4
Antonín|M|8|8
Antun|M|6|6
Antónia|F|6|6
Anuschka|F|1|1
Anushka|F|1|1
Anuka|F|1|1
Anuţa|F|3|3
Anyuta|F|2|2
Anže|M|4|4
Anžela|F|1|1
Apolonia|F|2|2
Apostol|M|4|4
Apostolache|M|1|1
Apostolica|F|1|1
Arabella|F|1|1
Aran<ð>el|M|3|3
Aranca|F|1|1
Aranka|F|5|5
Arbana|F|2|2
Arben|M|7|7
Arbenita|F|4|4
Arbnor|M|4|4
Arbnora|F|1|1
Arbnore|F|5|5
Arbënor|M|1|1
Arbënora|F|1|1
Arbër|M|4|4
Arbëreshë|F|3|3
Arbërie|F|3|3
Arcade|M|1|1
Arcadie|M|2|2
Ardeleana|F|1|1
Ardi|M|2|2
Ardian|M|5|5
Ardiana|F|5|5
Ardijan|M|1|1
Ardijana|F|3|3
Ardit|M|3|3
Ardita|F|5|5
Areta|F|1|mythological
Aretia|F|1|1
Aretin|M|1|1
Aretina|F|2|2
Argentina|F|2|2
Arghir|M|1|1
Arghira|F|2|2
Argjend|M|2|2
Argjent|M|4|4
Arhire|M|1|1
Ari|M|1|1
Ariadna|F|1|1
Arian|M|4|4
Ariana|F|4|4
Arianda|F|1|1
Arianit|M|3|3
Arianna|F|1|1
Ariclia|F|1|1
Aridna|F|1|1
Arie|M|1|1
Arieana|F|1|1
Arieta|F|2|2
Arif|M|5|5
Arife|F|4|4
Arijana|F|3|3
Arijanit|M|1|1
Arik|M|1|1
Arin|M|1|1
Arina|F|1|1
Aristeia|F|1|1
Aristel|M|1|1
Aristia|F|1|1
Aristica|F|1|1
Aristida|F|1|1
Aristide|M|3|3
Aristiţa|F|3|3
Aristotel|M|2|2
Arisztid|M|1|1
Aritica|F|1|1
Aritina|F|2|2
Ariton|M|2|2
Arjan|M|4|4
Arjeta|F|7|7
Arlind|M|4|4
Arlinda|F|4|4
Armand|M|2|2
Armend|M|4|4
