# name-stuff given names
# format: name|gender|frequency|tags
#
<I°>badullah|M|1|1
<I°>brahim|M|8|8
<I°>clal|F|2|2
<I°>dil|F|3|3
<I°>dris|M|4|4
<I°>ffet|F|1|1
<I°>hsan|M|5|5
<I°>kbal|F|2|2
<I°>layda|F|4|4
<I°>lham|M|1|1
<I°>lhami|M|4|4
<I°>lhan|M|6|6
<I°>lkay|U|4|4
<I°>lke|F|4|4
<I°>lker|M|5|5
<I°>lkin|M|1|1
<I°>lknur|F|7|7
<I°>lyada|F|2|2
<I°>lyas|M|5|5
<I°>mdat|M|1|1
<I°>mge|F|2|2
<I°>mran|F|4|4
<I°>mren|F?|1|1
<I°>nan|M|3|3
<I°>nanç|M|2|2
<I°>nci|F|5|5
<I°>pek|F|5|5
<I°>rem|F|6|6
<I°>rfan|M|5|5
<I°>sa|M|5|5
<I°>shak|M|2|2
<I°>skender|M|2|2
<I°>slam|M|2|2
<I°>smail|M|8|8
<I°>smet|M|6|6
<I°>smigül|F|2|2
<I°>smihan|F|1|1
<I°>zel|F|1|1
<I°>zzet|M|4|4
<I°>zzettin|M|2|2
Abai|M|3|3
Abay|M|5|5
Abbas|M|4|4
Abdel|M|2|2
Abdi|M|2|2
Abdul|M|4|4
Abdulbaki|M|2|2
Abdulcabbar|M|1|1
Abdulhakim|M|1|1
Abdulkadir|M|4|4
Abdulkadyr|M|1|1
Abdulkerim|M|1|1
Abdulla|M|2|2
Abdullah|M|7|7
Abdulmalik|M|1|1
Abdulmedjit|M|4|4
Abdulsamet|M|1|1
Abdurrahim|M|2|2
Abdurrahman|M|5|5
Abdülhalim|M|2|2
Abdülhamid|M|1|1
Abdülkadir|M|3|3
Abdülkerim|M|1|1
Abdüllatif|M|1|1
Abdülsamet|M|1|1
Abidin|M|3|3
Abubekir|M|2|2
Abuzer|M|1|1
Adalet|F|3|3
Adel|M?|1|1
Adeliya|F|1|1
Adelya|F|2|2
Adem|M|6|6
Adham|M|2|2
Adil|M|5|5
Adilbek|M|3|3
Adile|F|4|4
Adilkhan|M|1|1
Adiya|F|3|3
Adnan|M|6|6
Aelita|F|2|2
Afşar|M|1|1
Agah|M|1|1
Aglaja|F|1|1
Aglaya|F|1|1
Ahmad|M|4|4
Ahmet|M|9|9
Ahsen|F|2|2
Ahu|F|3|3
Aibek|M|4|4
Aida|F|6|6
Aidan|M|1|1
Aidar|M|6|6
Aigerim|F|7|7
Aigul|F|8|8
Aiman|F|5|5
Aina|F|3|3
Ainagul|F|4|4
Ainash|F|3|3
Ainur|F|6|6
Ainura|F|5|5
Aisha|F|4|4
Aizhan|F|7|7
Ajda|F|2|2
Akan|M|2|2
Akbar|M|4|4
Akbota|F|3|3
Akgül|F|3|3
Akif|M|3|3
Akife|F|1|1
Akil|M|1|1
Akmal|M|5|5
Akmaral|F|5|5
Akram|M|2|2
Akrom|M|4|4
Aksel|M|1|1
Akylbek|M|4|4
Akçay|M|1|1
Akın|M|4|4
Alaaddin|M|1|1
Alaattin|M|4|4
Alan|M|2|2
Albina|F|5|5
Aleksander|M|2|2
Aleksandr|M|7|7
Aleksandra|F|3|3
Aleksej|M|4|4
Aleksey|M|7|7
Alem|M|1|1
Alen|M|2|2
Alena|F|3|3
Alesia|F|1|1
Alesja|F|1|1
Alesya|F|3|3
Alev|F|5|5
Alexander|M|7|7
Alexandr|M|7|7
Alexandra|F|5|mythological
Alexei|M|5|5
Alexej|M|5|5
Alexey|M|6|6
Aleyna|F|1|1
Alfia|F|2|2
Alfija|F|5|5
Alfiya|F|5|5
Ali|M|9|9
Alia|F|3|3
Alibek|M|6|6
Alibi|M|3|3
Alican|M|2|2
Alihan|M|1|1
Alija|F|7|7
Alikhan|M|3|3
Alim|M|3|3
Alima|F|4|4
Alime|F|4|4
Alimzhan|M|4|4
Alina|F|5|5
Alisa|F|4|4
Alisher|M|7|7
Alissa|F|3|3
Aliya|F|7|7
Aliye|F|5|5
Aljona|F|4|4
Alkan|M|3|3
Alla|F|5|5
Alma|F|5|5
Almagul|F|4|4
Almas|M|5|5
Almat|M|4|4
Almaz|M|5|5
Almira|F|5|5
Alp|M|4|4
Alparslan|M|3|3
Alpaslan|M|3|3
Alpay|M|3|3
Alpcan|M|1|1
Alper|M|5|5
