# name-stuff given names
# format: name|gender|frequency|tags
#
Abai|M|3|3
Abay|M|5|5
Abbas|M|4|4
Abdel|M|2|2
Abdi|M|2|2
Abdul|M|4|4
Abdulbaki|M|2|2
Abdulcabbar|M|1|1
Abdulhakim|M|1|1
Abdulhalim|M|2|2
Abdulhamid|M|1|1
Abdulkadir|M|4|4
Abdulkadir|M|3|3
Abdulkadyr|M|1|1
Abdulkerim|M|1|1
Abdulkerim|M|1|1
Abdulla|M|2|2
Abdullah|M|7|7
Abdullatif|M|1|1
Abdulmalik|M|1|1
Abdulmedjit|M|4|4
Abdulsamet|M|1|1
Abdulsamet|M|1|1
Abdurrahim|M|2|2
Abdurrahman|M|5|5
Abidin|M|3|3
Abubekir|M|2|2
Abuzer|M|1|1
Adalet|F|3|3
Adel|M?|1|1
Adeliya|F|1|1
Adelya|F|2|2
Adem|M|6|6
Adham|M|2|2
Adil|M|5|5
Adilbek|M|3|3
Adile|F|4|4
Adilkhan|M|1|1
Adiya|F|3|3
Adnan|M|6|6
Aelita|F|2|2
Afsar|M|1|1
Agah|M|1|1
Aglaja|F|1|1
Aglaya|F|1|1
Ahmad|M|4|4
Ahmet|M|9|9
Ahsen|F|2|2
Ahu|F|3|3
Aibek|M|4|4
Aida|F|6|6
Aidan|M|1|1
Aidar|M|6|6
Aigerim|F|7|7
Aigul|F|8|8
Aiman|F|5|5
Aina|F|3|3
Ainagul|F|4|4
Ainash|F|3|3
Ainur|F|6|6
Ainura|F|5|5
Aisha|F|4|4
Aizhan|F|7|7
Ajda|F|2|2
Akan|M|2|2
Akbar|M|4|4
Akbota|F|3|3
Akcay|M|1|1
Akgul|F|3|3
Akif|M|3|3
Akife|F|1|1
Akil|M|1|1
Akin|M|4|4
Akmal|M|5|5
Akmaral|F|5|5
Akram|M|2|2
Akrom|M|4|4
Aksel|M|1|1
Akylbek|M|4|4
Alaaddin|M|1|1
Alaattin|M|4|4
Alan|M|2|2
Albina|F|5|5
Aleksander|M|2|2
Aleksandr|M|7|7
Aleksandra|F|3|3
Aleksej|M|4|4
Aleksey|M|7|7
Alem|M|1|1
Alen|M|2|2
Alena|F|3|3
Alesia|F|1|1
Alesja|F|1|1
Alesya|F|3|3
Alev|F|5|5
Alexander|M|7|7
Alexandr|M|7|7
Alexandra|F|5|5
Alexei|M|5|5
Alexej|M|5|5
Alexey|M|6|6
Aleyna|F|1|1
Alfia|F|2|2
Alfija|F|5|5
Alfiya|F|5|5
Ali|M|9|9
Alia|F|3|3
Alibek|M|6|6
Alibi|M|3|3
Alican|M|2|2
Alihan|M|1|1
Alija|F|7|7
Alikhan|M|3|3
Alim|M|3|3
Alima|F|4|4
Alime|F|4|4
Alimzhan|M|4|4
Alina|F|5|5
Alisa|F|4|4
Alisan|M|1|1
Alisher|M|7|7
Alissa|F|3|3
Aliya|F|7|7
Aliye|F|5|5
Aljona|F|4|4
Alkan|M|3|3
Alla|F|5|5
Alma|F|5|5
Almagul|F|4|4
Almas|M|5|5
Almat|M|4|4
Almaz|M|5|5
Almira|F|5|5
Alp|M|4|4
Alparslan|M|3|3
Alpaslan|M|3|3
Alpay|M|3|3
Alpcan|M|1|1
Alper|M|5|5
Alperen|M|3|3
Alptekin|M|1|1
Alptug|M|1|1
Altan|M|4|4
Altay|M|2|2
Altinaj|F|1|1
Altug|M|1|1
Altun|M|2|2
Altunay|F|1|1
Altynai|F|4|4
Altynay|F|4|4
Altynbek|M|4|4
Alyona|F|4|4
Amanzhan|M|1|1
Amil|M|1|1
Amin|M|2|2
Amina|F|4|4
Amir|M|4|4
Anar|F|5|5
Anara|F|6|6
Anarbek|M|1|1
Anastasia|F|5|5
Anastasija|F|4|4
Anastasiya|F|4|4
Anastassia|F|5|5
Anastassija|F|5|5
Anastassiya|F|5|5
Anastasya|F|3|3
Anatoli|M|3|3
Anatoliy|M|4|4
Anatoly|M|3|3
Andrei|M|5|5
Andrej|M|6|6
Andrey|M|8|8
Anel|F|5|5
Anfisa|F|3|3
Angela|F|2|2
Angelika|F|2|2
Angelina|F|3|3
Anil|M|4|4
Anis|M|2|2
Anna|F|7|7
Ansa|F|2|2
Ansar|M|2|2
Anton|M|5|5
Antonina|F|4|4
Anuar|M|6|6
Anvar|M|5|5
Anzhela|F|2|2
Anzhelika|F|4|4
Aral|M|1|1
Aras|M|2|2
Arda|M|4|4
Ardak|F|5|5
