id	headword	subject_type	vol	fascicle	date	col1	col2	colspan	author1	author2	author3	author4	entry_type	scan	Wikidata	FactGrid	Mythogram	redirect_target	remarks
RLM00001	Aba	nymph	1.1	1	1884	1		1	Roscher	Crusius			article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q304227				
RLM00002	Abarbaree 1	nymph	1.1	1	1884	1		1	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q305548				
RLM00003	Abarbaree 2	nymph	1.1	1	1884	1		1	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q279782				
RLM00004	Abaris 1	character	1.1	1	1884	1		1	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q305570				
RLM00005	Abaris 2	character	1.1	1	1884	1		1	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q305568				
RLM00006	Abaris 3	character	1.1	1	1884	1		1	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q305566				
RLM00007	Abaris 4	character	1.1	1	1884	1		1	Schreiber				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up	Q305567				
RLM00008	Abas 1	character	1.1	1	1884	1	2	1	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00009	Abas 2	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00010	Abas 3	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00011	Abas 4	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00012	Abas 5	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00013	Abas 6	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00014	Abas 7	centaur	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00015	Abas 8	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00016	Abas 9	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00017	Abas 10	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00018	Abas 11	mountain	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00019	Abas 12	character	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00020	Abantiades	epithet	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
RLM00021	Abantias	epithet	1.1	1	1884	2		2	Roscher				article	https://www.archive.org/details/ausfhrlicheslexi11rosc/page/1/mode/1up					
