id	headword	subject_type	vol	fascicle	date	col1	col2	colspan	author1	author2	author3	author4	entry_type	scan	Wikidata	FactGrid	Mythogram	redirect_target	remarks	referring_to_entry	excerpt
RLMcs001	Aequitas		1.1	3	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA543-IA1						Apollon	S. 86 Z. 32 (Art. Aequitas)
RLMcs002	S. 152 Z. 68		1.1	3	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA543-IA1							S. 152 Z. 68
RLMcs003	S. 201 Z. 9		1.1	3	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA543-IA1							S. 201 Z. 9
RLMcs004	S. 449 Z. 31		1.1	3	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA543-IA1							S. 449 Z. 31
RLMcs005	Seite 195 Zeile 65 lies Lajard.		1.1	4	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 195 Zeile 65 lies Lajard.
RLMcs006	Seite 200 Zeile 65 lies 19,3		1.1	4	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 200 Zeile 65 lies 19,3
RLMcs007	Seite 203 Zeile 31 lies Con. 14.		1.1	4	1884	3		3	Hoefer				correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 203 Zeile 31 lies Con. 14.
RLMcs008	Seite 229 Zeile 50 lies Plut. Q. Rom. 11 und 12 (vgl. Buttmann, Mythol. 2,32).		1.1	4	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 229 Zeile 50 lies Plut. Q. Rom. 11 und 12 (vgl. Buttmann, Mythol. 2,32).
RLMcs009	Seite 252 Zeile 30 füge ein: F. Koepp, Arch. Ztg. 1884, 32ff. Taf. 3 und 4.		1.1	4	1884	3		3					addendum	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 252 Zeile 30 füge ein: F. Koepp, Arch. Ztg. 1884, 32ff. Taf. 3 und 4.
RLMcs010	Amphimachos 7	character	1.1	4	1884	3		3	Hoefer				article	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 307 Zeile 33 füge ein: [Amphimachos] 7) König der Lykier: Con. 6.
RLMcs011	Andulos	deity	1.1	4	1884	3		3					cross-reference	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1				Kerkopen			Seite 348 Zeile 7 füge ein: Andulos s. Kerkopen.
RLMcs012	Seite 352 Zeile 37 füge ein: (oder Kreusa nach Con. 41).		1.1	4	1884	3		3	Hoefer				addendum	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1							Seite 352 Zeile 37 füge ein: (oder Kreusa nach Con. 41).
RLMcs013	Seite 353 Zeile 63ff. sind die Worte „Diesen Aufenthalt“ bis „Aurelius“ zu streichen.		1.1	4	1884	3		3					correction	https://books.google.de/books?id=UiUWAAAAYAAJ&pg=PA703-IA1					retraction		Seite 353 Zeile 63ff. sind die Worte „Diesen Aufenthalt“ bis „Aurelius“ zu streichen.
